Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Павловская № 22																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302					
1	"Число избирателей, внесенных в списки"	12185	771	1589	1975	1683	1811	1568	363	1220	1205					
2	"Число бюллетеней, полученных участковыми комиссиями"	11500	750	1500	1900	1600	1640	1500	360	1100	1150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6079	364	821	1039	835	892	796	176	591	565					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	578	56	33	59	63	59	50	172	38	48					
6	Число погашенных бюллетеней	4843	330	646	802	702	689	654	12	471	537					
7	Число бюллетеней в переносных ящиках для голосования	578	56	33	59	63	59	50	172	38	48					
8	Число бюллетеней в стационарных ящиках для голосования	6078	364	821	1039	835	892	795	176	591	565					
9	Число недействительных бюллетеней	66	10	8	7	5	15	3	5	8	5					
10	Число действительных бюллетеней	6590	410	846	1091	893	936	842	343	621	608					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	600	50	50	100	50	100	50	100	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	62	1	7	8	19	13	2	2	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	17	8	10	8	12	14	3	6	1					
14	Число погашенных открепительных удостоверений	538	49	43	92	31	87	48	98	46	44					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	84	6	5	23	8	17	5	1	8	11					
