Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Балейская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509					
1	"Число избирателей, внесенных в списки"	6751	1106	381	179	186	100	235	178	234	433	122	124	83	936	672	251	301	139	106	516	56	109	121	183					
2	"Число бюллетеней, полученных участковыми комиссиями"	7144	1134	399	193	199	114	254	188	255	473	132	145	88	948	659	291	319	157	118	549	65	119	141	204					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4566	576	245	162	124	92	174	163	167	316	102	116	69	476	437	149	220	111	87	390	48	94	111	137					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	367	52	27	0	14	8	2	3	29	21	6	8	4	105	0	36	6	5	3	8	5	4	3	18					
6	Число погашенных бюллетеней	2211	506	127	31	61	14	78	22	59	136	24	21	15	367	222	106	93	41	28	151	12	21	27	49					
7	Число бюллетеней в переносных ящиках для голосования	367	52	27	0	14	8	2	3	29	21	6	8	4	105	0	36	6	5	3	8	5	4	3	18					
8	Число бюллетеней в стационарных ящиках для голосования	4566	576	245	162	124	92	174	163	167	316	102	116	69	476	437	149	220	111	87	390	48	94	111	137					
9	Число недействительных бюллетеней	131	42	10	2	0	3	3	3	10	5	3	2	1	9	7	17	3	2	1	0	0	5	1	2					
10	Число действительных бюллетеней	4802	586	262	160	138	97	173	163	186	332	105	122	72	572	430	168	223	114	89	398	53	93	113	153					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	15	5	3	3	2	3	3	3	5	2	2	2	15	8	4	4	2	2	8	2	2	2	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	2	2	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	5	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	88	13	3	2	3	2	2	3	3	5	2	2	2	14	7	3	4	2	1	6	2	2	2	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	107	6	3	5	6	1	0	7	5	12	2	2	1	12	6	3	0	4	1	18	0	5	5	3					
		2.16%	0.95%	1.10%	3.08%	4.34%	1.0%	0.0%	4.21%	2.55%	3.56%	1.85%	1.61%	1.36%	2.06%	1.37%	1.62%	0.0%	3.44%	1.11%	4.52%	0.0%	5.10%	4.38%	1.93%					
