Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																									
Дата голосования: 02.12.2007																																																																																																									
																																																																																																									
"Наименование Избирательной комиссии:    г.Тюмень, Ленинская"																																																																																																									
																																																																																																									
Сводная таблица результатов выборов																																																																																																									
																																																																																																									
		Сумма	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929					
1	"Число избирателей, внесенных в списки избирателей"	198019	2885	1779	1706	2354	1922	2375	2429	2371	2486	2105	1756	1760	2727	2300	2623	2771	1710	2478	1633	2356	2498	2684	1743	2728	2510	2212	2088	1691	2106	2571	2790	2552	2452	2539	2372	2009	1562	2210	1771	2189	2136	2747	2629	2320	2277	2447	2120	2710	2373	2109	2289	1968	2340	1802	87	2069	2640	2803	2090	1738	2465	526	316	2744	2048	1171	2290	2422	2011	1659	2241	2119	2113	1715	1448	2475	2483	1880	117	2263	2262	1987	2605	2036	2453	381	275	1803	1436	1602	1513	1731	1178	697	2452	2027	960	618					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	190550	2600	1700	1600	2200	1850	2250	2350	2250	2400	2000	1700	1700	2650	2150	2550	2500	1600	2550	1500	2050	2400	2600	1700	2450	2450	2100	2000	1600	1950	2500	2650	2400	2500	2500	2450	1950	1900	2100	1650	2050	2000	2650	2500	2200	2100	2250	1950	2550	2250	2000	2300	1800	2300	1400	100	1950	2350	2600	2000	2100	2450	550	500	2550	2050	1500	2550	2500	1950	1450	2150	1800	1900	1600	1750	2400	2400	1800	200	2200	2200	1900	2400	1900	2400	350	250	1750	1400	1500	1400	1600	1250	650	2300	2000	1000	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	152419	2290	1451	1284	1782	1412	1953	1831	1698	1945	1846	1397	1351	2019	1664	1957	1660	1336	2001	1212	1753	1838	2387	1470	1966	1813	1616	1558	1172	1731	1932	2193	1946	1836	1941	1902	1484	1554	1680	1242	1617	1522	1935	1954	1711	1912	1935	1859	2265	1730	1534	1715	1414	1744	1269	71	1493	1906	2021	1505	1722	1904	304	163	2132	1593	1149	2282	2405	1672	1266	1624	1364	1739	1491	1448	1832	1852	1435	113	1634	1600	1329	2138	1538	1726	297	196	1420	1110	1095	1022	1243	920	537	1836	1691	764	618					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1637	11	17	12	14	9	11	12	9	12	12	4	4	22	19	16	11	12	16	18	14	4	14	3	14	3	10	27	12	12	15	3	15	13	13	13	6	8	3	5	8	18	26	23	19	25	21	17	11	21	20	31	23	13	8	13	19	77	24	9	16	5	222	144	32	20	22	8	17	11	14	16	15	6	7	0	18	14	9	4	16	17	11	9	10	20	6	15	16	10	0	3	0	8	9	13	0	0	0					
6	Число погашенных избирательных бюллетеней	36494	299	232	304	404	429	286	507	543	443	142	299	345	609	467	577	829	252	533	270	283	558	199	227	470	634	474	415	416	207	553	454	439	651	546	535	460	338	417	403	425	460	689	523	470	163	294	74	274	499	446	554	363	543	123	16	438	367	555	486	362	541	24	193	386	437	329	260	78	267	170	510	421	155	102	302	550	534	356	83	550	583	560	253	352	654	47	39	314	280	405	375	357	322	104	451	309	236	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1636	11	17	12	14	9	11	12	9	12	12	4	4	22	19	16	11	12	16	18	14	4	14	3	14	3	10	27	12	12	15	3	15	13	13	13	6	8	3	5	8	18	26	23	19	25	21	17	11	21	20	31	23	13	8	13	19	77	24	9	16	5	222	143	32	20	22	8	17	11	14	16	15	6	7	0	18	14	9	4	16	17	11	9	10	20	6	15	16	10	0	3	0	8	9	13	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	151901	2290	1451	1284	1782	1412	1953	1830	1697	1893	1846	1395	1349	2010	1661	1956	1654	1336	2001	1212	1739	1837	2387	1470	1961	1813	1614	1555	1172	1709	1932	2193	1942	1835	1936	1902	1484	1554	1680	1242	1617	1522	1935	1953	1709	1895	1895	1850	2255	1730	1530	1714	1412	1744	1266	71	1490	1906	2021	1500	1722	1904	299	163	2132	1593	1147	2282	2219	1668	1266	1624	1364	1727	1491	1445	1832	1852	1435	113	1634	1599	1318	2118	1536	1726	297	196	1418	1110	1094	1020	1243	918	504	1835	1691	764	618					
9	Число недействительных избирательных бюллетеней	2448	25	18	17	25	29	27	30	11	31	14	16	18	32	21	33	19	15	29	14	26	18	32	15	27	32	25	27	27	13	39	23	27	32	35	14	17	13	24	29	22	27	37	25	14	19	22	20	29	73	25	16	12	24	15	0	40	29	25	13	30	25	5	5	48	31	8	29	31	14	20	24	14	17	16	21	24	21	17	0	24	23	14	229	26	28	5	2	10	30	18	19	42	22	5	32	74	28	11					
10	Число действительных избирательных бюллетеней	151089	2276	1450	1279	1771	1392	1937	1812	1695	1874	1844	1383	1335	2000	1659	1939	1646	1333	1988	1216	1727	1823	2369	1458	1948	1784	1599	1555	1157	1708	1908	2173	1930	1816	1914	1901	1473	1549	1659	1218	1603	1513	1924	1951	1714	1901	1894	1847	2237	1678	1525	1729	1423	1733	1259	84	1469	1954	2020	1496	1708	1884	516	301	2116	1582	1161	2261	2205	1665	1260	1616	1365	1716	1482	1424	1826	1845	1427	117	1626	1593	1315	1898	1520	1718	298	209	1424	1090	1076	1004	1201	904	508	1816	1617	736	607					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1921	20	20	20	33	20	23	20	20	20	20	20	20	20	20	20	20	20	20	20	20	23	29	23	42	20	20	9	20	23	22	20	20	20	20	26	20	20	20	16	28	23	26	20	20	20	20	20	26	20	20	20	20	20	13	0	23	25	36	20	20	20	0	0	13	18	20	20	23	20	20	23	20	20	20	20	20	24	20	0	20	20	23	20	20	20	4	5	20	15	7	20	17	15	15	20	20	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1594	20	20	12	29	17	21	18	20	11	19	16	15	20	18	15	18	12	19	18	18	23	29	21	42	19	18	5	13	21	21	13	19	18	20	24	14	17	18	13	26	22	23	18	14	16	18	20	24	20	11	20	14	14	10	0	17	25	34	14	12	19	0	0	11	17	13	20	23	8	13	22	15	20	5	13	20	22	15	0	11	19	20	19	10	13	4	1	6	14	5	9	14	8	3	18	20	18	30					
