Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Вельская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №183	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №197	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44343	1449	938	1337	1092	1169	1313	1886	167	1327	1597	1671	1571	990	1398	643	119	110	949	1102	88	178	291	236	139	824	953	983	918	995	993	210	329	149	1186	1532	510	427	174	520	1136	106	130	741	251	172	369	59	1509	792	301	713	302	341	260	559	648	1384	138	565	365	562	97	380									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43100	1400	900	1200	1050	1150	1300	1850	170	1300	1600	1600	1550	950	1400	630	110	100	900	1100	80	160	280	230	135	830	940	950	900	1000	950	190	300	130	1150	1500	480	400	140	500	1130	100	120	700	200	150	340	55	1500	780	300	700	300	330	250	550	630	1390	140	550	350	550	100	380									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15107	548	302	497	425	419	447	746	83	383	531	538	470	370	365	204	43	17	344	338	35	53	89	57	72	224	272	261	224	400	252	84	148	78	420	604	153	139	83	207	324	44	64	308	112	72	140	22	465	295	110	220	92	147	79	192	168	519	77	165	131	229	60	147									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2084	16	30	119	5	12	33	48	8	12	7	14	102	3	49	32	3	63	34	68	11	37	14	58	9	90	29	10	39	16	37	31	12	18	30	22	62	41	25	66	70	21	7	31	24	19	29	20	92	60	7	20	41	25	16	31	38	70	14	48	28	25	12	21									
6	Число погашенных избирательных бюллетеней	25909	836	568	584	620	719	820	1056	79	905	1062	1048	978	577	986	394	64	20	522	694	34	70	177	115	54	516	639	679	637	584	661	75	140	34	700	874	265	220	32	227	736	35	49	361	64	59	171	13	943	425	183	460	167	158	155	327	424	801	49	337	191	296	28	212									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2084	16	30	119	5	12	33	48	8	12	7	14	102	3	49	32	3	63	34	68	11	37	14	58	9	90	29	10	39	16	37	31	12	18	30	22	62	41	25	66	70	21	7	31	24	19	29	20	92	60	7	20	41	25	16	31	38	70	14	48	28	25	12	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15088	548	302	497	425	419	445	746	83	382	531	538	470	370	365	204	43	17	344	338	35	53	89	57	72	224	272	261	224	400	252	84	148	78	420	602	153	139	83	207	324	44	64	308	112	72	140	22	465	295	110	220	92	147	79	192	168	519	63	165	131	229	60	147									
9	Число недействительных избирательных бюллетеней	304	10	6	17	12	7	6	12	3	14	12	16	22	12	8	2	2	2	2	2	1	3	4	2	2	5	5	1	4	11	4	2	1	0	11	12	0	3	0	1	3	0	0	4	0	0	2	0	8	6	3	1	1	2	6	4	1	10	2	3	3	2	2	2									
10	Число действительных избирательных бюллетеней	16868	554	326	599	418	424	472	782	88	380	526	536	550	361	406	234	44	78	376	404	45	87	99	113	79	309	296	270	259	405	285	113	159	96	439	612	215	177	108	272	391	65	71	335	136	91	167	42	549	349	114	239	132	170	89	219	205	579	75	210	156	252	70	166									
