Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Kлепиковская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169									
1	Число избирателей, внесенных в списки избирателей	22510	1823	1504	1564	978	1624	1010	993	1649	898	1399	306	150	101	241	213	87	662	532	1679	414	158	109	893	194	501	256	111	297	111	273	134	108	382	64	53	299	385	355									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	21250	1685	1365	1340	970	1370	992	963	1440	892	1240	306	154	102	234	219	85	668	537	1522	420	162	116	910	196	512	265	114	294	113	279	134	105	380	67	56	300	392	351									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	13599	1268	1077	1009	625	993	596	580	987	517	907	177	60	40	101	54	57	439	294	983	218	81	56	453	131	307	181	52	179	42	179	49	65	259	45	35	141	152	210									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	2091	25	55	132	94	60	74	81	26	85	48	49	56	36	94	84	20	46	110	126	75	33	28	129	30	45	14	39	51	46	29	36	23	26	4	8	50	84	40									
6	Число погашенных избирательных бюллетеней	5560	392	233	199	251	317	322	302	427	290	285	80	38	26	39	81	8	183	133	413	127	48	32	328	35	160	70	23	64	25	71	49	17	95	18	13	109	156	101									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2091	25	55	132	94	60	74	81	26	85	48	49	56	36	94	84	20	46	110	126	75	33	28	129	30	45	14	39	51	46	29	36	23	26	4	8	50	84	40									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13598	1268	1077	1009	624	993	596	580	987	517	907	177	60	40	101	54	57	439	294	983	218	81	56	453	131	307	181	52	179	42	179	49	65	259	45	35	141	152	210									
9	Число недействительных избирательных бюллетеней	189	19	16	10	11	16	14	8	11	3	10	4	1	2	3	0	0	11	3	15	2	0	0	7	2	2	3	2	4	0	0	0	1	2	1	0	0	1	5									
10	Число действительных избирательных бюллетеней	15500	1274	1116	1131	707	1037	656	653	1002	599	945	222	115	74	192	138	77	474	401	1094	291	114	84	575	159	350	192	89	226	88	208	85	87	283	48	43	191	235	245									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	299	30	20	23	10	20	10	20	20	10	10	6	1	3	0	3	3	7	6	15	5	3	3	18	3	5	3	3	4	3	4	3	3	4	3	3	4	4	4									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	198	29	19	21	7	11	6	7	7	7	10	6	0	2	0	3	1	3	5	13	5	2	0	18	3	2	0	0	2	0	0	1	0	4	0	0	0	2	2									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	226	15	10	15	13	21	5	6	14	10	8	8	1	4	6	4	1	6	3	16	4	2	1	5	2	5	2	2	2	2	8	4	2	6	2	1	4	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	101	1	1	2	3	9	4	13	13	3	0	0	1	1	0	0	2	4	1	2	0	1	3	0	0	3	3	3	2	3	4	2	3	0	3	3	4	2	2									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
