Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
"Наименование Избирательной комиссии:    Кемерово, Кировская"																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №230	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42896	2120	2192	1998	2034	2154	2120	2152	1945	2020	2046	2521	2479	2665	2588	2470	2267	2717	2181	2227									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41200	2000	2000	2000	2000	2000	2000	2000	1900	2000	2000	2400	2400	2500	2500	2500	2200	2700	2000	2100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31057	1438	1534	1344	1498	1493	1449	1512	1386	1414	1427	1858	2026	1873	1826	1779	1824	2042	1730	1604									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1970	118	155	130	45	76	162	73	53	91	149	79	108	115	99	142	125	116	69	65									
6	Число погашенных избирательных бюллетеней	8173	444	311	526	457	431	389	415	461	495	424	463	266	512	575	579	251	542	201	431									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1970	118	155	130	45	76	162	73	53	91	149	79	108	115	99	142	125	116	69	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31051	1438	1534	1344	1498	1491	1448	1512	1386	1414	1425	1857	2026	1873	1826	1779	1824	2042	1730	1604									
9	Число недействительных избирательных бюллетеней	84	3	5	6	10	2	1	4	7	3	7	7	1	2	1	4	3	5	1	12									
10	Число действительных избирательных бюллетеней	32937	1553	1684	1468	1533	1565	1609	1581	1432	1502	1567	1929	2133	1986	1924	1917	1946	2153	1798	1657									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1900	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1153	70	93	61	45	56	97	41	41	46	73	58	53	35	41	39	50	94	60	100									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	5	8	3	6	1	7	7	8	7	4	4	10	2	2	2	5	1	10	7									
14	Число погашенных неиспользованных открепительных удостоверений	747	30	7	39	55	44	3	59	59	54	27	42	47	65	59	61	50	6	40	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	1	2	2	3	3	4	6	3	0	5	2	1	4	2	2	1	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
