Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Краснодар, Центральная"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	119059	2318	2406	2116	1998	1854	2115	1664	1861	2155	2093	1724	1417	2509	1919	1894	2129	2322	2203	2572	2242	2694	2906	2488	2737	2248	1985	1501	2060	2089	1425	1753	1620	1978	2101	2361	1826	1967	1630	2539	1545	1534	1353	2569	2112	2040	1303	2333	1890	2632	2403	2175	1974	2185	2628	2389	1580	384	1241	72	533	511	86	168									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	112050	2100	2300	2000	2000	1800	2100	1500	1700	2000	2000	1500	1400	2400	1800	1800	2100	2200	2000	2500	2100	2700	2700	2200	2500	2000	1800	1500	1800	1700	1400	1600	1500	1800	2100	1900	1750	1800	1500	2300	1400	1400	1300	2300	2000	1900	1200	2200	1700	2500	2300	2000	1800	2000	2400	2300	1500	400	1500	200	800	800	100	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43173	703	796	666	874	599	1088	558	962	713	762	653	435	799	714	781	813	779	965	702	1035	818	739	685	1065	1042	723	529	901	863	384	636	426	526	807	840	694	665	506	903	609	495	438	764	672	807	454	1317	463	844	841	700	641	754	925	727	414	142	1241	4	180	346	83	163									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4916	277	97	103	281	97	49	32	18	81	25	48	70	48	67	82	86	114	57	74	58	44	89	24	86	25	32	68	196	22	43	46	17	165	89	112	27	28	91	76	68	39	24	45	51	122	86	209	40	21	28	44	38	49	122	85	49	225	0	67	353	104	3	0									
6	Число погашенных избирательных бюллетеней	63961	1120	1407	1231	845	1104	963	910	720	1206	1213	799	895	1553	1019	937	1201	1307	978	1724	1007	1838	1872	1491	1349	933	1045	903	703	815	973	918	1057	1109	1204	948	1029	1107	903	1321	723	866	838	1491	1277	971	660	674	1197	1635	1431	1256	1121	1197	1353	1488	1037	33	259	129	267	350	14	37									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4914	276	97	103	281	97	49	32	18	81	25	48	70	48	67	82	86	114	57	74	58	44	89	24	86	25	32	68	196	22	43	46	17	165	89	112	26	28	91	76	68	39	24	45	51	122	86	209	40	21	28	44	38	49	122	85	49	225	0	67	353	104	3	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42908	702	796	665	874	599	1088	558	962	713	762	653	433	799	714	781	813	779	788	702	969	810	739	685	1065	1042	723	529	901	863	384	636	426	526	807	840	689	665	506	903	609	495	438	762	672	807	454	1317	463	844	841	700	641	754	925	727	414	142	1238	4	180	346	83	163									
9	Число недействительных избирательных бюллетеней	923	17	23	92	24	15	5	14	15	8	15	12	11	12	4	12	5	12	9	17	17	15	4	8	16	12	2	2	0	0	9	6	11	11	14	22	7	18	17	15	13	10	7	0	19	1	0	18	7	25	22	9	13	7	37	9	12	11	147	0	12	14	1	1									
10	Число действительных избирательных бюллетеней	46899	961	870	676	1131	681	1132	576	965	786	772	689	492	835	777	851	894	881	836	759	1010	839	824	701	1135	1055	753	595	1097	885	418	676	432	680	882	930	708	675	580	964	664	524	455	807	704	928	540	1508	496	840	847	735	666	796	1010	803	451	356	1091	71	521	436	85	162									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2398	40	60	40	40	35	30	30	35	30	40	30	50	40	30	30	50	50	56	40	35	60	40	60	65	35	60	40	35	30	50	50	30	35	45	35	30	40	35	61	51	30	30	45	45	40	30	55	50	45	65	40	30	55	65	65	30	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1880	40	44	36	34	17	30	26	28	29	23	29	45	40	23	28	35	37	47	27	31	42	31	42	56	22	44	29	35	30	34	50	27	28	41	35	27	16	19	47	34	18	27	23	45	40	30	38	32	24	44	40	28	41	43	47	22	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2907	58	34	29	61	30	8	19	56	23	45	149	4	17	121	56	43	71	47	24	69	37	72	59	48	141	14	22	55	138	19	28	14	40	71	23	97	47	22	27	48	26	10	20	51	66	18	26	33	39	27	33	13	49	38	7	22	13	13	4	178	75	1	159									
14	Число погашенных неиспользованных открепительных удостоверений	518	0	16	4	6	18	0	4	7	1	17	1	5	0	7	2	15	13	9	13	4	18	9	18	9	13	16	11	0	0	16	0	3	7	4	0	3	24	16	14	17	12	3	22	0	0	0	17	18	21	21	0	2	14	22	18	8	0	0	0	0	0	0	0									
