Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Канашская городская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35126	1819	482	1437	489	1004	315	1349	866	722	1561	1487	1573	1470	1632	1825	677	1092	1836	1485	1646	1563	1742	1274	265	1736	1805	1974									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35490	1850	480	1450	470	1020	320	1370	880	720	1580	1510	1600	1500	1660	1860	680	1110	1850	1500	1640	1550	1770	1280	260	1760	1820	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15707	764	273	674	201	416	163	585	363	279	769	649	692	652	780	799	284	431	764	706	721	654	761	540	148	797	885	957									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	358	6	16	14	4	9	0	12	9	14	12	13	12	25	12	6	9	13	25	25	20	17	21	16	0	7	27	14									
6	Число погашенных избирательных бюллетеней	19425	1080	191	762	265	595	157	773	508	427	799	848	896	823	868	1055	387	666	1061	769	899	879	988	724	112	956	908	1029									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	358	6	16	14	4	9	0	12	9	14	12	13	12	25	12	6	9	13	25	25	20	17	21	16	0	7	27	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15706	764	273	674	201	416	163	585	363	279	769	649	692	652	779	799	284	431	764	706	721	654	761	540	148	797	885	957									
9	Число недействительных избирательных бюллетеней	634	16	7	24	9	19	6	23	15	10	34	29	31	30	23	27	9	16	36	26	22	41	39	18	7	39	40	38									
10	Число действительных избирательных бюллетеней	15430	754	282	664	196	406	157	574	357	283	747	633	673	647	768	778	284	428	753	705	719	630	743	538	141	765	872	933									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	700	35	10	30	10	20	10	30	20	15	30	30	30	30	30	35	15	20	35	30	25	30	30	25	10	35	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	445	18	5	12	4	15	6	23	10	9	20	30	21	25	21	29	6	19	22	8	25	13	22	8	5	23	27	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	6	4	6	17	4	3	2	0	8	8	7	6	6	5	4	2	6	16	6	4	4	4	6	1	3	4	6									
14	Число погашенных неиспользованных открепительных удостоверений	255	17	5	18	6	5	4	7	10	6	10	0	9	5	9	6	9	1	13	22	0	17	8	17	5	12	13	21									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	189	9	2	11	1	7	2	6	3	3	5	7	13	6	13	14	6	3	6	12	12	7	12	5	2	13	5	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	136	3	2	5	0	3	0	3	2	2	6	11	8	6	4	11	3	5	6	10	10	5	9	0	0	6	5	11									
		0.85%	0.39%	0.69%	0.73%	0.00%	0.71%	0.00%	0.50%	0.54%	0.68%	0.77%	1.66%	1.14%	0.89%	0.51%	1.37%	1.02%	1.13%	0.76%	1.37%	1.35%	0.75%	1.15%	0.00%	0.00%	0.75%	0.55%	1.13%									
