Выборы Президента Российской Федерации																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Раменская																																																																																																																	
																																																																																																																	
Итоги голосования 																																																																																																																	
																																																																																																																	
		Сумма	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399					
1	"Число избирателей, внесенных в список"	168974	1733	1931	1548	1785	1466	1685	2673	1657	2420	2068	2502	2690	1853	2159	2492	2618	1638	1987	2369	1089	1109	1933	2430	1980	2498	1110	2016	1853	1892	2368	2102	2271	1960	1120	1872	1472	2262	1697	989	1853	1228	2313	973	1107	727	1411	889	2163	2296	2378	2399	2019	1211	1950	1027	658	1621	1590	2307	762	1387	747	1742	684	1069	1556	380	1843	2678	1925	1849	354	1456	1449	1103	482	1714	1501	1014	1130	2042	2633	1145	750	2448	551	260	1729	565	1443	2236	2166	753	938	2138	835	834	994	1454	1366	2015	1791	791	613	1749	493					
2	Число полученных избирательных бюллетеней	158800	1650	1800	1450	1650	1350	1600	2400	1600	2200	1900	2300	2400	1800	2100	2300	2400	1600	1900	2200	1000	1100	1900	2200	1800	2300	1050	1900	1700	1750	2300	2000	2100	1800	1050	1700	1400	2000	1600	950	1800	1150	2300	900	1000	700	1400	850	2000	2200	2300	2200	1900	1050	1900	1000	650	1500	1500	2300	750	1300	700	1600	650	1000	1400	350	1700	2500	1800	1800	320	1400	1400	1000	450	1600	1400	1000	1100	2000	2500	1100	700	2300	520	250	1600	510	1400	2200	2000	700	900	2000	800	750	950	1350	1300	1900	1700	750	550	1600	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	100430	883	1042	814	908	737	1050	1323	923	1396	1088	1271	1322	956	1221	1399	1472	977	1400	1271	696	772	1146	1574	1103	1806	727	1216	983	1120	1614	1611	1371	1115	578	1006	837	1127	896	480	876	715	1426	492	563	417	785	499	1258	1326	1711	1302	1078	685	1067	703	428	1221	958	1528	524	741	391	865	419	716	885	270	1218	1324	952	1044	172	1026	996	804	330	1271	1126	726	688	1421	1714	718	592	1295	357	179	1034	304	957	1598	1549	510	623	1452	521	340	454	823	902	1142	924	440	359	1174	291					
5	"Число избирательных бюллетеней, выданных вне помещения"	5854	65	30	41	59	44	33	65	32	21	44	75	202	87	17	39	14	26	13	18	11	13	34	132	99	11	48	124	72	14	42	141	133	45	89	24	24	78	18	34	117	27	24	60	32	38	50	41	38	26	13	30	33	43	187	11	31	112	114	138	81	17	20	29	0	6	27	13	74	83	77	28	39	23	43	35	45	16	10	47	132	30	84	102	20	41	38	16	137	94	63	14	10	25	28	56	14	220	115	188	74	36	78	71	38	84	57					
6	Число погашенных избирательных бюллетеней	52516	702	728	595	683	569	517	1012	645	783	768	954	876	757	862	862	914	597	487	911	293	315	720	494	598	483	275	560	645	616	644	248	596	640	383	670	539	795	686	436	807	408	850	348	405	245	565	310	704	848	576	868	789	322	646	286	191	167	428	634	145	542	289	706	231	278	488	67	408	1093	771	728	109	351	361	161	75	313	264	227	280	549	702	280	88	964	125	55	429	112	380	588	441	165	249	492	265	190	381	339	324	722	698	239	153	342	102					
7	Число избирательных бюллетеней в переносных ящиках	5853	65	30	41	59	44	33	65	32	21	44	75	202	87	17	39	14	26	13	18	11	13	34	132	99	11	48	124	72	14	42	140	133	45	89	24	24	78	18	34	117	27	24	60	32	38	50	41	38	26	13	30	33	43	187	11	31	112	114	138	81	17	20	29	0	6	27	13	74	83	77	28	39	23	43	35	45	16	10	47	132	30	84	102	20	41	38	16	137	94	63	14	10	25	28	56	14	220	115	188	74	36	78	71	38	84	57					
8	Число бюллетеней в стационарных ящиках для голосования	100059	883	1042	814	908	737	1049	1317	918	1394	1087	1271	1322	954	1219	1397	1458	976	1389	1265	696	770	1135	1442	1103	1783	724	1216	950	1120	1612	1608	1371	1115	578	1006	837	1127	892	453	875	687	1426	492	562	414	785	499	1258	1320	1711	1299	1078	685	1067	703	428	1219	958	1528	523	741	391	865	419	716	884	270	1218	1321	950	1044	172	1026	994	804	330	1269	1126	726	688	1421	1714	718	592	1295	357	179	1027	304	957	1598	1546	510	617	1452	520	340	454	823	902	1140	920	440	359	1174	291					
9	Число недействительных избирательных бюллетеней	828	13	2	10	7	0	6	8	21	11	5	9	15	11	12	12	5	4	19	3	4	2	12	12	6	16	5	7	6	4	11	13	26	10	5	4	6	6	8	4	4	2	13	5	10	1	9	7	2	0	22	0	9	5	7	6	2	16	8	13	8	10	1	11	6	9	9	0	5	6	4	7	1	18	7	0	2	11	10	4	7	9	3	11	6	9	5	1	5	1	10	10	6	4	7	26	0	7	3	10	26	17	6	9	5	9	6					
10	Число действительных избирательных бюллетеней	105084	935	1070	845	960	781	1076	1374	929	1404	1126	1337	1509	1030	1224	1424	1467	998	1383	1280	703	781	1157	1562	1196	1778	767	1333	1016	1130	1643	1735	1478	1150	662	1026	855	1199	902	483	988	712	1437	547	584	451	826	533	1294	1346	1702	1329	1102	723	1247	708	457	1315	1064	1653	596	748	410	883	413	713	902	283	1287	1398	1023	1065	210	1031	1030	839	373	1274	1126	769	813	1442	1795	809	606	1327	390	194	1159	397	1010	1602	1550	531	638	1482	534	553	566	1001	950	1159	992	502	392	1249	342					
