Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Барышcкая городская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81									
1	Число избирателей, внесенных в списки	15394	1359	1489	1494	695	904	1461	741	874	812	1472	873	1613	1607									
2	Число бюллетеней, полученных участковыми комиссиями	15210	1350	1450	1490	700	850	1450	700	890	800	1450	850	1600	1630									
3	Число бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число бюллетеней, выданных избирателям на избирательном участке	7237	795	797	819	347	441	607	299	420	369	465	379	876	623									
5	Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования	363	32	29	17	12	20	41	19	15	14	37	10	38	79									
6	Число погашенных бюллетеней	7610	523	624	654	341	389	802	382	455	417	948	461	686	928									
7	Число бюллетеней в переносных ящиках для голосования	382	32	29	17	12	20	41	38	15	14	37	10	38	79									
8	Число бюллетеней в стационарных ящиках для голосования	7218	795	797	819	347	441	607	280	420	369	465	379	876	623									
9	Число недействительных бюллетеней	191	14	18	22	2	20	27	7	12	16	13	12	18	10									
10	Число действительных бюллетеней	7409	813	808	814	357	441	621	311	423	367	489	377	896	692									
11	Число открепительных удостоверений, полученных участковыми комиссиями	170	15	15	15	10	15	15	10	10	10	15	10	15	15									
12	Число открепительных удостоверений, выданных участковыми комиссиями	83	9	14	8	2	13	7	1	7	3	2	1	10	6									
13	Число избирателей, проголосовавших по открепительным удостоверениям	40	5	3	1	1	10	7	0	4	2	2	1	3	1									
14	Число погашенных открепительных удостоверений	87	6	1	7	8	2	8	9	3	7	13	9	5	9									
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	3	0									
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
