Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Боровская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43893	1757	2137	1446	760	319	601	1079	506	400	774	2370	2623	2428	2547	2710	1969	2663	2328	2216	1572	467	395	632	243	316	374	514	192	2670	666	516	537	1474	1692									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39700	1500	1800	1200	650	300	550	1000	450	350	650	2200	2500	2200	2500	2200	1700	2600	2000	2000	1500	450	350	600	250	300	350	500	200	2500	600	450	500	1300	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17359	709	841	492	292	127	289	516	187	145	271	943	954	950	893	947	998	1398	851	768	589	155	121	208	123	108	154	205	95	812	248	227	272	918	553									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1467	15	36	48	27	40	24	55	26	8	5	13	9	6	15	19	24	10	58	120	94	16	36	107	56	125	55	27	63	101	37	49	62	50	31									
6	Число погашенных избирательных бюллетеней	20874	776	923	660	331	133	237	429	237	197	374	1244	1537	1244	1592	1234	678	1192	1091	1112	817	279	193	285	71	67	141	268	42	1587	315	174	166	332	916									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1467	15	36	48	27	40	24	55	26	8	5	13	9	6	15	19	24	10	58	120	94	16	36	107	56	125	55	27	63	101	37	49	62	50	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17344	709	841	492	292	127	289	516	187	145	271	943	954	950	893	947	996	1385	851	768	589	155	121	208	123	108	154	205	95	812	248	227	272	918	553									
9	Число недействительных избирательных бюллетеней	406	22	10	6	10	3	8	65	3	3	8	28	13	10	14	11	23	35	18	17	9	1	1	2	0	1	5	10	1	17	2	2	7	34	7									
10	Число действительных избирательных бюллетеней	18405	702	867	534	309	164	305	506	210	150	268	928	950	946	894	955	997	1360	891	871	674	170	156	313	179	232	204	222	157	896	283	274	327	934	577									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1305	45	45	35	30	20	25	45	30	15	25	35	45	45	45	40	60	80	45	40	30	20	20	40	30	40	20	25	20	90	20	40	45	65	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	968	13	32	12	12	17	19	45	7	8	25	35	45	19	18	30	35	79	45	21	20	9	3	5	30	34	20	25	20	90	20	17	44	64	50									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	376	15	36	8	12	9	4	14	12	15	3	24	6	10	2	10	22	22	5	19	6	5	9	11	7	15	4	3	10	6	8	6	8	25	5									
14	Число погашенных неиспользованных открепительных удостоверений	337	32	13	23	18	3	6	0	23	7	0	0	0	26	27	10	25	1	0	19	10	11	17	35	0	6	0	0	0	0	0	23	1	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	185	9	9	1	8	0	2	6	4	1	1	9	15	12	6	6	13	41	10	6	8	0	0	0	1	2	0	1	0	6	2	1	1	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	432	15	16	8	11	7	10	8	8	2	7	25	30	16	20	33	24	32	21	8	33	4	2	2	2	4	3	5	6	23	9	4	5	21	8									
		2.30%	2.07%	1.82%	1.48%	3.45%	4.19%	3.19%	1.40%	3.76%	1.31%	2.54%	2.62%	3.12%	1.67%	2.20%	3.42%	2.35%	2.29%	2.31%	0.90%	4.83%	2.34%	1.27%	0.63%	1.12%	1.72%	1.44%	2.16%	3.80%	2.52%	3.16%	1.45%	1.50%	2.17%	1.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	442	20	19	7	8	1	5	17	3	9	3	24	16	34	17	21	30	27	26	18	19	1	3	4	3	7	7	5	3	14	8	13	12	21	17									
		2.35%	2.76%	2.17%	1.30%	2.51%	0.60%	1.60%	2.98%	1.41%	5.88%	1.09%	2.51%	1.66%	3.56%	1.87%	2.17%	2.94%	1.94%	2.86%	2.03%	2.78%	0.58%	1.91%	1.27%	1.68%	3.00%	3.35%	2.16%	1.90%	1.53%	2.81%	4.71%	3.59%	2.17%	2.91%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	545	23	34	17	13	2	14	20	10	6	8	40	32	26	22	24	28	25	32	28	29	4	3	6	3	5	2	8	3	22	10	7	5	22	12									
		2.90%	3.18%	3.88%	3.15%	4.08%	1.20%	4.47%	3.50%	4.69%	3.92%	2.90%	4.18%	3.32%	2.72%	2.42%	2.48%	2.75%	1.79%	3.52%	3.15%	4.25%	2.34%	1.91%	1.90%	1.68%	2.15%	0.96%	3.45%	1.90%	2.41%	3.51%	2.54%	1.50%	2.27%	2.05%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8878	330	404	266	150	74	134	264	96	63	122	390	443	424	411	414	444	640	430	505	268	102	83	203	92	132	86	116	77	476	155	138	185	474	287									
		47.20%	45.58%	46.07%	49.26%	47.02%	44.31%	42.81%	46.23%	45.07%	41.18%	44.20%	40.79%	46.00%	44.35%	45.26%	42.86%	43.53%	45.88%	47.30%	56.87%	39.24%	59.65%	52.87%	64.44%	51.40%	56.65%	41.15%	50.00%	48.73%	52.14%	54.39%	50.00%	55.39%	48.97%	49.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	200	8	7	3	4	2	5	5	1	0	1	18	10	12	10	13	11	15	8	5	9	1	2	3	1	2	2	2	4	12	1	1	4	17	1									
		1.06%	1.10%	0.80%	0.56%	1.25%	1.20%	1.60%	0.88%	0.47%	0.00%	0.36%	1.88%	1.04%	1.26%	1.10%	1.35%	1.08%	1.08%	0.88%	0.56%	1.32%	0.58%	1.27%	0.95%	0.56%	0.86%	0.96%	0.86%	2.53%	1.31%	0.35%	0.36%	1.20%	1.76%	0.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	41	1	0	0	2	0	0	1	0	0	0	4	2	2	0	2	4	7	0	1	4	0	1	0	1	2	2	1	0	0	0	0	1	2	1									
		0.22%	0.14%	0.00%	0.00%	0.63%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.42%	0.21%	0.21%	0.00%	0.21%	0.39%	0.50%	0.00%	0.11%	0.59%	0.00%	0.64%	0.00%	0.56%	0.86%	0.96%	0.43%	0.00%	0.00%	0.00%	0.00%	0.30%	0.21%	0.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3619	136	163	114	49	36	31	74	37	36	43	171	166	165	169	213	261	309	179	146	147	27	25	53	23	54	41	35	42	157	50	46	79	215	127									
		19.24%	18.78%	18.59%	21.11%	15.36%	21.56%	9.90%	12.96%	17.37%	23.53%	15.58%	17.89%	17.24%	17.26%	18.61%	22.05%	25.59%	22.15%	19.69%	16.44%	21.52%	15.79%	15.92%	16.83%	12.85%	23.18%	19.62%	15.09%	26.58%	17.20%	17.54%	16.67%	23.65%	22.21%	21.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	143	4	4	2	0	3	6	2	1	0	4	7	8	12	7	6	11	15	3	5	4	1	0	2	0	1	1	2	5	6	4	0	2	8	7									
		0.76%	0.55%	0.46%	0.37%	0.00%	1.80%	1.92%	0.35%	0.47%	0.00%	1.45%	0.73%	0.83%	1.26%	0.77%	0.62%	1.08%	1.08%	0.33%	0.56%	0.59%	0.58%	0.00%	0.63%	0.00%	0.43%	0.48%	0.86%	3.16%	0.66%	1.40%	0.00%	0.60%	0.83%	1.20%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	222	5	14	6	2	3	5	4	1	1	1	20	16	17	7	18	9	17	4	7	11	0	3	4	0	0	1	5	1	17	2	2	1	9	9									
		1.18%	0.69%	1.60%	1.11%	0.63%	1.80%	1.60%	0.70%	0.47%	0.65%	0.36%	2.09%	1.66%	1.78%	0.77%	1.86%	0.88%	1.22%	0.44%	0.79%	1.61%	0.00%	1.91%	1.27%	0.00%	0.00%	0.48%	2.16%	0.63%	1.86%	0.70%	0.72%	0.30%	0.93%	1.54%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	32	0	0	0	3	0	0	0	0	1	0	1	0	0	0	2	2	1	3	1	6	0	1	1	0	1	1	0	3	1	0	1	0	0	3									
		0.17%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.10%	0.00%	0.00%	0.00%	0.21%	0.20%	0.07%	0.33%	0.11%	0.88%	0.00%	0.64%	0.32%	0.00%	0.43%	0.48%	0.00%	1.90%	0.11%	0.00%	0.36%	0.00%	0.00%	0.51%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	370	10	30	6	12	5	22	11	4	1	6	27	16	21	17	10	18	25	9	7	19	4	2	5	1	2	10	11	4	26	4	5	4	4	12									
		1.97%	1.38%	3.42%	1.11%	3.76%	2.99%	7.03%	1.93%	1.88%	0.65%	2.17%	2.82%	1.66%	2.20%	1.87%	1.04%	1.76%	1.79%	0.99%	0.79%	2.78%	2.34%	1.27%	1.59%	0.56%	0.86%	4.78%	4.74%	2.53%	2.85%	1.40%	1.81%	1.20%	0.41%	2.05%									
