Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Димитровградская городская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	97699	1860	1375	1609	2009	1996	1912	2219	1896	2696	1912	1828	1459	2304	1789	1645	2316	1685	1219	1424	2557	2471	1264	2159	2054	2176	1115	1540	2220	2495	2306	1241	2161	1499	1242	690	2467	2213	1857	1991	2139	1952	1935	2212	1930	1103	2972	2038	2272	2028	2374	1494	107	272									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81750	1550	1150	1350	1650	1700	1600	1900	1600	2250	1600	1550	1200	1950	1500	1400	1950	1400	1000	1200	2100	2050	1050	1800	1700	1800	950	1250	1850	2100	1900	1000	1800	1250	1000	600	2100	1850	1550	1650	1800	1650	1600	1850	1600	900	2500	1700	1900	1700	2000	1250	150	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	42667	924	641	751	1002	981	915	1045	888	1220	883	667	556	953	886	766	1134	792	536	576	1044	859	515	940	790	830	441	530	851	1120	936	445	1023	669	555	288	1157	938	981	960	1036	926	917	990	844	466	1195	973	977	687	944	585	51	88									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1576	39	17	26	21	12	27	29	23	22	34	17	13	11	13	26	16	26	24	15	31	261	14	24	55	11	10	16	29	16	63	7	24	22	20	9	27	14	13	33	23	25	29	20	55	21	34	11	26	28	26	35	56	77									
6	Число погашенных избирательных бюллетеней	37507	587	492	573	627	707	658	826	689	1008	683	866	631	986	601	608	800	582	440	609	1025	930	521	836	855	959	499	704	970	964	901	548	753	559	425	303	916	898	556	657	741	699	654	840	701	413	1271	716	897	985	1030	630	43	135									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1576	39	17	26	21	12	27	29	23	22	34	17	13	11	13	26	16	26	24	15	31	261	14	24	55	11	10	16	29	16	63	7	24	22	20	9	27	14	13	33	23	25	29	20	55	21	34	11	26	28	26	35	56	77									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42577	924	641	749	999	981	915	1042	888	1219	881	664	552	953	885	766	1134	791	536	573	1013	854	514	940	790	830	441	530	850	1120	923	442	1023	669	555	288	1157	938	980	958	1028	926	917	990	844	466	1195	973	977	685	944	585	51	88									
9	Число недействительных избирательных бюллетеней	869	29	13	14	28	18	12	16	18	24	22	0	9	11	22	15	24	13	2	19	16	32	11	17	17	21	0	9	18	14	27	8	28	8	15	6	29	27	18	22	21	22	23	20	17	9	29	7	24	2	15	18	2	8									
10	Число действительных избирательных бюллетеней	43284	934	645	761	992	975	930	1055	893	1217	893	681	556	953	876	777	1126	804	558	569	1028	1083	517	947	828	820	451	537	861	1122	959	441	1019	683	560	291	1155	925	975	969	1030	929	923	990	882	478	1200	977	979	711	955	602	105	157									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1610	30	20	30	30	40	40	40	20	40	40	30	20	40	40	30	40	30	20	30	50	40	20	40	40	30	20	20	30	50	40	20	30	20	20	10	50	50	30	30	30	30	30	30	20	20	50	30	30	30	40	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	866	23	9	16	14	31	14	13	16	22	16	20	15	29	19	21	28	14	9	9	13	13	20	14	10	12	11	9	13	43	24	7	13	15	10	5	28	24	19	18	18	20	18	15	17	11	15	20	16	21	24	12	0	0									
