Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
Наименование Избирательной комиссии:    Можайская																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №3502									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56415	1476	1224	760	1475	1538	1566	1564	1061	558	1520	1465	545	831	1572	988	751	1569	725	848	1139	399	1583	1566	1730	920	689	1395	671	690	670	676	727	758	322	369	310	655	477	294	536	274	1072	277	716	676	857	223	950	1827	1176	1111	1185	1274	276	1009	1097	395	463	569	414	494	413	531	524									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50880	1330	920	580	1320	1400	1420	1430	950	510	1390	1330	490	750	1320	910	690	1450	650	770	1020	360	1400	1390	1560	850	620	1310	600	600	600	620	650	690	290	330	280	570	430	260	510	250	950	240	660	610	780	200	850	1850	1100	1040	1040	1090	280	910	990	340	420	510	370	450	380	490	530									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20024	471	270	258	493	503	603	601	411	208	565	495	175	292	550	304	142	507	245	332	361	113	562	577	639	337	254	398	271	217	214	271	253	294	74	30	103	276	159	114	197	80	417	98	240	259	244	28	291	1632	397	293	279	427	79	334	395	90	105	139	130	165	106	133	524									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1625	9	206	25	83	4	12	9	0	2	4	5	0	4	9	14	25	17	8	8	15	12	4	13	5	11	9	3	7	18	12	18	18	17	27	61	15	13	27	30	40	22	80	13	41	37	76	36	28	45	42	12	5	59	33	52	9	10	10	99	10	4	41	42	0									
6	Число погашенных избирательных бюллетеней	29231	850	444	297	744	893	805	820	539	300	821	830	315	454	761	592	523	926	397	430	644	235	834	800	916	502	357	909	322	365	374	331	379	379	189	239	162	281	244	116	273	148	453	129	379	314	460	136	531	173	661	735	756	604	168	524	586	240	305	272	230	281	233	315	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1625	9	206	25	83	4	12	9	0	2	4	5	0	4	9	14	25	17	8	8	15	12	4	13	5	11	9	3	7	18	12	18	18	17	27	61	15	13	27	30	40	22	80	13	41	37	76	36	28	45	42	12	5	59	33	52	9	10	10	99	10	4	41	42	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19995	471	270	258	493	503	600	601	411	208	563	495	175	292	550	304	142	507	245	332	344	113	562	577	639	337	254	398	271	217	214	271	246	294	74	30	103	276	159	114	197	80	417	98	240	259	244	28	291	1632	397	293	279	427	79	334	395	90	105	139	130	165	106	133	524									
9	Число недействительных избирательных бюллетеней	710	9	49	9	25	24	25	23	14	5	10	16	7	10	28	8	11	17	5	10	21	0	12	23	24	13	6	15	15	5	7	16	7	9	2	1	6	3	3	1	25	6	4	0	15	7	3	0	12	20	7	9	4	14	1	13	20	5	6	7	4	8	4	6	16									
10	Число действительных избирательных бюллетеней	20910	471	427	274	551	483	587	587	397	205	557	484	168	286	531	310	156	507	248	330	338	125	554	567	620	335	257	386	263	230	219	273	257	302	99	90	112	286	183	143	212	96	493	111	266	289	317	64	307	1657	432	296	280	472	111	373	384	95	109	231	136	161	143	169	508									
