Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Сосновоборская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №695									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30002	2906	2960	2974	2840	3036	2978	2961	3043	2642	2717	945									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27700	2700	2700	2700	2700	2800	2800	2700	2800	2500	2500	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11928	1072	1258	1277	1070	1115	1223	1241	1115	1127	1089	341									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	95	14	11	6	9	9	9	12	13	2	8	2									
6	Число погашенных избирательных бюллетеней	15677	1614	1431	1417	1621	1676	1568	1447	1672	1371	1403	457									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	95	14	11	6	9	9	9	12	13	2	8	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11896	1070	1257	1268	1070	1105	1219	1238	1115	1127	1086	341									
9	Число недействительных избирательных бюллетеней	344	34	32	61	22	30	30	20	40	33	36	6									
10	Число действительных избирательных бюллетеней	11647	1050	1236	1213	1057	1084	1198	1230	1088	1096	1058	337									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	850	80	80	80	80	80	80	80	80	80	80	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	191	22	17	11	17	16	21	21	11	27	19	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	585	22	65	138	29	34	50	78	51	49	45	24									
14	Число погашенных неиспользованных открепительных удостоверений	659	58	63	69	63	64	59	59	69	53	61	41									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	4	2	1	5	1	2	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	234	11	29	28	25	34	19	23	15	21	14	15									
		1.95%	1.01%	2.29%	2.20%	2.32%	3.05%	1.55%	1.84%	1.33%	1.86%	1.28%	4.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	406	40	50	35	19	45	42	48	44	36	39	8									
		3.39%	3.69%	3.94%	2.75%	1.76%	4.04%	3.42%	3.84%	3.90%	3.19%	3.56%	2.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	274	27	28	28	28	22	32	25	28	27	23	6									
		2.29%	2.49%	2.21%	2.20%	2.59%	1.97%	2.61%	2.00%	2.48%	2.39%	2.10%	1.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5015	457	519	612	438	433	524	532	506	434	416	144									
		41.82%	42.16%	40.93%	48.04%	40.59%	38.87%	42.67%	42.56%	44.86%	38.44%	38.03%	41.98%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	129	7	10	9	19	11	14	13	15	16	11	4									
		1.08%	0.65%	0.79%	0.71%	1.76%	0.99%	1.14%	1.04%	1.33%	1.42%	1.01%	1.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	0	1	1	3	4	3	2	0	2	2	0									
		0.15%	0.00%	0.08%	0.08%	0.28%	0.36%	0.24%	0.16%	0.00%	0.18%	0.18%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2444	209	287	218	250	252	250	224	226	212	225	91									
		20.38%	19.28%	22.63%	17.11%	23.17%	22.62%	20.36%	17.92%	20.04%	18.78%	20.57%	26.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	100	10	8	12	7	4	12	11	14	15	7	0									
		0.83%	0.92%	0.63%	0.94%	0.65%	0.36%	0.98%	0.88%	1.24%	1.33%	0.64%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	120	12	5	14	16	14	12	11	5	15	15	1									
		1.00%	1.11%	0.39%	1.10%	1.48%	1.26%	0.98%	0.88%	0.44%	1.33%	1.37%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	4	0	1	2	3	2	0	0	1	0									
		0.11%	0.00%	0.32%	0.00%	0.09%	0.18%	0.24%	0.16%	0.00%	0.00%	0.09%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	170	13	20	11	19	11	29	29	11	16	8	3									
		1.42%	1.20%	1.58%	0.86%	1.76%	0.99%	2.36%	2.32%	0.98%	1.42%	0.73%	0.87%									
