Выборы Президента Российской Федерации																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Итоги голосования 																																																																																																													
																																																																																																													
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
1	"Число избирателей, внесенных в список"	156496	2240	1495	1514	1475	1242	740	1435	2547	1583	768	2394	1648	1519	2122	2300	2162	1252	1094	1584	1886	1414	1805	1662	1545	979	1770	941	1493	1731	674	1610	1411	1928	920	882	1714	996	1572	769	2375	2090	1441	1570	1475	1732	1970	2083	1755	1895	2387	1215	550	540	1183	1570	1240	1457	2109	894	1842	934	1601	1292	1691	1290	1789	2049	1410	1384	1731	1683	2508	1830	1008	1265	1219	1050	1115	1050	2153	1459	1245	2680	1250	1775	2065	1853	1458	1377	1405	1477	1957	1135	1736	1437	1136	1183	2426	935	1516	1730	1020					
2	Число полученных избирательных бюллетеней	156495	2150	1500	1515	1500	1300	760	1470	2500	1600	780	2400	1500	1500	2120	2300	2000	1300	1090	1500	1900	1410	1700	1670	1600	990	1800	900	1490	1700	700	1600	1300	1900	920	870	1800	990	1600	770	2300	2090	1500	1500	1470	1770	1900	2000	1900	2000	2400	1100	520	700	1270	1500	1280	1400	2063	890	1800	970	1700	1460	1700	1400	1800	2050	1400	1420	1850	1680	2590	1800	1000	1260	1200	1000	1100	1035	2080	1460	1200	2700	1250	1790	2050	1826	1480	1380	1400	1490	1940	1150	1700	1430	1096	1180	2410	980	1640	1700	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	142891	2085	1210	1513	1425	1228	620	1359	2431	1469	744	2195	1465	1400	2040	2233	1962	1050	1032	1372	1841	1379	1652	1589	1338	925	1629	886	1416	1425	0	1485	1082	1825	842	351	1126	903	1531	726	2260	1996	1351	1266	1326	1667	1748	1982	1492	1090	2295	1085	507	516	1119	1435	1175	1154	2054	821	1742	716	1421	1270	1602	1250	1743	1831	1333	1300	1666	1605	2499	1333	921	1196	1119	903	998	977	2001	1420	1156	2482	1186	1676	1998	1563	1378	1333	1310	1408	1869	1020	1625	1340	1046	1122	2351	926	1497	1656	980					
5	"Число избирательных бюллетеней, выданных вне помещения"	5989	30	276	0	50	1	120	12	14	37	1	104	11	64	5	21	38	35	20	17	45	14	23	8	53	18	70	14	17	57	674	30	185	45	56	395	62	54	41	24	20	10	8	136	45	11	101	18	263	767	8	15	13	0	26	61	15	119	8	38	34	36	64	22	38	40	10	137	20	42	13	11	9	250	30	19	58	97	72	22	0	5	39	57	26	24	5	38	23	3	11	10	9	71	51	41	50	29	7	9	19	12	3					
6	Число погашенных избирательных бюллетеней	7615	35	14	2	25	71	20	99	55	94	35	101	24	36	75	46	0	215	38	111	14	17	25	73	209	47	101	0	57	218	26	85	33	30	22	124	612	33	28	20	20	84	141	98	99	92	51	0	145	143	97	0	0	184	125	4	90	127	1	31	24	218	215	168	60	110	47	82	47	78	171	64	82	217	49	45	23	0	30	36	79	35	5	161	38	90	47	225	79	44	79	72	62	59	24	49	0	29	52	45	124	32	17					
7	Число избирательных бюллетеней в переносных ящиках	5989	30	276	0	50	1	120	12	14	37	1	104	11	64	5	21	38	35	20	17	45	14	23	8	53	18	70	14	17	57	674	30	185	45	56	395	62	54	41	24	20	10	8	136	45	11	101	18	263	767	8	15	13	0	26	61	15	119	8	38	34	36	64	22	38	40	10	137	20	42	13	11	9	250	30	19	58	97	72	22	0	5	39	57	26	24	5	38	23	3	11	10	9	71	51	41	50	29	7	9	19	12	3					
8	Число бюллетеней в стационарных ящиках для голосования	142868	2085	1210	1513	1425	1228	620	1359	2431	1467	744	2195	1465	1400	2040	2233	1962	1050	1032	1372	1841	1379	1652	1589	1338	924	1629	886	1416	1425	0	1485	1082	1825	842	351	1126	903	1531	726	2260	1996	1351	1266	1326	1667	1748	1982	1492	1090	2295	1085	507	516	1119	1435	1175	1154	2054	821	1742	716	1421	1270	1602	1250	1743	1831	1333	1300	1666	1605	2499	1333	921	1196	1119	903	998	977	2001	1420	1156	2482	1186	1676	1998	1543	1378	1333	1310	1408	1869	1020	1625	1340	1046	1122	2351	926	1497	1656	980					
9	Число недействительных избирательных бюллетеней	192	0	0	0	0	0	0	0	0	7	6	0	3	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	5	0	13	0	8	0	6	35	4	0	0	0	9	0	0	0	2	0	3	2	2	0	0	3	1	0	19	0	0	0	0	4	2	0	0	0	0	0	3	0	2	0	0	3	5	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	20	6	0					
10	Число действительных избирательных бюллетеней	148665	2115	1486	1513	1475	1229	740	1371	2445	1497	739	2299	1473	1464	2045	2254	2000	1085	1048	1389	1886	1392	1675	1597	1391	942	1698	900	1433	1482	674	1515	1267	1870	896	746	1183	957	1559	750	2272	2006	1353	1367	1367	1678	1849	2000	1746	1857	2303	1100	518	516	1142	1494	1188	1273	2062	856	1775	752	1466	1292	1640	1290	1753	1964	1351	1342	1679	1616	2508	1583	948	1215	1175	1000	1070	996	1996	1425	1195	2539	1212	1691	2003	1581	1401	1336	1321	1418	1878	1091	1676	1379	1096	1151	2358	935	1496	1662	983					
11	Число полученных открепительных  удостоверений	1896	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	0	19	18	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	0	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	29	19	19	19	19	19	18	18	18	18	18	18	18	18	18	18	18	18	18	19					
12	Число выданных открепительных удостоверений	283	1	0	1	0	1	0	3	0	3	5	5	0	0	5	0	4	1	3	7	2	3	3	5	4	4	1	0	0	4	0	8	1	5	1	0	2	0	3	1	0	2	0	4	5	1	0	4	4	0	5	4	1	0	1	3	7	4	0	2	5	3	5	4	1	1	12	4	3	3	1	2	3	0	1	1	1	1	4	0	4	3	0	24	2	4	16	4	3	3	1	1	7	3	5	3	2	0	2	1	4	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	431	0	0	0	0	0	56	2	5	2	4	0	0	3	2	0	2	0	1	5	4	0	2	1	1	0	2	0	0	13	0	0	2	3	1	234	6	4	2	1	1	0	0	0	0	0	0	0	0	7	2	0	1	4	2	3	0	1	0	19	1	2	1	1	1	0	2	0	0	0	0	1	0	0	2	0	0	0	3	1	2	0	1	5	0	0	0	0	2	0	0	0	0	0	0	0	5	0	1	0	0	2	0					
14	Число неиспользованных открепительных удостоверений	1613	18	19	18	19	18	19	16	19	16	14	14	19	19	14	19	15	18	16	12	17	16	16	14	15	15	18	19	19	15	0	11	17	14	18	19	17	19	16	18	19	17	19	15	14	18	19	15	15	19	14	15	18	0	18	16	12	15	19	17	14	16	14	15	18	18	7	15	16	16	18	17	16	19	18	18	18	18	15	19	15	16	19	5	17	15	3	15	16	15	17	17	11	15	13	15	16	18	16	17	14	15	19					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																													
18	. Глазьев Сергей Юрьевич	1183	0	16	6	5	1	26	15	20	0	4	30	0	6	38	12	1	54	3	8	9	4	7	8	35	3	5	6	1	24	3	0	21	3	0	1	26	10	27	13	8	4	24	20	5	5	0	0	120	5	16	0	4	3	4	23	2	17	10	1	2	5	33	5	1	3	0	27	18	0	6	29	3	37	17	1	3	3	5	13	5	3	15	7	4	31	8	31	3	2	10	3	9	29	12	8	16	4	2	7	8	27	6					
		0.79%	0.00%	1.08%	0.40%	0.34%	0.08%	3.51%	1.09%	0.82%	0.00%	0.54%	1.30%	0.00%	0.41%	1.86%	0.53%	0.05%	4.98%	0.29%	0.58%	0.48%	0.29%	0.42%	0.50%	2.52%	0.32%	0.29%	0.67%	0.07%	1.62%	0.45%	0.00%	1.66%	0.16%	0.00%	0.13%	2.19%	1.04%	1.72%	1.73%	0.35%	0.20%	1.77%	1.43%	0.36%	0.30%	0.00%	0.00%	6.84%	0.27%	0.69%	0.00%	0.77%	0.58%	0.35%	1.54%	0.17%	1.34%	0.48%	0.12%	0.11%	0.66%	2.22%	0.39%	0.06%	0.23%	0.00%	1.37%	1.33%	0.00%	0.36%	1.79%	0.12%	2.34%	1.79%	0.08%	0.25%	0.30%	0.47%	1.30%	0.25%	0.21%	1.26%	0.28%	0.33%	1.82%	0.40%	1.96%	0.21%	0.15%	0.76%	0.21%	0.48%	2.66%	0.72%	0.58%	1.46%	0.35%	0.08%	0.75%	0.53%	1.62%	0.61%					
19	. Малышкин Олег Александрович	329	0	0	0	0	0	9	4	0	0	0	4	0	5	21	0	1	9	3	1	4	0	5	2	9	4	0	1	0	7	0	0	2	0	0	1	7	2	9	0	9	8	2	4	1	1	2	0	7	0	2	0	1	0	2	1	0	8	2	0	1	0	12	2	0	1	3	5	3	2	5	20	1	10	1	1	1	0	0	3	6	2	2	4	3	11	0	24	1	2	3	5	5	3	4	4	9	0	0	0	6	4	0					
		0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.29%	0.00%	0.00%	0.00%	0.17%	0.00%	0.34%	1.03%	0.00%	0.05%	0.83%	0.29%	0.07%	0.21%	0.00%	0.30%	0.13%	0.65%	0.42%	0.00%	0.11%	0.00%	0.47%	0.00%	0.00%	0.16%	0.00%	0.00%	0.13%	0.59%	0.21%	0.57%	0.00%	0.39%	0.40%	0.15%	0.29%	0.07%	0.06%	0.11%	0.00%	0.40%	0.00%	0.09%	0.00%	0.19%	0.00%	0.17%	0.07%	0.00%	0.63%	0.10%	0.00%	0.06%	0.00%	0.81%	0.15%	0.00%	0.08%	0.17%	0.25%	0.22%	0.15%	0.30%	1.24%	0.04%	0.63%	0.11%	0.08%	0.08%	0.00%	0.00%	0.30%	0.30%	0.14%	0.17%	0.16%	0.25%	0.65%	0.00%	1.52%	0.07%	0.15%	0.23%	0.35%	0.27%	0.27%	0.24%	0.29%	0.82%	0.00%	0.00%	0.00%	0.40%	0.24%	0.00%					
20	. Миронов Сергей Михайлович	288	0	1	0	19	1	3	0	0	0	1	4	0	1	13	0	0	6	4	0	0	3	8	0	3	2	0	9	3	5	0	0	5	1	0	2	12	3	3	2	0	5	5	3	2	6	0	0	7	0	3	0	0	1	1	2	0	3	0	1	2	3	10	2	0	2	1	1	4	3	2	13	4	3	3	2	1	3	0	12	6	2	1	2	1	6	0	1	1	2	8	2	3	5	3	2	8	0	0	0	2	8	1					
