Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Братская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206					
1	"Число избирателей, внесенных в списки избирателей"	43789	256	52	2317	859	268	52	112	504	135	1520	148	189	456	298	2353	187	318	797	1104	175	224	65	219	534	35	502	410	380	517	28	528	894	315	431	1276	665	352	933	752	1157	1134	1147	1181	1282	1229	1086	1248	1305	1164	1176	1241	1122	1240	1120	1422	664	233	274	212	309	342	1021	320					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39124	218	47	1924	765	248	48	98	471	106	1319	133	159	377	250	2081	201	280	810	1180	200	212	63	225	552	56	514	430	484	523	40	490	938	273	390	1066	663	376	822	665	926	883	914	933	1055	1033	950	977	1164	968	992	1035	935	994	889	1267	597	230	225	179	321	390	1183	387					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27724	158	39	1195	483	173	38	63	377	86	1062	105	137	298	225	1298	135	191	584	663	136	211	63	125	357	28	375	335	241	376	28	450	593	182	264	812	439	202	492	466	603	712	638	752	775	749	733	677	903	721	817	784	696	648	631	893	371	152	143	159	301	310	808	263					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1173	17	0	21	30	23	10	6	33	11	39	13	12	10	8	70	20	18	42	27	13	1	0	0	9	7	21	21	16	35	0	16	14	6	8	60	31	17	15	32	26	31	19	25	30	30	16	32	13	21	22	15	18	26	18	38	35	0	3	0	0	0	23	0					
6	Число погашенных избирательных бюллетеней	10227	43	8	708	252	52	0	29	61	9	218	15	10	69	17	713	46	71	184	490	51	0	0	100	186	21	118	74	227	112	12	24	331	85	118	194	193	157	315	167	297	140	257	156	250	254	201	268	248	226	153	236	221	320	240	336	191	78	79	20	20	80	352	124					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1173	17	0	21	30	23	10	6	33	11	39	13	12	10	8	70	20	18	42	27	13	1	0	0	9	7	21	21	16	35	0	16	14	6	8	60	31	17	15	32	26	31	19	25	30	30	16	32	13	21	22	15	18	26	18	38	35	0	3	0	0	0	23	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27666	158	39	1195	483	173	38	63	377	86	1062	105	137	298	225	1298	135	191	584	663	136	211	63	125	357	28	375	335	241	376	28	450	593	182	264	812	439	202	492	466	603	712	638	752	774	749	733	645	903	720	795	784	696	648	631	892	370	152	143	159	301	310	808	263					
9	Число недействительных избирательных бюллетеней	326	0	0	10	1	3	0	2	3	1	6	1	3	6	6	9	3	0	4	8	1	0	0	2	4	0	4	7	1	4	0	5	7	0	3	7	6	2	2	4	15	20	2	31	18	7	4	9	14	12	8	9	8	10	3	15	7	1	0	0	1	2	3	2					
10	Число действительных избирательных бюллетеней	28513	175	39	1206	512	193	48	67	407	96	1095	117	146	302	227	1359	152	209	622	682	148	212	63	123	362	35	392	349	256	407	28	461	600	188	269	865	464	217	505	494	614	723	655	746	786	772	745	668	902	729	809	790	706	664	646	915	398	151	146	159	300	308	828	261					
