Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
"Наименование Избирательной комиссии:    Смоленск, Промышленная"																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619					
1	"Число избирателей, внесенных в списки избирателей"	109469	2093	1726	1806	2454	2474	2498	1921	1072	1396	2996	2632	1753	2289	2489	2117	2665	1233	3441	2300	2308	2469	2629	2836	1720	1604	2096	2256	1961	2519	2880	2300	2898	1664	2743	1733	2456	1555	2616	1744	1683	2830	2937	2856	2688	2834	2787	2711	1801					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	105857	1868	1647	1665	2336	2391	2461	1853	1056	1411	2949	2220	1609	2005	2430	2113	2595	2224	2541	2275	2271	2276	2551	2817	1697	1571	2037	2221	1890	2487	2823	2255	2802	1493	2674	1711	2435	1541	2382	1671	1636	2788	2872	2794	2627	2761	2711	2740	1674					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	56348	1140	982	804	1319	1191	1119	814	417	509	1556	1202	928	1235	1313	1027	984	1197	1430	1106	1180	1216	1509	1524	908	760	1204	1137	1058	1272	1406	1305	1616	828	1362	951	1318	780	1315	936	808	1625	1633	1372	1503	1539	1613	1429	968					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1941	52	30	37	35	34	20	26	44	34	41	200	30	89	14	37	23	36	311	44	39	50	68	32	12	25	11	30	20	35	37	26	28	3	26	24	33	29	97	9	16	31	15	19	15	15	30	13	16					
6	Число погашенных избирательных бюллетеней	47568	676	635	824	982	1166	1322	1013	595	868	1352	818	651	681	1103	1049	1588	991	800	1125	1052	1010	974	1261	777	786	822	1054	812	1180	1380	924	1158	662	1286	736	1084	732	970	726	812	1132	1224	1403	1109	1207	1068	1298	690					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1920	52	30	37	35	34	20	26	44	34	41	199	30	89	14	37	23	36	299	44	39	50	68	32	12	25	11	30	20	35	37	26	28	3	26	24	33	29	97	9	16	23	15	19	15	15	30	13	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56294	1137	982	804	1308	1191	1119	814	417	509	1555	1202	926	1235	1313	1027	984	1197	1426	1106	1180	1216	1509	1524	908	760	1204	1137	1058	1271	1404	1305	1616	825	1362	951	1318	780	1315	936	808	1602	1632	1372	1503	1539	1610	1429	968					
9	Число недействительных избирательных бюллетеней	1047	28	19	12	24	17	11	18	11	48	31	34	16	20	21	15	16	19	17	33	28	19	25	34	20	14	16	19	46	28	16	23	24	11	39	11	25	9	29	21	14	16	17	29	23	26	18	21	16					
10	Число действительных избирательных бюллетеней	57167	1161	993	829	1319	1208	1128	822	450	495	1565	1367	940	1304	1306	1049	991	1214	1708	1117	1191	1247	1552	1522	900	771	1199	1148	1032	1278	1425	1308	1620	817	1349	964	1326	800	1383	924	810	1609	1630	1362	1495	1528	1622	1421	968					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2400	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	855	17	39	44	50	11	15	11	9	9	17	16	34	31	25	16	11	17	38	14	12	17	17	25	8	6	9	18	16	12	15	16	22	12	12	22	18	15	19	12	2	15	20	19	12	14	16	16	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	474	15	11	9	7	6	9	12	7	5	15	11	12	13	11	5	13	23	13	15	9	5	8	20	4	0	5	10	9	15	9	11	10	6	6	3	2	5	28	11	2	9	13	1	22	5	10	10	14					
14	Число погашенных неиспользованных открепительных удостоверений	1545	33	11	6	0	39	35	39	41	41	33	34	16	19	25	34	39	33	12	36	38	33	33	25	42	44	41	32	34	38	35	34	28	38	38	28	32	35	31	38	48	35	30	31	38	36	34	34	36					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	1.Политическая партия «Аграрная партия России»	1544	17	20	28	45	30	29	28	8	14	49	42	28	37	37	32	28	31	45	21	31	30	50	49	15	29	34	23	28	41	42	34	53	25	42	30	43	18	35	33	24	41	31	32	39	42	34	28	19					
		2.65%	1.43%	1.98%	3.33%	3.35%	2.45%	2.55%	3.33%	1.74%	2.58%	3.07%	2.99%	2.93%	2.79%	2.79%	3.01%	2.78%	2.51%	2.61%	1.83%	2.54%	2.37%	3.17%	3.15%	1.63%	3.69%	2.80%	1.97%	2.60%	3.14%	2.91%	2.55%	3.22%	3.02%	3.03%	3.08%	3.18%	2.22%	2.48%	3.49%	2.91%	2.52%	1.88%	2.30%	2.57%	2.70%	2.07%	1.94%	1.93%					
19	2.Всероссийская политическая партия «Гражданская Сила»	887	30	18	16	20	19	25	9	12	5	39	18	24	15	24	13	5	7	34	17	17	18	16	19	12	13	22	16	12	19	19	28	18	9	14	10	24	4	24	8	8	33	18	21	19	36	27	25	28					
		1.52%	2.52%	1.78%	1.90%	1.49%	1.55%	2.19%	1.07%	2.60%	0.92%	2.44%	1.28%	2.51%	1.13%	1.81%	1.22%	0.50%	0.57%	1.97%	1.48%	1.39%	1.42%	1.01%	1.22%	1.30%	1.66%	1.81%	1.37%	1.11%	1.45%	1.32%	2.10%	1.09%	1.09%	1.01%	1.03%	1.78%	0.49%	1.70%	0.85%	0.97%	2.03%	1.09%	1.51%	1.25%	2.32%	1.65%	1.73%	2.85%					
20	3.Политическая партия «Демократическая партия России»	86	2	2	1	3	1	8	0	0	0	4	1	1	1	1	0	2	1	3	1	1	1	4	2	3	0	2	0	0	1	2	2	4	2	2	1	1	0	1	1	1	0	5	3	4	3	2	3	3					
