Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
"Наименование Избирательной комиссии:    Смоленск, Промышленная"																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №810					
1	"Число избирателей, внесенных в список избирателей"	110038	1762	1767	1463	2596	2781	2631	2465	1190	1906	1110	1396	2188	2865	2358	2694	1754	2096	2491	2624	2514	2294	2158	1934	2512	2351	1592	1086	2365	2698	2722	2810	2713	2676	2214	2266	1965	2135	2019	2000	2143	2743	1950	1788	2011	2834	2810	2631	2822	2772	373					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106850	1650	1550	1400	2550	2600	2500	2400	1150	1850	1050	1400	2050	2800	2300	2650	1500	1850	2350	1850	2150	2300	2100	1900	2400	2350	1550	1050	2300	2550	2700	2800	2750	2650	2100	2200	1950	2150	2000	2000	2150	2750	1900	1750	1950	2700	2750	2650	2850	2700	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	51044	840	800	773	1198	1051	1257	1228	456	699	416	349	724	1382	1126	1049	770	1024	1182	1250	1243	1171	1105	923	1316	1105	761	498	1072	1316	1399	1266	1388	1271	946	1086	863	1019	903	720	1071	1124	1076	853	979	1465	1448	1335	1476	1116	156					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1299	56	27	12	26	22	20	15	3	23	25	36	1	20	21	59	136	23	26	9	33	17	4	17	12	29	10	6	19	18	27	19	21	22	40	40	21	15	17	20	33	26	13	17	9	10	14	15	9	12	174					
6	Число погашенных избирательных бюллетеней	54507	754	723	615	1326	1527	1223	1157	691	1128	609	1015	1325	1398	1153	1542	594	803	1142	591	874	1112	991	960	1072	1216	779	546	1209	1216	1274	1515	1341	1357	1114	1074	1066	1116	1080	1260	1046	1600	811	880	962	1225	1288	1300	1365	1572	970					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1299	56	27	12	26	22	20	15	3	23	25	36	1	20	21	59	136	23	26	9	33	17	4	17	12	29	10	6	19	18	27	19	21	22	40	40	21	15	17	20	33	26	13	17	9	10	14	15	9	12	174					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	51000	840	800	773	1195	1047	1257	1228	456	699	416	349	724	1380	1125	1049	770	1023	1181	1244	1243	1171	1105	923	1313	1105	761	498	1072	1315	1399	1266	1387	1271	946	1086	863	1018	903	720	1071	1124	1072	851	979	1465	1434	1335	1476	1116	156					
9	Число недействительных избирательных бюллетеней	902	15	18	11	27	23	40	25	8	12	10	5	11	29	17	16	9	21	14	11	13	14	11	16	15	21	16	5	13	23	17	16	27	18	16	23	14	19	14	13	27	18	26	21	16	44	22	24	29	20	9					
10	Число действительных избирательных бюллетеней	51397	881	809	774	1194	1046	1237	1218	451	710	431	380	714	1371	1129	1092	897	1025	1193	1242	1263	1174	1098	924	1310	1113	755	499	1078	1310	1409	1269	1381	1275	970	1103	870	1014	906	727	1077	1132	1059	847	972	1431	1426	1326	1456	1108	321					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1845	20	35	30	45	50	35	25	20	15	10	25	35	40	90	35	30	140	45	55	55	25	35	30	35	35	20	20	40	50	39	45	51	45	20	25	40	35	25	35	35	65	20	15	25	40	45	45	45	25	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1543	17	33	23	41	41	32	20	9	10	4	19	33	40	68	34	23	128	29	52	45	22	26	22	27	30	19	14	38	41	31	36	51	38	13	18	30	32	18	31	28	56	16	13	25	32	38	39	38	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1048	28	11	23	12	15	13	19	16	20	12	6	12	24	22	22	32	55	32	16	26	18	26	14	22	16	14	17	8	14	32	17	21	12	34	35	9	50	17	11	19	16	17	27	42	9	17	13	16	26	43					
14	Число погашенных неиспользованных открепительных удостоверений	302	3	2	7	4	9	3	5	11	5	6	6	2	0	22	1	7	12	16	3	10	3	9	8	8	5	1	6	2	9	8	9	0	7	7	7	10	3	7	4	7	9	4	2	0	8	7	6	7	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	0	0	0	1	1	1	0	0	0	0	1	2	0	2	1	2	0	0	2	1	1	1	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	4	1	1	1	0	1	3	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
