Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Район Северный										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК №776	УИК №777	УИК №778					
1	"Число избирателей, внесенных в списки"	6291	1910	2570	1811					
2	"Число бюллетеней, полученных участковыми комиссиями"	5800	1750	2350	1700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4303	1200	1853	1250					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	226	35	100	91					
6	Число погашенных бюллетеней	1271	515	397	359					
7	Число бюллетеней в переносных ящиках для голосования	226	35	100	91					
8	Число бюллетеней в стационарных ящиках для голосования	4203	1200	1753	1250					
9	Число недействительных бюллетеней	79	7	32	40					
10	Число действительных бюллетеней	4350	1228	1821	1301					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	64	25	26	13					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	55	18	24	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	17	0	24					
14	Число погашенных открепительных удостоверений	9	7	2	0					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	30	11	10	9					
		0.67%	0.89%	0.53%	0.67%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	198	53	86	59					
		4.47%	4.29%	4.64%	4.39%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	114	34	58	22					
		2.57%	2.75%	3.13%	1.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	259	62	104	93					
		5.84%	5.02%	5.61%	6.93%					
22	"5. ""За Русь Святую"""	23	6	14	3					
		0.51%	0.48%	0.75%	0.22%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	3	2	2					
		0.15%	0.24%	0.10%	0.14%					
24	"7. ""Новый курс - Автомобильная Россия"""	73	16	28	29					
		1.64%	1.29%	1.51%	2.16%					
25	"8. ""Народно-республиканская партия России"""	4	1	1	2					
		0.09%	0.08%	0.05%	0.14%					
26	"9. ""Российская экологическая партия ""Зеленые"""	28	9	11	8					
		0.63%	0.72%	0.59%	0.59%					
27	"10. ""Аграрная партия России"""	109	34	38	37					
		2.46%	2.75%	2.05%	2.75%					
28	"11. ""Истинные патриоты России"""	3	1	2	0					
		0.06%	0.08%	0.10%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	33	10	13	10					
		0.74%	0.80%	0.70%	0.74%					
30	"13. ""Демократическая партия России"""	8	1	4	3					
		0.18%	0.08%	0.21%	0.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	3	2	1					
		0.13%	0.24%	0.10%	0.07%					
32	"15. ""Партия СЛОН"""	5	0	5	0					
		0.11%	0.0%	0.26%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	512	133	221	158					
		11.56%	10.76%	11.92%	11.78%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	0	8	5					
		0.29%	0.0%	0.43%	0.37%					
35	"18. ""ЛДПР"""	359	92	161	106					
		8.10%	7.44%	8.68%	7.90%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	59	14	28	17					
		1.33%	1.13%	1.51%	1.26%					
37	"20. ""Политическая партия ""Единая Россия"""	1953	611	801	541					
		44.09%	49.47%	43.22%	40.34%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	1	7	1					
		0.20%	0.08%	0.37%	0.07%					
39	"22. ""Развитие предпринимательства"""	7	3	3	1					
		0.15%	0.24%	0.16%	0.07%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	256	63	101	92					
		5.78%	5.10%	5.45%	6.86%					
										
41	Против всех	282	67	113	102					
		6.36%	5.42%	6.09%	7.60%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
