Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Путятинская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378					
1	"Число избирателей, внесенных в списки избирателей"	6692	300	92	201	327	210	284	308	262	165	232	125	693	45	1157	1529	218	161	129	48	206					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6750	297	89	212	335	210	295	310	260	170	230	120	698	45	1156	1564	215	160	130	48	206					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3578	189	52	124	185	106	152	138	113	87	109	60	360	28	569	937	93	69	72	12	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	782	26	21	31	34	26	48	49	49	26	55	36	52	7	116	55	47	33	15	29	27					
6	Число погашенных избирательных бюллетеней	2390	82	16	57	116	78	95	123	98	57	66	24	286	10	471	572	75	58	43	7	56					
7	Число избирательных бюллетеней в переносных ящиках для голосования	782	26	21	31	34	26	48	49	49	26	55	36	52	7	116	55	47	33	15	29	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3578	189	52	124	185	106	152	138	113	87	109	60	360	28	569	937	93	69	72	12	123					
9	Число недействительных избирательных бюллетеней	46	2	1	1	4	1	1	1	1	1	2	1	5	0	9	12	0	0	2	0	2					
10	Число действительных избирательных бюллетеней	4314	213	72	154	215	131	199	186	161	112	162	95	407	35	676	980	140	102	85	41	148					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	197	5	4	5	7	2	8	6	5	5	6	5	29	5	40	40	5	5	6	4	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	118	2	0	5	7	2	8	4	1	5	6	4	15	0	22	26	0	3	3	1	4					
