Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
"Наименование Избирательной комиссии:    Ярославль, Красноперекопская"																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177					
1	"Число избирателей, внесенных в списки избирателей"	52540	1723	1724	1749	2050	2111	1934	2020	2112	2070	1818	1835	1973	1665	1642	209	2617	2034	1873	2188	1956	2305	2187	2140	2105	2164	2230	1980	126					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	49450	1600	1600	1600	1900	2000	1800	1900	2000	1900	1700	1700	1800	1800	1600	250	2700	1900	1800	2000	1800	2000	2000	2000	2100	2000	2000	1800	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28619	968	890	1127	1225	1341	1225	1163	1397	1251	989	1110	1167	860	783	123	1972	968	969	842	962	1137	1182	1103	993	1041	986	823	22					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1856	56	47	30	65	26	12	30	26	33	59	54	70	15	29	81	30	46	59	199	88	89	95	73	104	95	126	124	95					
6	Число погашенных избирательных бюллетеней	18975	576	663	443	610	633	563	707	577	616	652	536	563	925	788	46	698	886	772	959	750	774	723	824	1003	864	888	853	83					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1856	56	47	30	65	26	12	30	26	33	59	54	70	15	29	81	30	46	59	199	88	89	95	73	104	95	126	124	95					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28582	967	890	1127	1225	1337	1225	1161	1394	1251	989	1110	1166	857	782	123	1957	967	969	841	962	1137	1181	1100	993	1040	986	823	22					
9	Число недействительных избирательных бюллетеней	310	3	10	16	12	12	9	11	6	22	11	19	8	4	7	0	40	15	13	9	7	14	16	7	14	11	11	2	1					
10	Число действительных избирательных бюллетеней	30128	1020	927	1141	1278	1351	1228	1180	1414	1262	1037	1145	1228	868	804	204	1947	998	1015	1031	1043	1212	1260	1166	1083	1124	1101	945	116					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1458	30	20	30	25	40	30	30	20	25	30	30	30	363	410	0	45	25	20	20	30	30	30	15	75	25	20	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1145	24	15	26	20	34	28	20	10	22	23	26	24	342	257	0	37	23	16	12	26	24	30	13	46	20	18	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	520	9	30	20	20	21	11	19	21	21	13	15	13	15	46	63	15	12	26	12	13	25	13	5	8	12	15	11	16					
14	Число погашенных неиспользованных открепительных удостоверений	313	6	5	4	5	6	2	10	10	3	7	4	6	21	153	0	8	2	4	8	4	6	0	2	29	5	2	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	2	0	2	2	0	3	0	2	1	0	0	0	0	1	0	1	3	1	0	1	0	1	0	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	1.Политическая партия «Аграрная партия России»	1168	40	36	69	51	58	41	47	48	41	43	46	57	23	30	6	47	44	44	45	39	52	63	51	45	37	31	29	5					
		3.84%	3.91%	3.84%	5.96%	3.95%	4.26%	3.31%	3.95%	3.38%	3.19%	4.10%	3.95%	4.61%	2.64%	3.70%	2.94%	2.37%	4.34%	4.28%	4.33%	3.71%	4.24%	4.94%	4.35%	4.10%	3.26%	2.79%	3.06%	4.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	651	30	23	27	16	40	33	38	35	20	23	17	25	16	28	0	55	26	18	15	13	22	24	23	15	23	20	23	3					
		2.14%	2.93%	2.45%	2.33%	1.24%	2.93%	2.67%	3.19%	2.46%	1.56%	2.19%	1.46%	2.02%	1.83%	3.45%	0.00%	2.77%	2.57%	1.75%	1.44%	1.24%	1.79%	1.88%	1.96%	1.37%	2.03%	1.80%	2.43%	2.56%					
20	3.Политическая партия «Демократическая партия России»	48	8	1	2	1	6	4	0	2	1	0	1	2	0	2	0	7	0	2	1	2	0	2	2	0	0	0	2	0					
		0.16%	0.78%	0.11%	0.17%	0.08%	0.44%	0.32%	0.00%	0.14%	0.08%	0.00%	0.09%	0.16%	0.00%	0.25%	0.00%	0.35%	0.00%	0.19%	0.10%	0.19%	0.00%	0.16%	0.17%	0.00%	0.00%	0.00%	0.21%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3246	119	82	121	152	170	149	108	153	129	118	124	142	65	89	26	138	108	142	92	125	163	145	160	116	118	112	63	17					
