Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																		
Дата голосования: 04.12.2011																																		
																																		
"Наименование Избирательной комиссии:    Ярославль, Красноперекопская"																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178					
1	"Число избирателей, внесенных в список избирателей"	52482	1671	1700	1655	1984	2378	2333	2500	2123	1768	1784	2198	2249	1918	151	2857	2102	2069	2281	1851	1784	2122	2118	2204	2198	2244	2074	166					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41735	1340	1353	1350	1596	1921	1866	1971	1701	1400	1418	1745	1856	1579	209	2357	1448	1431	1832	1451	1426	1680	1700	1761	1760	1762	1626	196					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	26016	843	767	967	1033	1436	1297	1527	1242	921	965	1254	1018	726	101	1965	913	956	759	808	868	1065	991	955	936	910	746	47					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1671	40	49	43	59	27	23	13	27	57	43	45	22	17	50	6	44	65	229	53	61	80	82	51	64	132	173	116					
6	Число погашенных избирательных бюллетеней	14048	457	537	340	504	458	546	431	432	422	410	446	816	836	58	386	491	410	844	590	497	535	627	755	760	720	707	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1670	40	49	43	59	27	23	13	27	57	43	45	22	17	50	6	44	65	229	53	61	79	82	51	64	132	173	116					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25985	843	766	967	1033	1435	1297	1511	1242	921	965	1246	1018	726	101	1965	911	956	759	808	868	1064	989	955	936	910	746	47					
9	Число недействительных избирательных бюллетеней	480	9	16	20	34	22	29	23	23	28	21	10	18	18	1	24	18	14	17	16	16	28	13	17	18	11	12	4					
10	Число действительных избирательных бюллетеней	27175	874	799	990	1058	1440	1291	1501	1246	950	987	1281	1022	725	150	1947	937	1007	971	845	913	1115	1058	989	982	1031	907	159					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1038	30	25	35	30	60	50	30	30	30	30	30	100	187	0	30	25	30	41	30	35	30	30	30	30	30	30	0					
