Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																															
Дата голосования: 18.09.2016																																																																																															
																																																																																															
Наименование Избирательной комиссии:    Клинская																																																																																															
																																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																															
																																																																																															
		Сумма	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	103523	1410	1450	1523	1437	744	1829	1404	1084	1807	1717	1286	735	1403	1960	915	1252	1920	1101	997	1105	1006	2277	2415	1931	324	787	1512	2094	1494	824	1429	1191	992	1364	992	1115	1650	1574	1577	1350	818	2015	1998	1471	1996	1561	993	1765	1540	253	342	467	493	321	462	540	687	1659	1003	301	547	269	2653	894	1993	1735	1747	1648	1502	1130	647	466	924	870	307	928	431	469	1480	1660	2198	1810	519	1034									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80039	1000	1100	1100	1000	600	1300	1000	800	1300	1300	1000	600	1000	1500	700	1000	1500	900	700	800	800	1700	1800	1500	259	600	1100	1500	1100	800	1100	900	800	1000	700	800	1200	1200	1200	1000	600	1500	1500	1100	1500	1200	800	1300	1100	250	330	450	470	300	450	500	600	1200	800	300	500	280	1800	900	1500	1300	1300	1200	1100	900	600	450	900	800	800	900	400	400	1100	1200	1600	1300	500	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38707	436	531	525	360	272	763	574	442	630	571	585	249	602	686	330	477	862	291	301	409	401	757	1027	626	96	281	605	794	541	294	560	484	375	513	379	416	640	583	625	584	373	703	710	484	1450	616	485	739	557	127	132	139	188	123	160	176	171	739	398	106	198	118	943	264	713	503	639	556	502	379	203	140	324	282	266	319	152	122	484	559	789	686	140	373									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3020	38	26	37	28	2	44	22	12	18	24	12	13	23	25	30	30	106	263	6	12	3	10	16	6	121	4	49	8	10	4	32	9	13	7	65	21	10	16	78	8	7	29	20	46	43	31	5	24	71	17	10	52	24	26	62	37	52	24	76	55	63	0	109	30	53	122	58	23	43	32	58	34	71	15	41	39	20	78	55	18	4	16	46	20									
6	Число погашенных избирательных бюллетеней	38313	526	543	538	612	326	493	404	346	652	705	403	338	375	789	340	493	532	346	393	379	396	933	757	868	42	315	446	698	549	502	508	407	412	480	256	363	550	601	497	408	220	768	770	570	7	553	310	537	472	106	188	259	258	151	228	286	377	437	326	139	239	162	748	606	734	675	603	621	555	489	339	276	505	503	493	542	228	200	561	623	809	598	314	407									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3018	38	26	37	28	2	44	22	12	18	24	12	13	23	25	30	30	106	263	6	12	3	10	16	6	121	4	49	8	10	4	32	9	13	7	65	21	10	16	78	8	7	29	18	46	43	31	5	24	71	17	10	52	24	26	62	37	52	24	76	55	63	0	109	30	53	122	58	23	43	32	58	34	71	15	41	39	20	78	55	18	4	16	46	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38679	436	531	525	360	272	763	574	442	630	571	585	249	602	686	330	477	862	291	301	409	401	757	1027	626	96	280	605	794	541	294	560	484	375	513	379	416	640	583	625	583	373	703	692	484	1448	616	485	737	557	127	132	139	188	123	160	176	171	739	398	106	198	118	943	264	713	503	639	556	502	379	203	140	324	282	266	319	152	122	484	559	785	686	140	373									
9	Число недействительных избирательных бюллетеней	1073	8	11	6	11	12	15	7	11	10	4	12	12	12	24	11	11	0	14	15	13	17	13	27	18	4	16	9	26	12	7	7	5	11	11	10	14	12	7	15	20	10	15	23	18	21	15	7	23	11	4	4	0	6	3	2	2	6	33	9	2	5	0	88	2	21	27	9	35	27	10	5	0	8	0	10	8	2	4	22	31	21	28	6	10									
10	Число действительных избирательных бюллетеней	40624	466	546	556	377	262	792	589	443	638	591	585	250	613	687	349	496	968	540	292	408	387	754	1016	614	213	268	645	776	539	291	585	488	377	509	434	423	638	592	688	571	370	717	687	512	1470	632	483	738	617	140	138	191	206	146	220	211	217	730	465	159	256	118	964	292	745	598	688	544	518	401	256	174	387	297	297	350	170	196	517	546	768	674	180	383									
