Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Татарская городская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  1413	УИК  1414	УИК  1415	УИК  1416	УИК  1417	УИК  1418	УИК  1419	УИК  1420	УИК  1421	УИК  1422	УИК  1423	УИК  1424	УИК  1425	УИК  1426	УИК  1427					
1	"Число избирателей, внесенных в списки"	21131	2323	1145	1738	2225	1614	1850	1913	2206	949	1027	650	737	926	1305	523					
2	"Число бюллетеней, полученных участковыми комиссиями"	21000	2354	1150	1740	2240	1710	1880	1950	2215	940	635	635	740	935	1350	526					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9023	835	338	704	1157	787	843	902	1013	388	396	210	308	354	479	309					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	807	63	62	60	71	56	81	99	97	19	29	39	22	52	35	22					
6	Число погашенных бюллетеней	11172	1456	750	976	1012	867	956	951	1105	533	210	386	410	529	836	195					
7	Число бюллетеней в переносных ящиках для голосования	806	63	62	60	71	56	81	98	97	19	29	39	22	52	35	22					
8	Число бюллетеней в стационарных ящиках для голосования	9019	834	338	704	1157	786	843	900	1013	388	396	210	308	354	479	309					
9	Число недействительных бюллетеней	201	30	0	13	11	20	11	12	17	13	10	16	10	4	24	10					
10	Число действительных бюллетеней	9624	867	400	751	1217	822	913	986	1093	394	415	233	320	402	490	321					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	36	12	36	24	36	24	12	36	12	12	12	12	12	12	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	2	0	2	6	6	3	6	12	1	1	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	1	0	0	6	1	4	0	4	0	2	3	1	0	0	1					
14	Число погашенных открепительных удостоверений	259	34	12	34	18	30	21	6	24	11	11	12	12	12	12	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	129	13	5	12	13	14	9	14	6	12	2	4	4	10	9	2					
		1.31%	1.44%	1.25%	1.57%	1.05%	1.66%	0.97%	1.40%	0.54%	2.94%	0.47%	1.60%	1.21%	2.46%	1.75%	0.60%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	195	12	9	18	29	18	20	14	22	6	10	6	6	6	11	8					
