Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Мухоршибирская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18801	332	300	310	350	647	106	1521	1407	1316	63	264	1033	709	787	691	162	1558	1545	108	651	706	1104	366	72	563	384	265	80	1122	279									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17340	300	300	300	300	650	110	1300	1300	1300	60	270	1000	700	700	700	150	1300	1300	110	650	700	1000	350	80	500	350	230	80	1000	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7150	141	124	122	194	265	56	630	400	437	26	111	474	222	242	258	91	588	666	45	291	272	367	174	47	179	164	97	34	340	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	787	16	16	23	13	15	0	44	12	10	5	5	55	91	63	30	6	8	13	5	55	50	82	13	0	13	29	1	0	91	23									
6	Число погашенных избирательных бюллетеней	9403	143	160	155	93	370	54	626	888	853	29	154	471	387	395	412	53	704	621	60	304	378	551	163	33	308	157	132	46	569	134									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	787	16	16	23	13	15	0	44	12	10	5	5	55	91	63	30	6	8	13	5	55	50	82	13	0	13	29	1	0	91	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7149	140	124	122	194	265	56	630	400	437	26	111	474	222	242	258	91	588	666	45	291	272	367	174	47	179	164	97	34	340	93									
9	Число недействительных избирательных бюллетеней	188	4	1	1	4	7	0	21	10	7	0	2	14	2	3	9	3	21	17	1	7	14	15	4	0	3	3	1	0	8	6									
10	Число действительных избирательных бюллетеней	7748	152	139	144	203	273	56	653	402	440	31	114	515	311	302	279	94	575	662	49	339	308	434	183	47	189	190	97	34	423	110									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	480	5	5	10	10	20	5	30	30	30	5	10	30	10	10	10	10	30	30	5	30	30	30	20	5	15	10	10	5	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	139	1	5	4	3	10	5	23	5	15	0	0	0	1	1	3	0	10	13	0	12	3	9	3	5	1	0	0	0	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	116	5	1	0	3	3	1	6	3	8	2	0	1	2	2	6	2	13	2	1	6	0	5	5	0	5	1	21	4	6	2									
14	Число погашенных неиспользованных открепительных удостоверений	341	4	0	6	7	10	0	7	25	15	5	10	30	9	9	7	10	20	17	5	18	27	21	17	0	14	10	10	5	17	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	62	0	0	0	1	1	0	6	2	1	1	1	6	2	3	3	1	11	5	0	1	5	1	3	0	1	0	0	1	5	1									
		0.78%	0.00%	0.00%	0.00%	0.48%	0.36%	0.00%	0.89%	0.49%	0.22%	3.23%	0.86%	1.13%	0.64%	0.98%	1.04%	1.03%	1.85%	0.74%	0.00%	0.29%	1.55%	0.22%	1.60%	0.00%	0.52%	0.00%	0.00%	2.94%	1.16%	0.86%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	255	7	8	6	5	6	2	17	19	12	1	1	15	10	8	6	5	21	25	0	11	13	13	13	1	6	6	3	2	9	4									
		3.21%	4.49%	5.71%	4.14%	2.42%	2.14%	3.57%	2.52%	4.61%	2.68%	3.23%	0.86%	2.84%	3.19%	2.62%	2.08%	5.15%	3.52%	3.68%	0.00%	3.18%	4.04%	2.90%	6.95%	2.13%	3.13%	3.11%	3.06%	5.88%	2.09%	3.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	197	5	3	1	3	3	0	22	4	7	0	2	15	13	10	13	2	14	19	0	8	16	11	3	0	6	3	1	0	7	6									
