Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Подольская городская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241					
1	"Число избирателей, внесенных в список избирателей"	160497	2776	2675	1644	1615	2448	2582	2725	2642	759	664	1933	1343	695	2119	2793	2614	1361	2366	1976	1775	2421	2654	1423	2137	2778	1771	2691	2638	2461	2784	2355	1944	1972	2536	2602	2152	2552	2656	1614	2353	1843	2174	2484	2231	1910	2607	2527	1348	1992	2386	2285	1115	2240	2338	1227	1948	2658	2604	2226	2439	729	1105	2027	1102	1308	1907	2123	2377	1581	2514	2084	1590	2404	2789	916	1604	2728	161	753	114					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	152000	2600	2500	1500	1500	2300	2400	2600	2500	700	600	1800	1200	600	1900	2600	2500	1200	2200	1800	1600	2300	2500	1300	2000	2600	1600	2500	2500	2500	2600	2200	1800	1800	2300	2500	2000	2400	2500	1500	2200	1700	1900	2300	2100	1800	2400	2400	1300	1800	2200	2100	1000	2100	2200	1100	1800	2500	2500	2100	2200	600	1000	1900	1000	1200	1800	2000	2200	1500	2400	2000	1500	2200	2600	2400	1500	2500	800	1000	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	84143	1543	1150	764	622	1054	1218	962	1328	352	278	824	1043	388	999	1646	1303	789	1104	918	803	1404	1920	807	1524	1333	1295	1313	1103	1939	1415	1158	1029	1218	1175	1278	1270	1314	1538	757	1010	868	1360	1198	1431	814	1211	1180	565	1204	1473	1413	523	974	941	765	1128	1324	1515	1071	1077	277	679	1213	393	569	955	1079	1553	692	1180	962	744	1393	1272	895	963	1728	25	538	110					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2040	15	12	11	3	11	20	6	7	10	3	22	7	8	12	21	19	30	28	13	11	24	27	13	22	94	14	15	12	25	34	45	30	14	37	22	20	25	34	12	24	11	5	12	37	23	23	19	10	23	57	28	7	25	15	13	8	63	90	14	50	5	36	9	4	2	10	6	15	36	14	76	10	15	51	21	10	24	136	215	0					
6	Число погашенных избирательных бюллетеней	65817	1042	1338	725	875	1235	1162	1632	1165	338	319	954	150	204	889	933	1178	381	1068	869	786	872	553	480	454	1173	291	1172	1385	536	1151	997	741	568	1088	1200	710	1061	928	731	1166	821	535	1090	632	963	1166	1201	725	573	670	659	470	1101	1244	322	664	1113	895	1015	1073	318	285	678	603	629	835	915	632	772	1206	962	746	792	1277	1484	527	748	639	247	90					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2040	15	12	11	3	11	20	6	7	10	3	22	7	8	12	21	19	30	28	13	11	24	27	13	22	94	14	15	12	25	34	45	30	14	37	22	20	25	34	12	24	11	5	12	37	23	23	19	10	23	57	28	7	25	15	13	8	63	90	14	50	5	36	9	4	2	10	6	15	36	14	76	10	15	51	21	10	24	136	215	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	83872	1543	1150	764	620	1054	1218	962	1328	352	278	824	1043	388	999	1637	1303	789	1104	918	803	1404	1920	807	1524	1333	1295	1313	1103	1916	1415	1158	1029	1218	1170	1278	1270	1314	1538	757	1010	865	1360	1194	1431	810	1211	1180	565	1204	1473	1383	523	974	941	765	1128	1324	1511	1071	1077	277	679	1081	393	569	954	1079	1553	692	1180	962	744	1387	1272	895	963	1680	25	538	110					
9	Число недействительных избирательных бюллетеней	1874	21	15	12	14	20	17	33	42	0	10	18	11	13	43	47	31	14	32	24	21	61	27	20	13	20	14	32	25	42	8	28	14	47	43	20	20	38	0	14	33	25	11	34	39	21	26	27	17	53	77	46	6	37	17	7	22	14	7	30	17	4	9	20	6	12	29	19	25	21	34	31	14	23	24	21	30	24	11	22	5					
10	Число действительных избирательных бюллетеней	84038	1537	1147	763	609	1045	1221	935	1293	362	271	828	1039	383	968	1611	1291	805	1100	907	793	1367	1920	800	1533	1407	1295	1296	1090	1899	1441	1175	1045	1185	1164	1280	1270	1301	1572	755	1001	851	1354	1172	1429	812	1208	1172	558	1174	1453	1365	524	962	939	771	1114	1373	1594	1055	1110	278	706	1070	391	559	935	1066	1543	707	1160	1007	740	1379	1299	895	943	1680	150	731	105					
