Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Вилегодская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9780	590	195	507	425	233	858	578	216	258	547	334	2302	1439	125	641	225	108	199									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8545	520	170	420	380	200	750	500	190	220	480	290	2000	1300	100	550	210	95	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3524	212	49	215	155	96	262	196	81	117	142	96	868	511	42	220	111	47	104									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	807	47	32	43	35	35	111	77	11	19	84	37	70	73	30	80	7	3	13									
6	Число погашенных избирательных бюллетеней	4214	261	89	162	190	69	377	227	98	84	254	157	1062	716	28	250	92	45	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	807	47	32	43	35	35	111	77	11	19	84	37	70	73	30	80	7	3	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3524	212	49	215	155	96	262	196	81	117	142	96	868	511	42	220	111	47	104									
9	Число недействительных избирательных бюллетеней	58	1	1	4	1	2	2	4	0	2	4	2	18	8	1	4	1	2	1									
10	Число действительных избирательных бюллетеней	4273	258	80	254	189	129	371	269	92	134	222	131	920	576	71	296	117	48	116									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	113	5	5	5	5	5	10	5	7	5	5	1	16	12	5	15	3	3	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	94	5	2	5	5	0	8	3	7	3	2	0	16	12	5	15	2	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	2	0	3	0	2	1	5	0	1	1	2	14	3	3	5	6	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	19	0	3	0	0	5	2	2	0	2	3	1	0	0	0	0	1	0	0									
