Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Карагайская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  1301	УИК  1302	УИК  1303	УИК  1304	УИК  1305	УИК  1306	УИК  1307	УИК  1308	УИК  1309	УИК  1310	УИК  1311	УИК  1312	УИК  1313	УИК  1314	УИК  1315	УИК  1316	УИК  1317	УИК  1318	УИК  1319	УИК  1320	УИК  1321	УИК  1322	УИК  1323	УИК  1324	УИК  1325	УИК  1326					
1	"Число избирателей, внесенных в списки"	17566	296	164	1716	172	381	434	296	955	265	421	1448	1516	1522	577	180	1151	1101	971	595	642	598	344	851	208	498	264					
2	"Число бюллетеней, полученных участковыми комиссиями"	17520	300	160	1700	175	380	460	280	900	250	470	1400	1400	1400	560	190	1200	1100	1000	625	640	570	370	990	230	500	270					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8547	166	88	936	83	198	154	129	464	76	128	825	848	753	317	127	560	581	301	192	185	348	228	385	104	224	147					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2415	44	30	43	21	104	178	57	120	77	107	48	112	140	62	9	23	15	251	129	257	67	51	240	36	140	54					
6	Число погашенных бюллетеней	6558	90	42	721	71	78	128	94	316	97	235	527	440	507	181	54	617	504	448	304	198	155	91	365	90	136	69					
7	Число бюллетеней в переносных ящиках для голосования	2414	44	30	43	21	104	178	57	120	77	107	48	112	140	62	9	23	15	251	129	257	66	51	240	36	140	54					
8	Число бюллетеней в стационарных ящиках для голосования	8546	166	88	936	83	198	154	129	463	76	128	825	848	753	317	127	560	581	301	192	185	348	228	385	104	224	147					
9	Число недействительных бюллетеней	281	11	1	29	0	2	9	12	12	2	11	17	35	30	7	2	9	19	11	13	11	8	2	11	5	9	3					
10	Число действительных бюллетеней	10679	199	117	950	104	300	323	174	571	151	224	856	925	863	372	134	574	577	541	308	431	406	277	614	135	355	198					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	211	3	2	14	3	4	5	9	10	5	5	12	19	16	6	2	15	19	12	7	7	8	4	10	3	8	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	193	3	1	14	3	4	5	9	10	1	5	11	17	14	5	2	15	19	10	4	7	8	4	10	3	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	119	2	2	7	0	0	2	4	3	0	1	9	42	12	5	0	2	9	4	2	1	3	4	3	0	2	0					
14	Число погашенных открепительных удостоверений	18	0	1	0	0	0	0	0	0	4	0	1	2	2	1	0	0	0	2	3	0	0	0	0	0	0	2					
15	Число открепительных удостоверений выданных ТИК	19	0	0	1	1	1	0	0	5	2	0	0	0	1	0	0	2	1	3	1	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	286	7	3	26	1	6	10	6	11	8	6	26	18	22	7	3	12	14	21	11	13	9	10	15	1	15	5					
		2.60%	3.33%	2.54%	2.65%	0.96%	1.98%	3.01%	3.22%	1.88%	5.22%	2.55%	2.97%	1.87%	2.46%	1.84%	2.20%	2.05%	2.34%	3.80%	3.42%	2.94%	2.17%	3.58%	2.4%	0.71%	4.12%	2.48%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	695	16	8	66	12	9	13	7	37	16	6	39	62	54	56	18	41	68	27	21	30	10	12	37	14	8	8					
		6.34%	7.61%	6.77%	6.74%	11.53%	2.98%	3.91%	3.76%	6.34%	10.45%	2.55%	4.46%	6.45%	6.04%	14.77%	13.23%	7.03%	11.40%	4.89%	6.54%	6.78%	2.41%	4.30%	5.92%	9.99%	2.19%	3.98%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	475	7	7	43	5	10	11	13	18	8	11	34	50	41	13	4	17	23	28	10	23	13	12	34	14	16	10					
		4.33%	3.33%	5.93%	4.39%	4.80%	3.31%	3.31%	6.98%	3.08%	5.22%	4.68%	3.89%	5.20%	4.59%	3.43%	2.94%	2.91%	3.85%	5.07%	3.11%	5.20%	3.14%	4.30%	5.44%	9.99%	4.39%	4.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	218	4	3	17	3	1	10	2	9	3	8	26	17	18	10	1	12	24	11	2	4	6	3	10	3	5	6					
		1.98%	1.90%	2.54%	1.73%	2.88%	0.33%	3.01%	1.07%	1.54%	1.96%	3.40%	2.97%	1.77%	2.01%	2.63%	0.73%	2.05%	4.02%	1.99%	0.62%	0.90%	1.44%	1.07%	1.6%	2.14%	1.37%	2.98%					
22	"5. ""За Русь Святую"""	92	1	2	3	1	1	3	1	6	1	2	5	6	12	9	0	4	1	2	1	2	8	1	7	3	4	6					
