Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Канская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №2269									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18792	1101	109	98	201	229	32	575	173	146	397	1113	219	919	168	138	143	484	39	84	623	38	44	139	602	64	74	199	68	134	324	81	214	70	647	327	91	263	59	201	937	101	1994	219	250	317	683	324	134	257	188	147	61	2440	110									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18678	1091	108	89	193	223	49	558	160	140	386	1084	215	925	170	137	159	466	41	85	619	39	44	136	601	63	73	196	69	127	310	78	217	70	628	318	91	252	64	172	896	100	2010	216	248	311	677	317	129	265	183	145	205	2424	106									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8583	373	38	51	108	90	32	302	87	75	157	473	85	386	68	65	86	300	26	42	315	27	31	66	191	33	27	78	33	66	182	51	132	47	382	215	91	163	59	148	631	39	715	58	84	82	290	129	65	96	61	43	59	1010	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	326	6	2	7	5	1	0	3	3	3	4	5	3	17	3	1	3	16	0	0	6	0	2	0	8	0	3	13	0	5	16	3	9	6	9	2	0	10	0	0	13	0	26	0	0	27	29	1	0	1	2	0	2	46	5									
6	Число погашенных избирательных бюллетеней	9765	712	68	31	80	132	17	253	70	62	225	606	127	522	99	71	70	150	15	43	298	12	11	70	402	30	43	105	36	56	112	24	76	17	237	101	0	79	5	24	252	61	1269	158	164	202	358	187	64	168	120	102	144	1364	61									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	326	6	2	7	5	1	0	3	3	3	4	5	3	17	3	1	3	16	0	0	6	0	2	0	8	0	3	13	0	5	16	3	9	6	9	2	0	10	0	0	13	0	26	0	0	27	29	1	0	1	2	0	2	46	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8580	373	38	51	108	90	32	302	87	75	157	473	85	386	68	65	86	300	26	42	315	27	31	66	191	33	27	78	33	66	182	51	132	47	382	215	91	163	59	148	631	39	713	58	84	82	290	129	65	96	61	43	59	1009	40									
9	Число недействительных избирательных бюллетеней	356	18	1	2	4	3	0	11	7	4	5	17	5	15	11	0	3	10	0	1	20	0	4	2	13	5	0	2	2	1	7	6	3	2	15	9	0	2	0	5	25	0	39	4	1	0	14	4	2	4	3	3	4	37	1									
10	Число действительных избирательных бюллетеней	8550	361	39	56	109	88	32	294	83	74	156	461	83	388	60	66	86	306	26	41	301	27	29	64	186	28	30	89	31	70	191	48	138	51	376	208	91	171	59	143	619	39	700	54	83	109	305	126	63	93	60	40	57	1018	44									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	357	11	5	5	7	7	5	7	5	5	7	12	7	12	5	5	5	7	3	5	9	3	3	5	7	3	5	7	3	5	7	5	7	5	9	7	5	7	3	5	10	5	22	7	7	7	9	7	5	7	5	5	6	15	5									
