Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Нижнесергинская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599					
1	"Число избирателей, внесенных в список"	38934	927	591	1759	1578	1484	786	528	636	1170	799	1624	1629	1684	1647	1024	478	1475	1545	890	1355	1846	1190	1161	1116	427	133	788	306	78	732	254	152	161	148	183	301	312	116	382	300	604	347	544	93	778	610	230	481	566	986					
2	Число полученных избирательных бюллетеней	38484	900	580	1740	1560	1440	760	510	630	1160	790	1610	1630	1670	1630	1010	470	1450	1540	870	1330	1860	1180	1170	1090	420	117	790	308	76	740	250	150	160	146	184	300	300	108	390	300	590	340	540	95	770	600	220	480	560	970					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18216	405	205	645	729	640	383	151	251	492	359	739	758	650	628	383	194	807	926	411	835	677	348	545	595	245	87	371	142	49	408	116	85	82	75	129	153	180	84	235	194	385	202	255	53	415	370	143	231	211	560					
5	"Число избирательных бюллетеней, выданных вне помещения"	1482	44	45	43	15	32	14	55	48	94	7	29	34	20	35	140	37	34	14	68	23	75	84	18	46	27	3	34	30	0	17	18	8	10	30	9	0	3	3	15	14	12	2	30	3	13	30	7	75	31	4					
6	Число погашенных избирательных бюллетеней	18786	451	330	1052	816	768	363	304	331	574	424	842	838	1000	967	487	239	609	600	391	472	1108	748	607	449	148	27	385	136	27	315	116	57	68	41	46	147	117	21	140	92	193	136	255	39	342	200	70	174	318	406					
7	Число избирательных бюллетеней в переносных ящиках	1482	44	45	43	15	32	14	55	48	94	7	29	34	20	35	140	37	34	14	68	23	75	84	18	46	27	3	34	30	0	17	18	8	10	30	9	0	3	3	15	14	12	2	30	3	13	30	7	75	31	4					
8	Число бюллетеней в стационарных ящиках для голосования	18211	405	205	645	729	640	383	151	251	489	359	738	758	650	628	383	194	807	926	411	835	677	348	545	595	245	87	371	141	49	408	116	85	82	75	129	153	180	84	235	194	385	202	255	53	415	370	143	231	211	560					
9	Число недействительных избирательных бюллетеней	302	7	4	16	8	18	3	2	0	3	14	11	8	11	18	4	5	21	12	3	21	7	7	5	4	8	0	7	2	0	4	1	2	0	2	1	2	0	2	4	5	12	6	1	0	5	6	9	2	2	7					
10	Число действительных избирательных бюллетеней	19391	442	246	672	736	654	394	204	299	580	352	756	784	659	645	519	226	820	928	476	837	745	425	558	637	264	90	398	169	49	421	133	91	92	103	137	151	183	85	246	203	385	198	284	56	423	394	141	304	240	557					
11	Число полученных открепительных  удостоверений	700	15	15	15	15	15	15	15	15	15	15	20	20	20	20	15	15	15	15	15	15	15	15	15	15	15	10	15	15	10	15	10	10	10	10	10	10	10	10	10	10	15	10	15	10	15	15	10	15	15	20					
12	Число выданных открепительных удостоверений	69	0	0	3	1	0	1	0	2	2	1	3	6	0	3	2	0	0	5	4	0	0	0	4	9	0	0	0	1	0	0	2	0	0	0	0	0	2	0	2	0	0	2	2	0	3	2	0	0	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	115	0	1	3	3	3	4	0	3	2	4	4	3	2	2	0	0	1	4	1	1	6	2	8	6	4	9	1	1	0	5	2	4	0	4	0	0	0	9	1	0	2	4	0	0	1	1	0	1	0	3					
14	Число неиспользованных открепительных удостоверений	631	15	15	12	14	15	14	15	13	13	14	17	14	20	17	13	15	15	10	11	15	15	15	11	6	15	10	15	14	10	15	8	10	10	10	10	10	8	10	8	10	15	8	13	10	12	13	10	15	15	13					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	686	8	7	23	24	19	14	7	5	15	19	23	30	24	23	14	2	50	55	30	48	30	20	8	10	6	3	12	4	1	25	6	2	1	4	4	2	6	0	7	9	13	8	6	1	9	11	5	7	11	15					
