Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    район Строгино																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89590	2352	2333	2222	2547	2453	2354	1167	1606	959	2487	2272	2029	1259	1579	1891	1629	2425	1112	2483	2126	2305	2192	1461	1925	2204	2361	2189	1779	1699	2395	2010	1786	2065	1504	1676	2351	2520	2396	2601	1732	1132	2639	2380	2490	513									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64900	1700	1700	1600	1800	1800	1700	900	1200	700	1800	1600	1500	900	1200	1400	1200	1700	800	1800	1700	1700	1600	1100	1400	1600	1700	1600	1300	1200	1700	1400	1300	1500	1100	1200	1700	1800	1700	1900	1200	800	1800	1700	1800	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31400	801	935	805	947	867	759	375	541	263	847	757	668	397	677	656	557	831	439	886	779	732	743	507	689	763	849	694	637	535	884	696	542	753	574	626	870	952	789	744	635	465	946	833	929	226									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	693	23	21	20	23	12	21	6	11	4	9	8	15	14	11	11	19	19	19	30	6	18	25	11	13	12	17	3	13	21	25	16	24	24	2	13	17	37	11	11	4	8	11	17	17	21									
6	Число погашенных избирательных бюллетеней	32807	876	744	775	830	921	920	519	648	433	944	835	817	489	512	733	624	850	342	884	915	950	832	582	698	825	834	903	650	644	791	688	734	723	524	561	813	811	900	1145	561	327	843	850	854	153									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	691	23	21	20	23	12	21	6	11	4	9	8	15	14	10	11	19	19	19	30	6	18	25	11	13	12	17	3	13	21	25	16	24	24	2	13	17	37	11	11	4	8	11	17	17	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31285	801	926	803	947	867	758	375	541	263	845	757	668	397	677	655	557	827	439	883	779	732	743	505	685	761	847	693	624	535	881	694	542	753	574	626	870	915	778	743	631	465	935	833	929	226									
9	Число недействительных избирательных бюллетеней	495	18	16	19	16	13	13	3	6	5	15	14	16	5	7	10	15	11	9	14	9	9	13	5	13	12	19	18	9	7	11	14	7	7	6	6	23	12	5	5	12	11	8	11	16	2									
10	Число действительных избирательных бюллетеней	31481	806	931	804	954	866	766	378	546	262	839	751	667	406	680	656	561	835	449	899	776	741	755	511	685	761	845	678	628	549	895	696	559	770	570	633	864	940	784	749	623	462	938	839	930	244									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	780	20	20	20	20	20	20	10	20	10	20	20	20	10	20	20	20	20	10	20	20	10	20	20	20	20	20	30	10	10	20	10	10	10	20	20	20	20	20	20	10	10	30	10	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	568	15	17	14	20	14	20	2	13	7	17	13	16	9	10	11	12	15	5	17	15	10	13	10	14	12	17	25	5	7	18	8	9	6	16	9	11	16	15	17	8	7	21	10	20	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	598	5	11	12	5	7	12	4	13	4	22	8	5	4	9	12	3	10	2	28	7	7	8	25	8	7	11	5	15	1	28	21	8	13	15	6	11	35	9	20	23	9	26	12	24	68									
14	Число погашенных неиспользованных открепительных удостоверений	212	5	3	6	0	6	0	8	7	3	3	7	4	1	10	9	8	5	5	3	5	0	7	10	6	8	3	5	5	3	2	2	1	4	4	11	9	4	5	3	2	3	9	0	0	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	97	2	1	1	3	1	2	0	0	0	8	4	3	6	3	0	2	4	3	3	1	1	2	2	4	1	1	4	1	0	0	3	0	3	1	2	4	3	3	5	1	2	0	3	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1927	49	42	58	62	47	61	28	18	11	52	35	39	25	51	39	45	51	44	36	46	35	49	40	29	37	50	29	48	34	55	39	33	42	27	44	45	65	50	61	42	33	69	50	66	16									
		6.03%	5.95%	4.44%	7.05%	6.39%	5.35%	7.83%	7.35%	3.26%	4.12%	6.09%	4.58%	5.71%	6.08%	7.42%	5.86%	7.81%	6.03%	9.61%	3.94%	5.86%	4.67%	6.38%	7.75%	4.15%	4.79%	5.79%	4.17%	7.54%	6.12%	6.07%	5.49%	5.83%	5.41%	4.69%	6.89%	5.07%	6.83%	6.34%	8.09%	6.61%	6.98%	7.29%	5.88%	6.98%	6.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	659	23	16	25	19	20	11	4	13	6	20	16	13	4	8	24	7	14	14	22	13	20	12	9	19	11	18	18	12	11	14	7	11	20	13	10	27	20	24	12	6	11	14	13	32	3									
		2.06%	2.79%	1.69%	3.04%	1.96%	2.28%	1.41%	1.05%	2.36%	2.25%	2.34%	2.09%	1.90%	0.97%	1.16%	3.60%	1.22%	1.65%	3.06%	2.41%	1.66%	2.67%	1.56%	1.74%	2.72%	1.42%	2.08%	2.59%	1.88%	1.98%	1.55%	0.99%	1.94%	2.57%	2.26%	1.56%	3.04%	2.10%	3.04%	1.59%	0.94%	2.33%	1.48%	1.53%	3.38%	1.22%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	951	22	21	24	36	28	29	17	18	7	25	20	14	8	21	25	11	30	22	34	22	25	21	8	19	16	29	20	15	16	32	23	10	18	16	24	29	34	31	19	17	12	27	24	28	4									
