Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Алданская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29827	738	2072	1737	1586	1312	1122	1275	1478	1425	1595	364	224	1179	1470	1693	85	355	102	597	1844	920	1096	943	439	283	1616	796	155	985	200	141									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23449	560	1579	1364	1211	890	845	978	1150	1055	1232	290	184	955	1156	1294	70	356	78	529	1418	647	865	732	380	300	1112	629	133	1054	278	125									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	622	0	0	0	0	0	0	0	10	32	0	0	0	0	0	0	0	0	0	192	0	0	7	0	26	0	202	0	67	77	9	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11173	254	626	634	511	609	466	479	414	477	634	147	102	448	589	534	35	136	19	178	758	347	408	394	248	211	560	379	30	340	130	76									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	691	14	41	10	13	18	23	22	40	20	24	12	16	18	36	28	0	97	16	17	40	8	20	13	0	3	71	32	0	21	16	2									
6	Число погашенных избирательных бюллетеней	10963	292	912	720	687	263	356	477	686	526	574	131	66	489	531	732	35	123	43	142	620	292	430	325	106	86	279	218	36	616	123	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1313	14	41	10	13	18	23	22	50	52	24	12	16	18	36	28	0	97	16	209	40	8	27	13	26	3	273	32	67	98	25	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11172	253	626	634	511	609	466	479	414	477	634	147	102	448	589	534	35	136	19	178	758	347	408	394	248	211	560	379	30	340	130	76									
9	Число недействительных избирательных бюллетеней	322	11	11	23	11	19	11	9	16	16	18	5	1	19	23	18	1	8	1	10	14	17	12	6	0	3	23	3	7	5	0	1									
10	Число действительных избирательных бюллетеней	12163	256	656	621	513	608	478	492	448	513	640	154	117	447	602	544	34	225	34	377	784	338	423	401	274	211	810	408	90	433	155	77									
