Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Мегионская городская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
1	"Число избирателей, внесенных в списки"	38161	2887	2553	2931	2387	2194	2441	2317	2874	2387	2408	2318	2666	2911	798	747	2627	715					
2	"Число бюллетеней, полученных участковыми комиссиями"	32530	2540	2250	2680	2100	1920	2140	2050	1950	2030	1820	2120	2400	2400	670	630	2240	590					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18862	1575	1259	1607	1024	1006	1228	1080	1357	1183	1252	785	1412	1269	496	444	1488	397					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	275	15	5	11	32	58	65	7	2	7	11	7	7	4	11	3	29	1					
6	Число погашенных бюллетеней	13393	950	986	1062	1044	856	847	963	591	840	557	1328	981	1127	163	183	723	192					
7	Число бюллетеней в переносных ящиках для голосования	275	15	5	11	32	58	65	7	2	7	11	7	7	4	11	3	29	1					
8	Число бюллетеней в стационарных ящиках для голосования	18857	1575	1258	1607	1024	1006	1226	1080	1357	1183	1252	784	1411	1269	496	444	1488	397					
9	Число недействительных бюллетеней	237	12	9	21	19	8	26	14	9	18	24	13	9	16	2	4	30	3					
10	Число действительных бюллетеней	18895	1578	1254	1597	1037	1056	1265	1073	1350	1172	1239	778	1409	1257	505	443	1487	395					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	100	5	4	3	30	2	0	3	5	5	3	6	8	6	1	0	18	1					
14	Число погашенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	127	7	7	18	3	6	11	7	7	9	11	10	14	9	0	0	6	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	220	12	7	19	14	7	10	12	16	17	13	6	18	14	19	10	22	4					
		1.14%	0.75%	0.55%	1.17%	1.32%	0.65%	0.77%	1.10%	1.17%	1.42%	1.02%	0.75%	1.26%	1.09%	3.74%	2.23%	1.45%	1.00%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	528	51	45	47	34	27	27	36	35	41	44	25	44	24	21	5	19	3					
		2.75%	3.20%	3.56%	2.90%	3.21%	2.53%	2.09%	3.31%	2.57%	3.44%	3.48%	3.16%	3.10%	1.88%	4.14%	1.11%	1.25%	0.75%					
