Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Пригородная																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693					
1	"Число избирателей, внесенных в списки"	31735	650	1887	1486	174	638	146	1289	1063	1709	60	230	446	131	106	361	528	136	87	92	95	398	328	650	1424	201	267	302	1562	2362	308	113	136	227	182	847	2851	286	1025	889	852	190	1149	697	207	717	2251					
2	"Число бюллетеней, полученных участковыми комиссиями"	31980	640	1870	1480	175	640	150	1280	1060	1680	70	220	450	130	110	360	530	140	90	90	100	410	330	650	1500	210	260	310	1550	2390	260	120	150	230	190	850	2850	300	1020	885	860	360	1130	700	200	740	2260					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13792	313	714	665	111	366	100	623	308	607	33	130	163	70	51	165	286	101	46	70	55	207	121	303	559	90	143	164	523	1090	171	57	69	110	110	348	1074	170	306	448	387	176	458	320	106	362	943					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1652	23	19	7	4	52	6	72	140	100	12	10	16	8	5	28	10	0	5	10	11	53	32	37	16	33	23	65	40	13	35	24	0	5	19	55	203	0	114	4	8	14	113	58	22	57	71					
6	Число погашенных бюллетеней	16536	304	1137	808	60	222	44	585	612	973	25	80	271	52	54	167	234	39	39	10	34	150	177	310	925	87	94	81	987	1287	54	39	81	115	61	447	1573	130	600	433	465	170	559	322	72	321	1246					
7	Число бюллетеней в переносных ящиках для голосования	1652	23	19	7	4	52	6	72	140	100	12	10	16	8	5	28	10	0	5	10	11	53	32	37	16	33	23	65	40	13	35	24	0	5	19	55	203	0	114	4	8	14	113	58	22	57	71					
8	Число бюллетеней в стационарных ящиках для голосования	13792	313	714	665	111	366	100	623	308	607	33	130	163	70	51	165	286	101	46	70	55	207	121	303	559	90	143	164	523	1090	171	57	69	110	110	348	1074	170	306	448	387	176	458	320	106	362	943					
9	Число недействительных бюллетеней	206	6	5	16	7	3	0	2	2	10	0	1	1	1	0	9	3	0	1	0	0	4	7	5	3	0	0	0	18	10	3	1	0	8	4	1	12	16	6	7	4	0	12	0	2	1	15					
10	Число действительных бюллетеней	15238	330	728	656	108	415	106	693	446	697	45	139	178	77	56	184	293	101	50	80	66	256	146	335	572	123	166	229	545	1093	203	80	69	107	125	402	1265	154	414	445	391	190	559	378	126	418	999					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	5	20	20	3	5	3	15	15	20	3	5	5	3	3	5	5	3	3	3	3	5	5	5	15	3	5	3	15	15	5	3	3	3	3	5	20	3	15	5	5	4	15	5	3	5	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	78	3	2	2	0	3	0	10	0	3	0	0	4	0	0	3	1	0	0	0	0	0	0	3	1	1	2	0	0	8	0	0	0	0	0	1	6	0	3	0	5	1	1	0	3	2	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	174	10	3	2	0	5	1	8	9	10	1	4	2	2	2	0	2	0	1	0	2	0	6	5	6	0	6	2	16	5	2	4	1	6	0	0	7	1	9	0	1	0	19	0	2	3	9					
14	Число погашенных открепительных удостоверений	272	2	18	18	3	2	3	5	15	17	3	5	1	3	3	2	4	3	3	3	3	5	5	2	14	2	3	3	15	7	5	3	3	3	3	4	14	3	12	5	0	3	14	5	0	3	20					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
