Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Боградская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262					
1	"Число избирателей, внесенных в списки"	11681	634	88	1008	200	86	114	1057	77	227	463	126	835	121	214	154	581	101	1199	1542	735	112	34	648	167	87	505	566					
2	"Число бюллетеней, полученных участковыми комиссиями"	12182	653	92	1029	205	87	120	1203	84	238	464	142	863	126	219	177	648	122	1222	1512	724	153	41	656	163	91	562	586					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6256	296	52	509	132	63	66	625	66	115	245	82	489	72	125	80	302	59	696	717	323	66	18	334	93	63	300	268					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	495	32	2	20	4	0	0	44	6	34	18	4	14	4	8	7	23	13	58	43	33	0	0	13	7	4	30	74					
6	Число погашенных бюллетеней	5431	325	38	500	69	24	54	534	12	89	201	56	360	50	86	90	323	50	468	752	368	87	23	309	63	24	232	244					
7	Число бюллетеней в переносных ящиках для голосования	495	32	2	20	4	0	0	44	6	34	18	4	14	4	8	7	23	13	58	43	33	0	0	13	7	4	30	74					
8	Число бюллетеней в стационарных ящиках для голосования	6252	296	52	509	132	63	66	625	66	115	245	82	489	72	125	80	302	59	696	716	320	66	18	334	93	63	300	268					
9	Число недействительных бюллетеней	113	9	1	7	1	0	3	7	1	8	4	3	15	1	0	2	3	0	7	4	1	2	0	6	8	5	7	8					
10	Число действительных бюллетеней	6634	319	53	522	135	63	63	662	71	141	259	83	488	75	133	85	322	72	747	755	352	64	18	341	92	62	323	334					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	132	5	3	5	4	4	4	7	3	4	5	3	7	3	3	4	5	3	10	10	7	3	2	6	4	4	7	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	33	0	0	0	0	0	0	3	3	0	1	0	1	0	0	0	1	0	8	5	6	0	0	2	1	0	0	2					
