Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Бердская городская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400					
1	"Число избирателей, внесенных в списки избирателей"	75740	1831	1107	563	739	2180	2212	1779	2093	1746	1743	2119	1669	1602	1734	1838	1582	1802	1689	1872	1833	2059	1915	2948	2199	1639	2320	2127	1842	2074	1979	2220	1919	2308	2280	1734	2035	1640	1722	1642	1751	1654					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	60200	1450	800	500	550	1700	1750	1450	1750	1350	1400	1650	1400	1300	1400	1500	1250	1450	1300	1500	1500	1650	1550	2000	1750	1400	1800	1700	1600	1700	1600	1650	1500	1700	1700	1400	1600	1400	1400	1300	1450	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	43851	915	689	290	352	1258	1170	893	1030	1067	1062	1106	1024	993	1035	1077	877	1089	1020	1038	1091	1092	1130	1846	1087	925	1472	1201	1200	1001	1174	1269	1051	1437	1241	1088	1285	1144	1078	1074	980	1000					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2417	115	64	90	25	98	50	78	76	45	53	69	52	45	47	32	59	24	89	44	44	89	38	56	93	89	49	48	30	57	52	112	50	68	28	47	52	38	39	43	75	65					
6	Число погашенных избирательных бюллетеней	13932	420	47	120	173	344	530	479	644	238	285	475	324	262	318	391	314	337	191	418	365	469	382	98	570	386	279	451	370	642	374	269	399	195	431	265	263	218	283	183	395	335					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2417	115	64	90	25	98	50	78	76	45	53	69	52	45	47	32	59	24	89	44	44	89	38	56	93	89	49	48	30	57	52	112	50	68	28	47	52	38	39	43	75	65					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43785	908	689	290	351	1258	1167	883	1030	1066	1062	1096	1023	993	1035	1077	877	1089	1010	1036	1091	1092	1128	1844	1087	924	1467	1199	1200	1001	1174	1269	1051	1435	1241	1086	1282	1144	1078	1072	980	1000					
9	Число недействительных избирательных бюллетеней	467	16	7	53	6	15	8	11	7	8	16	6	13	13	5	8	5	10	15	8	8	14	9	20	7	6	5	13	20	5	9	15	13	8	6	5	18	6	14	9	14	13					
10	Число действительных избирательных бюллетеней	45735	1007	746	327	370	1341	1209	950	1099	1103	1099	1159	1062	1025	1077	1101	931	1103	1084	1072	1127	1167	1157	1880	1173	1007	1511	1234	1210	1053	1217	1366	1088	1495	1263	1128	1316	1176	1103	1106	1041	1052					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	445	10	2	0	5	15	15	8	7	11	12	10	10	10	13	6	10	11	10	15	15	5	7	24	10	10	13	12	25	12	5	10	10	15	15	13	17	11	6	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	407	9	2	0	3	15	15	8	6	10	12	10	10	10	13	5	10	11	7	8	14	5	7	22	7	9	13	12	25	11	5	8	8	15	9	13	17	11	6	6	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	516	31	174	5	4	26	11	6	11	14	3	7	6	8	6	8	13	6	11	10	3	6	6	9	14	7	12	6	12	0	3	4	7	2	7	13	7	6	4	5	11	12					
14	Число погашенных неиспользованных открепительных удостоверений	38	1	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	3	7	1	0	0	2	3	1	0	0	0	1	0	2	2	0	6	0	0	0	0	4	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	2	1	2	1	0	1	0	3	2	15	3	0	3	1	4	3	1	2	2	0	0	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	1.Политическая партия «Аграрная партия России»	1163	28	13	15	10	29	25	21	25	26	36	26	34	29	36	26	29	26	38	38	34	29	30	39	36	25	27	23	20	29	36	31	26	27	26	24	38	28	22	39	33	31					
		2.52%	2.74%	1.73%	3.95%	2.66%	2.14%	2.05%	2.19%	2.26%	2.34%	3.23%	2.23%	3.16%	2.79%	3.33%	2.34%	3.10%	2.34%	3.46%	3.52%	2.99%	2.46%	2.57%	2.05%	3.05%	2.47%	1.78%	1.84%	1.63%	2.74%	2.94%	2.24%	2.36%	1.80%	2.05%	2.12%	2.85%	2.37%	1.97%	3.50%	3.13%	2.91%					
19	2.Всероссийская политическая партия «Гражданская Сила»	554	9	4	3	15	26	27	8	10	13	11	25	13	14	25	11	11	16	9	10	21	13	13	6	4	14	32	12	10	12	15	27	9	14	16	18	15	11	8	6	9	9					
