Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №26																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957					
1	"Число избирателей, внесенных в список избирателей"	115930	1845	1779	1991	2311	2361	1797	2672	1866	2122	2092	2110	2227	1815	2336	2311	1953	1834	1707	368	1975	521	1691	1879	1216	1212	2045	2153	2502	2073	2162	2504	1825	1796	1070	1635	2671	1852	2177	1084	2396	1345	911	993	1824	2155	2257	1785	1815	2014	2122	2256	2375	1357	2425	2322	1579	1693	603	399	367	2552	2354	2491					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	104400	1500	1500	1800	2100	2100	1500	2500	1700	2000	2000	2000	2000	1700	2200	2000	1500	1700	1300	600	1800	600	1500	1700	1000	1600	2000	1900	2300	2000	1900	2300	1500	1500	1000	1400	2400	1700	1900	1000	2100	1000	800	900	1700	1700	2100	1700	1700	1800	2000	2000	2300	1000	2300	2200	1400	1500	600	300	300	2000	2100	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59236	997	1146	1111	1283	1126	1087	1392	982	1000	1196	991	1191	884	1200	1226	999	902	1039	368	821	521	791	955	566	1080	978	1134	1465	959	1150	1329	1015	965	477	691	1267	1028	1255	396	1297	703	467	399	879	807	1026	738	800	1037	876	1161	1412	589	1154	1097	768	802	341	137	158	1686	916	1023					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1499	18	13	12	13	12	19	14	21	2	23	22	14	10	14	13	7	19	17	0	50	0	22	32	34	132	16	11	46	16	44	25	16	12	65	96	12	59	16	22	22	1	5	12	17	19	30	24	31	26	22	19	41	11	25	34	51	22	0	14	33	2	25	24					
6	Число погашенных избирательных бюллетеней	43663	485	341	677	804	962	394	1094	697	998	781	987	795	806	986	761	494	779	244	232	929	79	687	713	400	388	1006	755	789	1025	706	946	469	523	458	613	1121	613	629	582	781	296	328	489	804	874	1044	938	869	737	1100	820	847	400	1121	1069	581	676	259	149	109	312	1159	1153					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1498	18	13	12	13	12	19	14	21	2	23	22	13	10	14	13	7	19	17	0	50	0	22	32	34	132	16	11	46	16	44	25	16	12	65	96	12	59	16	22	22	1	5	12	17	19	30	24	31	26	22	19	41	11	25	34	51	22	0	14	33	2	25	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58838	995	1130	1111	1283	1114	1068	1392	978	998	1186	985	1189	875	1200	1226	988	899	1035	368	820	521	791	927	559	1080	978	1123	1396	959	1150	1324	1015	965	477	598	1265	1004	1250	394	1295	703	467	399	877	804	1023	734	799	1037	876	1151	1395	589	1154	1097	768	802	341	137	157	1683	913	1021					
9	Число недействительных избирательных бюллетеней	870	24	16	22	16	14	14	20	12	11	15	12	17	14	23	21	11	9	16	7	16	14	8	21	6	14	22	14	13	14	13	20	25	24	9	13	20	16	7	3	11	9	7	6	14	12	18	11	8	12	12	17	32	5	25	11	10	9	6	1	2	24	13	9					
10	Число действительных избирательных бюллетеней	59466	989	1127	1101	1280	1112	1073	1386	987	989	1194	995	1185	871	1191	1218	984	909	1036	361	854	507	805	938	587	1198	972	1120	1429	961	1181	1329	1006	953	533	681	1257	1047	1259	413	1306	695	465	405	880	811	1035	747	822	1051	886	1153	1404	595	1154	1120	809	815	335	150	188	1661	925	1036					
