Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Кирово-Чепецкая																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552					
1	"Число избирателей, внесенных в списки"	17689	1061	235	348	1046	1014	734	1686	460	2374	1096	647	2520	517	188	803	1130	786	1044					
2	"Число бюллетеней, полученных участковыми комиссиями"	17569	1070	239	340	1060	1020	740	1660	460	2350	1080	650	2500	480	200	810	1070	780	1060					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9575	634	121	214	537	466	529	772	246	1345	562	367	1306	348	125	478	542	476	507					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	751	7	11	13	120	0	42	142	18	90	86	0	83	16	0	58	17	0	48					
6	Число погашенных бюллетеней	7243	429	107	113	403	554	169	746	196	915	432	283	1111	116	75	274	511	304	505					
7	Число бюллетеней в переносных ящиках для голосования	751	7	11	13	120	0	42	142	18	90	86	0	83	16	0	58	17	0	48					
8	Число бюллетеней в стационарных ящиках для голосования	9570	634	120	214	537	466	529	768	246	1345	562	367	1306	348	125	478	542	476	507					
9	Число недействительных бюллетеней	176	9	2	11	11	16	8	13	4	12	14	11	29	8	1	4	7	4	12					
10	Число действительных бюллетеней	10145	632	129	216	646	450	563	897	260	1423	634	356	1360	356	124	532	552	472	543					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	980	55	12	20	62	60	40	90	26	137	63	30	140	30	10	45	62	44	54					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	104	0	0	1	5	5	18	5	10	12	4	1	24	0	1	5	5	1	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	164	78	6	2	2	0	6	10	4	18	10	0	10	4	1	5	5	0	3					
14	Число погашенных открепительных удостоверений	876	55	12	19	57	55	22	85	16	125	59	29	116	30	9	40	57	43	47					
15	Число открепительных удостоверений выданных ТИК	20	2	0	0	2	0	0	1	1	2	1	0	7	0	1	1	0	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	157	6	2	8	5	9	7	22	3	20	12	6	17	2	2	7	10	14	5					
		1.52%	0.93%	1.52%	3.52%	0.76%	1.93%	1.22%	2.41%	1.13%	1.39%	1.85%	1.63%	1.22%	0.54%	1.6%	1.30%	1.78%	2.94%	0.90%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	244	16	11	5	2	12	4	42	3	46	7	11	34	7	2	4	7	12	19					
		2.36%	2.49%	8.39%	2.20%	0.30%	2.57%	0.70%	4.61%	1.13%	3.20%	1.08%	2.99%	2.44%	1.92%	1.6%	0.74%	1.25%	2.52%	3.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	400	31	7	10	16	15	21	37	7	65	16	17	62	8	2	30	16	24	16					
		3.87%	4.83%	5.34%	4.40%	2.43%	3.21%	3.67%	4.06%	2.65%	4.52%	2.46%	4.63%	4.46%	2.19%	1.6%	5.59%	2.86%	5.04%	2.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	233	13	4	1	7	3	13	18	3	54	15	14	26	3	5	15	8	14	17					
		2.25%	2.02%	3.05%	0.44%	1.06%	0.64%	2.27%	1.97%	1.13%	3.76%	2.31%	3.81%	1.87%	0.82%	4.0%	2.79%	1.43%	2.94%	3.06%					
22	"5. ""За Русь Святую"""	56	6	1	0	7	0	4	5	0	7	0	2	16	2	0	1	1	3	1					
		0.54%	0.93%	0.76%	0.0%	1.06%	0.0%	0.70%	0.54%	0.0%	0.48%	0.0%	0.54%	1.15%	0.54%	0.0%	0.18%	0.17%	0.63%	0.18%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	0	0	0	1	0	1	7	1	2	1	1	2	1	0	2	2	1	2					
		0.23%	0.0%	0.0%	0.0%	0.15%	0.0%	0.17%	0.76%	0.37%	0.13%	0.15%	0.27%	0.14%	0.27%	0.0%	0.37%	0.35%	0.21%	0.36%					
24	"7. ""Новый курс - Автомобильная Россия"""	69	3	0	0	1	4	3	22	1	12	0	4	5	1	1	2	3	3	4					
		0.66%	0.46%	0.0%	0.0%	0.15%	0.85%	0.52%	2.41%	0.37%	0.83%	0.0%	1.08%	0.35%	0.27%	0.8%	0.37%	0.53%	0.63%	0.72%					
25	"8. ""Народно-республиканская партия России"""	19	2	0	2	1	0	1	2	1	1	0	0	4	2	0	0	1	1	1					
		0.18%	0.31%	0.0%	0.88%	0.15%	0.0%	0.17%	0.21%	0.37%	0.06%	0.0%	0.0%	0.28%	0.54%	0.0%	0.0%	0.17%	0.21%	0.18%					
26	"9. ""Российская экологическая партия ""Зеленые"""	47	2	1	0	0	1	1	3	0	15	1	3	8	3	1	2	2	0	4					
		0.45%	0.31%	0.76%	0.0%	0.0%	0.21%	0.17%	0.32%	0.0%	1.04%	0.15%	0.81%	0.57%	0.82%	0.8%	0.37%	0.35%	0.0%	0.72%					
27	"10. ""Аграрная партия России"""	1435	61	15	19	235	59	125	51	63	91	142	19	133	84	3	67	150	70	48					
		13.90%	9.51%	11.45%	8.37%	35.76%	12.66%	21.89%	5.60%	23.86%	6.34%	21.91%	5.17%	9.57%	23.07%	2.4%	12.5%	26.83%	14.70%	8.64%					
28	"11. ""Истинные патриоты России"""	22	1	0	0	0	0	0	11	0	0	0	0	1	2	0	1	0	0	6					
		0.21%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%	0.0%	0.0%	0.0%	0.07%	0.54%	0.0%	0.18%	0.0%	0.0%	1.08%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	123	7	0	1	9	4	8	14	5	18	6	6	11	3	2	3	12	11	3					
		1.19%	1.09%	0.0%	0.44%	1.36%	0.85%	1.40%	1.53%	1.89%	1.25%	0.92%	1.63%	0.79%	0.82%	1.6%	0.55%	2.14%	2.31%	0.54%					
30	"13. ""Демократическая партия России"""	40	0	0	0	4	2	2	2	2	4	3	0	8	3	1	4	1	0	4					
		0.38%	0.0%	0.0%	0.0%	0.60%	0.42%	0.35%	0.21%	0.75%	0.27%	0.46%	0.0%	0.57%	0.82%	0.8%	0.74%	0.17%	0.0%	0.72%					
31	"14. ""Великая Россия - Евразийский Союз"""	30	0	1	1	1	0	0	5	1	3	2	0	6	4	2	2	1	1	0					
