Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Наурская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219					
1	"Число избирателей, внесенных в списки избирателей"	28237	1128	1109	841	1570	1783	716	1250	1123	1175	2013	1314	1919	2051	2982	1393	1970	1701	1459	740					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28237	1128	1109	841	1570	1783	716	1250	1123	1175	2013	1314	1919	2051	2982	1393	1970	1701	1459	740					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28088	1120	1104	841	1560	1770	716	1240	1120	1160	2002	1310	1903	2040	2961	1390	1962	1690	1459	740					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	45	4	2	0	5	5	0	1	0	3	3	2	5	6	4	0	3	2	0	0					
6	Число погашенных избирательных бюллетеней	104	4	3	0	5	8	0	9	3	12	8	2	11	5	17	3	5	9	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	45	4	2	0	5	5	0	1	0	3	3	2	5	6	4	0	3	2	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28081	1120	1103	841	1560	1770	716	1238	1120	1160	2002	1310	1903	2038	2961	1390	1960	1690	1459	740					
9	Число недействительных избирательных бюллетеней	16	0	0	1	0	2	1	0	0	0	0	1	0	2	0	4	2	0	3	0					
10	Число действительных избирательных бюллетеней	28110	1124	1105	840	1565	1773	715	1239	1120	1163	2005	1311	1908	2042	2965	1386	1961	1692	1456	740					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	500	3	3	3	4	4	2	7	7	7	6	8	8	8	8	8	7	7	160	240					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	214	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	210					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	286	3	3	3	3	4	2	7	7	7	6	7	7	7	8	8	7	7	160	30					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	1.Политическая партия «Аграрная партия России»	7	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	7	0	0	0	2	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.08%	0.00%	0.05%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	33	0	4	0	0	2	0	0	5	0	4	0	4	2	5	0	4	3	0	0					
		0.12%	0.00%	0.36%	0.00%	0.00%	0.11%	0.00%	0.00%	0.45%	0.00%	0.20%	0.00%	0.21%	0.10%	0.17%	0.00%	0.20%	0.18%	0.00%	0.00%					
