Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Красноярск, Ленинская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №2278	УИК №2317	УИК №2318									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	104833	1889	1893	2265	1682	1617	1642	1716	1928	1605	1643	1887	2062	1369	1471	1355	2073	309	2074	2385	2331	1989	1878	2346	2321	1849	1931	1690	2600	2102	1962	1810	1921	1933	2163	2025	2304	1982	2284	2148	2524	2310	2232	2538	2013	1776	1985	1528	2181	2361	1669	1971	2218	1753	1340									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102550	1800	1800	2200	1700	1600	1600	1700	1400	1600	1600	1800	2100	1300	1300	1300	2100	350	2000	2300	2300	1900	1800	2300	2300	1900	1900	1600	2600	2100	2000	1800	1800	1900	2200	2000	2300	1900	2200	2100	2500	2300	2200	2600	2000	1700	1900	1400	2100	2400	1900	1900	2200	1700	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30569	583	646	703	482	589	542	639	670	490	440	456	797	448	550	505	662	224	750	866	939	593	514	604	610	438	440	442	453	562	435	425	549	497	558	538	555	460	491	488	587	660	727	843	436	601	633	378	607	643	579	466	696	622	458									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1123	14	33	33	10	18	18	18	39	10	12	12	8	7	70	17	12	65	13	17	30	9	7	15	8	5	17	15	32	4	14	13	14	16	77	17	21	14	16	14	19	17	33	16	36	18	20	50	51	15	3	12	30	5	14									
6	Число погашенных избирательных бюллетеней	70858	1203	1121	1464	1208	993	1040	1043	691	1100	1148	1332	1295	845	680	778	1426	61	1237	1417	1331	1298	1279	1681	1682	1457	1443	1143	2115	1534	1551	1362	1237	1387	1565	1445	1724	1426	1693	1598	1894	1623	1440	1741	1528	1081	1247	972	1442	1742	1318	1422	1474	1073	828									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1122	14	33	33	10	18	18	18	39	10	12	12	8	7	70	17	12	65	13	17	30	9	7	15	8	5	17	15	32	4	13	13	14	16	77	17	21	14	16	14	19	17	33	16	36	18	20	50	51	15	3	12	30	5	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30434	583	646	703	482	571	542	639	643	490	436	436	797	448	550	505	662	224	750	866	939	593	514	589	609	438	440	441	421	562	435	425	549	497	558	537	555	460	490	488	587	657	727	835	434	601	633	378	607	643	578	466	696	621	458									
9	Число недействительных избирательных бюллетеней	1079	35	16	30	20	16	15	16	15	16	13	14	24	12	28	11	22	3	20	20	26	24	26	29	24	21	8	16	15	18	12	23	14	9	16	16	23	17	13	20	44	23	16	48	20	28	23	17	22	21	28	17	20	20	16									
10	Число действительных избирательных бюллетеней	30477	562	663	706	472	573	545	641	667	484	435	434	781	443	592	511	652	286	743	863	943	578	495	575	593	422	449	440	438	548	436	415	549	504	619	538	553	457	493	482	562	651	744	803	450	591	630	411	636	637	553	461	706	606	456									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2126	40	40	40	40	40	40	40	40	40	40	40	46	40	40	40	40	0	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1158	16	15	22	24	31	24	14	33	16	21	20	41	18	21	14	36	0	26	34	34	25	18	39	29	26	12	9	11	14	14	40	25	16	26	14	17	19	20	16	24	15	23	22	14	26	17	17	19	23	28	11	28	29	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	978	17	14	27	16	10	22	25	25	14	14	10	21	9	14	13	22	171	35	36	71	18	33	6	7	13	10	10	5	11	13	5	12	9	5	11	2	12	14	12	7	11	12	9	14	19	14	8	26	17	5	7	11	8	16									
14	Число погашенных неиспользованных открепительных удостоверений	968	24	25	18	16	9	16	26	7	24	19	20	5	22	19	26	4	0	14	6	6	15	22	1	11	14	28	31	29	26	26	0	15	24	14	26	23	21	20	24	16	25	17	18	26	14	23	23	21	17	12	29	12	11	28									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	77	0	1	1	0	4	1	2	0	0	1	1	2	1	0	1	18	0	1	1	3	0	0	0	0	1	1	0	4	1	1	0	0	0	2	3	2	0	0	2	0	0	3	4	0	1	0	0	1	0	2	0	2	4	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	588	11	16	19	8	15	7	14	18	9	6	10	21	8	12	8	13	6	20	20	21	9	6	12	5	9	8	4	7	4	6	15	13	14	10	6	4	12	9	10	13	11	11	10	5	8	11	9	17	15	10	9	8	16	10									
		1.86%	1.84%	2.36%	2.58%	1.63%	2.55%	1.25%	2.13%	2.64%	1.80%	1.34%	2.23%	2.61%	1.76%	1.94%	1.53%	1.93%	2.08%	2.62%	2.27%	2.17%	1.50%	1.15%	1.99%	0.81%	2.03%	1.75%	0.88%	1.55%	0.71%	1.34%	3.42%	2.31%	2.73%	1.57%	1.08%	0.69%	2.53%	1.78%	1.99%	2.15%	1.63%	1.45%	1.18%	1.06%	1.29%	1.68%	2.10%	2.58%	2.28%	1.72%	1.88%	1.10%	2.56%	2.12%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1016	14	20	22	19	22	19	24	23	16	15	9	16	4	23	18	19	8	22	34	30	16	30	15	18	12	12	22	19	28	12	21	21	17	16	24	15	15	26	7	17	23	30	27	20	27	23	10	15	17	14	16	18	19	17									
		3.22%	2.35%	2.95%	2.99%	3.86%	3.74%	3.39%	3.65%	3.37%	3.20%	3.35%	2.01%	1.99%	0.88%	3.71%	3.45%	2.82%	2.77%	2.88%	3.85%	3.10%	2.66%	5.76%	2.48%	2.92%	2.71%	2.63%	4.82%	4.19%	4.95%	2.68%	4.79%	3.73%	3.31%	2.52%	4.33%	2.60%	3.16%	5.14%	1.39%	2.81%	3.41%	3.95%	3.17%	4.26%	4.36%	3.52%	2.34%	2.28%	2.58%	2.41%	3.35%	2.48%	3.04%	3.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	591	14	17	13	4	15	10	6	8	7	5	16	18	9	16	6	15	5	15	23	22	12	9	13	11	10	9	8	5	15	9	10	13	6	7	8	11	11	9	5	11	7	15	10	10	12	11	8	14	14	11	10	10	7	16									
		1.87%	2.35%	2.50%	1.77%	0.81%	2.55%	1.79%	0.91%	1.17%	1.40%	1.12%	3.57%	2.24%	1.98%	2.58%	1.15%	2.23%	1.73%	1.97%	2.60%	2.27%	1.99%	1.73%	2.15%	1.78%	2.26%	1.97%	1.75%	1.10%	2.65%	2.01%	2.28%	2.31%	1.17%	1.10%	1.44%	1.91%	2.32%	1.78%	0.99%	1.82%	1.04%	1.97%	1.18%	2.13%	1.94%	1.68%	1.87%	2.13%	2.13%	1.89%	2.09%	1.38%	1.12%	3.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11935	204	260	282	186	210	209	254	309	196	172	160	281	172	228	221	236	155	284	312	343	218	209	254	221	164	184	159	188	220	163	146	204	157	294	198	227	187	155	205	227	262	263	328	176	220	257	179	272	239	202	199	283	229	172									
