Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
"Наименование Избирательной комиссии:    Новокузнецк, Центральная"																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793					
1	"Число избирателей, внесенных в списки"	134795	2369	2182	2520	2815	2639	2873	2862	2514	2252	2931	2553	2476	2190	1940	2450	1712	2322	2629	1989	1834	2176	2392	2086	1455	1906	2514	2519	2894	2507	2671	2434	2106	2661	2557	2547	2565	2368	2746	2605	1702	1979	2166	1934	2160	2554	2405	2305	2242	2221	2746	2491	2460	2099	1952	2497	2309	2812					
2	"Число бюллетеней, полученных участковыми комиссиями"	122500	2100	2000	2300	2500	2300	2500	2500	2300	2100	2600	2300	2200	2000	1700	2200	1500	2100	2400	1800	1600	2000	2100	2000	1300	1700	2500	2500	2200	2200	2500	2200	2000	2500	2100	2500	2500	2200	2500	2500	1500	1700	2000	1700	2000	2500	2200	2100	2000	2000	2500	2200	2200	2000	1800	2500	2100	2500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	70260	1015	944	1152	1354	1434	1405	1378	1389	1243	1503	1434	1358	1244	1122	1249	926	1229	1249	1016	852	1004	1274	1181	818	1036	1290	1280	1146	1375	1336	1191	1128	1236	1156	1561	1475	1369	1529	1458	977	1081	1179	1112	1077	1350	1346	1110	1230	1257	1507	1208	1423	1157	1117	1385	1298	1107					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2604	26	18	31	17	17	13	8	39	28	13	27	26	17	32	50	25	22	40	45	20	60	31	35	15	42	31	38	522	71	32	57	45	37	164	18	17	24	17	21	13	15	23	24	14	26	45	38	43	38	34	48	28	33	39	47	15	290					
6	Число погашенных бюллетеней	49636	1059	1038	1117	1129	849	1082	1114	872	829	1084	839	816	739	546	901	549	849	1111	739	728	936	795	784	467	622	1179	1182	532	754	1132	952	827	1227	780	921	1008	807	954	1021	510	604	798	564	909	1124	809	952	727	705	959	944	749	810	644	1068	787	1103					
7	Число бюллетеней в переносных ящиках для голосования	2603	26	18	31	17	17	13	8	39	28	13	27	26	17	32	50	25	22	40	45	20	60	31	35	15	42	31	38	522	71	32	57	45	37	163	18	17	24	17	21	13	15	23	24	14	26	45	38	43	38	34	48	28	33	39	47	15	290					
8	Число бюллетеней в стационарных ящиках для голосования	70091	1015	944	1151	1354	1434	1369	1378	1389	1216	1503	1434	1358	1244	1122	1248	926	1229	1249	1016	852	992	1274	1181	818	1036	1290	1276	1138	1375	1335	1191	1126	1233	1124	1561	1475	1369	1529	1437	977	1081	1179	1112	1077	1345	1331	1110	1230	1257	1507	1208	1423	1157	1117	1385	1298	1106					
9	Число недействительных бюллетеней	660	11	12	15	9	16	19	12	10	10	7	11	11	8	8	20	8	11	13	6	11	11	12	11	11	11	8	11	16	7	9	32	14	6	12	6	10	9	4	6	2	5	5	10	10	23	6	24	11	18	16	19	7	4	7	14	21	24					
10	Число действительных бюллетеней	72034	1030	950	1167	1362	1435	1363	1374	1418	1234	1509	1450	1373	1253	1146	1278	943	1240	1276	1055	861	1041	1293	1205	822	1067	1313	1303	1644	1439	1358	1216	1157	1264	1275	1573	1482	1384	1542	1452	988	1091	1197	1126	1081	1348	1370	1124	1262	1277	1525	1237	1444	1186	1149	1418	1292	1372					
