Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
"Наименование Избирательной комиссии:    Волгоград, Дзержинская"																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465					
1	"Число избирателей, внесенных в список избирателей"	141584	3026	1895	1459	2869	2943	1164	1281	1467	1220	1587	2377	2258	2274	1927	2963	2984	2270	3768	2983	2918	2639	2575	2325	2767	1732	1847	1851	1988	2575	2437	2827	3009	2755	2452	2487	2344	2231	1968	1946	2024	2068	2867	2714	1871	2230	1685	1979	2153	2062	2025	2918	2570	2401	2478	1768	1958	2227	2561	2333	2155	1887	933	814	477	38					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	129300	2700	1500	1200	2400	2600	1000	1200	1300	1000	1400	2300	2000	2100	1800	2700	2800	2000	2800	2800	2600	2500	2400	2000	2600	1600	1700	1700	1800	2400	2300	2700	2800	2600	2300	2400	2200	2100	1800	1800	1800	1800	2700	2600	1700	2000	1600	1800	2000	1900	1900	2500	2200	2200	2600	1600	1800	2100	2300	2200	2100	1700	950	800	450	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	64152	1212	567	541	1198	1319	503	453	520	429	652	1062	956	1025	985	1251	1429	901	2611	1381	1309	1144	1150	911	1445	893	910	996	1023	1243	1199	1468	1491	1367	1181	1197	1123	1067	970	895	978	962	1345	1248	866	874	691	841	933	898	896	1273	1110	1100	1094	629	747	957	1050	1025	763	920	305	553	79	38					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4457	36	74	68	80	323	8	8	26	120	27	48	189	28	23	31	83	79	25	18	192	87	30	176	7	59	23	43	16	39	22	36	35	11	12	9	16	18	42	20	29	65	21	33	103	31	23	16	22	32	21	259	214	32	107	20	25	10	59	48	49	19	520	160	352	0					
6	Число погашенных избирательных бюллетеней	60686	1452	859	591	1122	958	489	739	754	451	721	1190	855	1047	792	1418	1288	1019	164	1401	1099	1269	1220	913	1148	648	767	657	761	1118	1079	1196	1274	1222	1107	1194	1061	1015	788	885	793	773	1334	1319	731	1095	886	943	1045	970	983	968	876	1068	1399	951	1028	1133	1191	1127	1288	761	125	87	19	62					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4457	36	74	68	80	323	8	8	26	120	27	48	189	28	23	31	83	79	25	18	192	87	30	176	7	59	23	43	16	39	22	36	35	11	12	9	16	18	42	20	29	65	21	33	103	31	23	16	22	32	21	259	214	32	107	20	25	10	59	48	49	19	520	160	352	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	64134	1212	567	541	1198	1319	503	453	520	429	652	1062	956	1025	985	1251	1429	901	2609	1381	1308	1144	1150	911	1440	893	910	992	1023	1243	1199	1468	1489	1367	1181	1197	1123	1067	970	895	978	962	1345	1246	866	874	691	841	933	898	896	1271	1110	1100	1094	629	747	957	1050	1025	763	920	305	553	79	38					
9	Число недействительных избирательных бюллетеней	1023	20	13	6	20	27	11	5	11	14	7	15	20	23	14	16	27	10	43	22	24	23	21	15	23	8	11	6	21	0	17	23	20	14	23	18	0	14	17	8	17	18	25	24	14	13	14	13	13	17	14	19	17	16	25	10	8	19	10	26	6	19	13	16	5	2					
10	Число действительных избирательных бюллетеней	67568	1228	628	603	1258	1615	500	456	535	535	672	1095	1125	1030	994	1266	1485	970	2591	1377	1476	1208	1159	1072	1424	944	922	1029	1018	1282	1204	1481	1504	1364	1170	1188	1139	1071	995	907	990	1009	1341	1255	955	892	700	844	942	913	903	1511	1307	1116	1176	639	764	948	1099	1047	806	920	812	697	426	36					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3116	48	51	20	50	50	30	20	20	30	40	50	40	51	40	46	50	50	30	55	58	50	60	50	44	40	40	31	50	30	50	73	65	50	60	55	60	50	30	40	45	30	50	60	40	40	30	30	55	40	30	59	55	30	470	40	40	50	65	50	30	20	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2638	42	36	17	32	38	22	13	16	22	33	36	31	45	28	44	50	44	22	54	54	40	45	44	44	32	32	31	31	28	44	57	59	41	57	50	45	44	20	37	30	30	34	48	33	32	27	30	37	33	27	40	47	27	464	27	23	46	55	43	29	16	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2865	89	95	95	75	323	20	9	8	10	16	20	30	15	15	15	48	30	421	65	28	26	22	34	25	33	48	29	22	27	17	62	60	19	35	11	24	14	29	16	17	40	29	18	18	13	13	24	16	21	17	23	93	70	67	16	6	33	21	16	23	25	82	103	43	38					
14	Число погашенных неиспользованных открепительных удостоверений	478	6	15	3	18	12	8	7	4	8	7	14	9	6	12	2	0	6	8	1	4	10	15	6	0	8	8	0	19	2	6	16	6	9	3	5	15	6	10	3	15	0	16	12	7	8	3	0	18	7	3	19	8	3	6	13	17	4	10	7	1	4	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	14491	205	96	108	205	315	106	123	104	109	125	261	220	207	245	277	338	227	348	325	336	253	219	241	267	196	192	234	222	282	254	263	293	240	233	228	256	256	226	195	255	261	336	287	247	199	242	222	233	280	192	271	356	253	258	157	179	187	200	216	147	202	202	168	107	4					
		21.13%	16.43%	14.98%	17.73%	16.04%	19.18%	20.74%	26.68%	19.05%	19.85%	18.41%	23.51%	19.21%	19.66%	24.31%	21.61%	22.35%	23.16%	13.21%	23.23%	22.40%	20.55%	18.56%	22.17%	18.45%	20.59%	20.58%	22.61%	21.37%	21.99%	20.80%	17.49%	19.23%	17.42%	19.53%	18.91%	22.48%	23.59%	22.33%	21.31%	25.32%	25.41%	24.60%	22.44%	25.49%	21.99%	33.89%	25.90%	24.40%	30.11%	20.94%	17.71%	26.89%	22.35%	21.48%	24.19%	23.19%	19.34%	18.03%	20.13%	18.10%	21.51%	24.48%	23.56%	24.83%	10.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5431	192	90	81	169	208	68	48	68	12	17	135	150	155	13	19	7	156	50	18	17	150	10	174	72	115	9	4	8	20	50	210	192	8	7	234	19	13	140	147	10	12	191	17	26	143	104	151	37	17	182	310	6	182	20	89	20	21	174	164	144	2	81	8	55	10					
		7.92%	15.38%	14.04%	13.30%	13.22%	12.67%	13.31%	10.41%	12.45%	2.19%	2.50%	12.16%	13.10%	14.72%	1.29%	1.48%	0.46%	15.92%	1.90%	1.29%	1.13%	12.19%	0.85%	16.01%	4.98%	12.08%	0.96%	0.39%	0.77%	1.56%	4.10%	13.96%	12.60%	0.58%	0.59%	19.40%	1.67%	1.20%	13.83%	16.07%	0.99%	1.17%	13.98%	1.33%	2.68%	15.80%	14.57%	17.62%	3.87%	1.83%	19.85%	20.26%	0.45%	16.08%	1.67%	13.71%	2.59%	2.17%	15.69%	15.28%	17.73%	0.21%	9.82%	1.12%	12.76%	26.32%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	699	9	10	13	13	23	3	8	16	5	4	12	14	10	7	7	5	11	9	20	11	20	9	22	7	15	5	6	6	8	4	27	25	8	5	28	7	4	17	20	14	5	17	9	9	9	9	6	5	5	8	18	3	16	14	7	7	12	26	12	6	8	6	10	5	0					
		1.02%	0.72%	1.56%	2.13%	1.02%	1.40%	0.59%	1.74%	2.93%	0.91%	0.59%	1.08%	1.22%	0.95%	0.69%	0.55%	0.33%	1.12%	0.34%	1.43%	0.73%	1.62%	0.76%	2.02%	0.48%	1.58%	0.54%	0.58%	0.58%	0.62%	0.33%	1.80%	1.64%	0.58%	0.42%	2.32%	0.61%	0.37%	1.68%	2.19%	1.39%	0.49%	1.24%	0.70%	0.93%	0.99%	1.26%	0.70%	0.52%	0.54%	0.87%	1.18%	0.23%	1.41%	1.17%	1.08%	0.91%	1.24%	2.34%	1.12%	0.74%	0.85%	0.73%	1.40%	1.16%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	17904	241	182	143	294	433	142	131	142	140	203	341	258	296	276	337	434	234	400	393	400	340	356	283	423	272	271	303	286	382	341	452	455	421	324	301	290	286	251	257	263	241	352	359	216	234	167	212	253	214	202	336	349	327	291	157	238	241	305	254	166	337	212	153	99	12					
