Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
"Наименование Избирательной комиссии:    Волгоград, Дзержинская"																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307					
1	"Число избирателей, внесенных в списки избирателей"	139872	2615	1820	1725	2990	2729	1121	1711	1323	1109	1582	2437	2181	2286	2061	2917	2534	1980	2710	2946	2879	2823	2692	2063	2991	1815	1968	1919	2050	2700	2642	2831	2832	2587	2521	2638	2380	2291	2023	2098	2045	2233	2536	2547	2004	2106	1987	2043	2213	2162	2585	2754	2533	2093	2743	2365	2539	2667	2305	2109	1987	148	320	899	429					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	130420	2450	1600	1500	2650	2500	1000	1400	1150	1000	1450	2350	2000	2150	1900	2750	2350	1800	2300	2750	2650	2650	2500	1900	2800	1650	1850	1800	1900	2550	2550	2750	2750	2450	2400	2500	2300	2200	1900	2000	2000	2100	2450	2400	1850	1950	1900	1900	2100	2000	2200	2500	2400	1800	2600	2200	2400	2450	2250	1900	1900	200	330	1100	440					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	68609	946	781	808	1444	1287	512	934	483	481	676	1370	989	1157	1093	1290	1260	847	1787	1305	1447	1494	1480	946	1679	990	1036	1075	1147	1381	1358	1446	1418	1350	1235	1312	1248	1220	1077	1010	1068	1145	1254	1250	990	945	883	939	962	1020	1328	1323	1275	962	1409	860	1070	1131	1061	771	1029	83	286	700	66					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2504	29	79	22	53	286	7	38	20	20	19	29	49	28	14	30	51	28	40	20	26	21	55	31	9	16	10	19	12	19	25	24	20	6	20	5	18	13	7	11	21	18	28	18	14	20	27	15	23	19	105	26	22	115	30	23	31	18	28	41	26	25	20	199	363					
6	Число погашенных избирательных бюллетеней	59307	1475	740	670	1153	927	481	428	647	499	755	951	962	965	793	1430	1039	925	473	1425	1177	1135	965	923	1112	644	804	706	741	1150	1167	1280	1312	1094	1145	1183	1034	967	816	979	911	937	1168	1132	846	985	990	946	1115	961	767	1151	1103	723	1161	1317	1299	1301	1161	1088	845	92	24	201	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2504	29	79	22	53	286	7	38	20	20	19	29	49	28	14	30	51	28	40	20	26	21	55	31	9	16	10	19	12	19	25	24	20	6	20	5	18	13	7	11	21	18	28	18	14	20	27	15	23	19	105	26	22	115	30	23	31	18	28	41	26	25	20	199	363					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68579	946	781	808	1444	1287	512	934	483	481	676	1370	989	1157	1093	1290	1260	847	1787	1305	1447	1494	1480	946	1679	990	1036	1075	1147	1381	1358	1446	1418	1350	1235	1312	1248	1220	1077	1010	1068	1145	1254	1229	990	941	882	939	962	1020	1328	1323	1274	962	1409	860	1070	1131	1061	771	1027	83	286	699	66					
9	Число недействительных избирательных бюллетеней	605	7	6	13	14	9	4	6	4	0	2	12	15	15	14	7	11	12	15	14	13	15	15	10	8	5	9	4	12	11	9	12	10	12	18	7	16	11	8	2	8	9	8	9	15	6	9	6	10	10	12	13	19	6	5	4	12	3	10	7	8	0	6	14	9					
10	Число действительных избирательных бюллетеней	70478	968	854	817	1483	1564	515	966	499	501	693	1387	1023	1170	1093	1313	1300	863	1812	1311	1460	1500	1520	967	1680	1001	1037	1090	1147	1389	1374	1458	1428	1344	1237	1310	1250	1222	1076	1019	1081	1154	1274	1238	989	955	900	948	975	1029	1421	1336	1277	1071	1434	879	1089	1146	1079	805	1045	108	300	884	420					
