Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
Наименование Избирательной комиссии:    Гулькевичская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170					
1	"Число избирателей, внесенных в список избирателей"	72925	1228	2112	2042	2211	1068	1436	1568	1285	1909	764	1510	2577	900	2042	2173	617	1023	1551	1288	106	1772	1654	841	583	936	2003	1403	719	1416	1409	349	320	384	687	433	1004	902	2012	708	448	205	709	455	712	1637	967	122	987	618	268	150	257	1126	1509	1732	119	983	2334	1349	375	943	234	1934	241	429	513	307	836	1326	155					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71800	1170	2100	2100	2200	1000	1700	1500	1200	1630	750	1500	2600	860	2000	2100	600	900	1500	1200	100	1700	1600	800	550	900	2000	1400	700	1400	1400	340	320	380	700	400	1000	900	2000	750	480	210	730	470	700	1600	950	120	1000	640	270	160	260	1100	1500	1700	100	990	2300	1300	370	940	240	1900	250	440	520	300	850	1300	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47830	656	1248	1180	1576	566	829	1230	700	962	465	900	1687	539	1113	1115	391	681	936	701	89	964	780	419	394	616	1255	1035	539	1237	1096	252	234	326	432	301	681	608	1168	540	330	167	529	338	594	1105	786	94	760	497	173	102	210	1062	1320	1286	80	573	1270	1136	257	800	148	1031	150	240	301	230	629	1050	141					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4872	83	53	96	73	17	122	92	60	261	34	108	130	41	201	117	45	52	195	154	7	102	159	87	28	32	80	53	36	70	72	12	3	0	66	39	49	58	139	23	5	9	51	12	46	104	76	12	171	75	55	36	16	30	38	89	20	89	179	54	48	69	67	178	33	53	59	27	66	47	9					
6	Число погашенных избирательных бюллетеней	19098	431	799	824	551	417	749	178	440	407	251	492	783	280	686	868	164	167	369	345	4	634	661	294	128	252	665	312	125	93	232	76	83	54	202	60	270	234	693	187	145	34	150	120	60	391	88	14	69	68	42	22	34	8	142	325	0	328	851	110	65	71	25	691	67	147	160	43	155	203	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4840	51	53	96	73	17	122	92	60	261	34	108	130	41	201	117	45	52	195	154	7	102	159	87	28	32	80	53	36	70	72	12	3	0	66	39	49	58	139	23	5	9	51	12	46	104	76	12	171	75	55	36	16	30	38	89	20	89	179	54	48	69	67	178	33	53	59	27	66	47	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47822	656	1248	1180	1575	566	829	1230	700	962	464	900	1684	539	1113	1115	391	681	936	701	89	962	780	419	393	616	1255	1035	539	1237	1096	252	234	326	432	301	681	608	1168	540	330	167	529	338	594	1105	786	94	760	497	173	102	210	1062	1320	1286	80	573	1270	1136	257	800	148	1031	150	240	301	230	629	1050	141					
9	Число недействительных избирательных бюллетеней	615	9	0	20	17	1	2	20	10	25	6	8	2	3	0	15	8	13	14	12	0	20	1	1	5	7	11	25	6	15	23	13	0	9	18	5	8	13	18	11	3	0	26	7	2	1	2	0	17	5	3	3	3	2	4	9	2	8	9	14	3	6	4	17	1	2	24	36	4	2	2					
10	Число действительных избирательных бюллетеней	52047	698	1301	1256	1631	582	949	1302	750	1198	492	1000	1812	577	1314	1217	428	720	1117	843	96	1044	938	505	416	641	1324	1063	569	1292	1145	251	237	317	480	335	722	653	1289	552	332	176	554	343	638	1208	860	106	914	567	225	135	223	1090	1354	1366	98	654	1440	1176	302	863	211	1192	182	291	336	221	691	1095	148					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	649	9	12	22	27	12	5	7	24	18	11	12	32	8	18	12	8	14	12	12	3	5	2	17	1	2	15	12	4	20	16	4	1	1	1	1	14	13	13	9	5	7	9	3	7	9	2	1	23	3	2	3	1	4	1	3	1	7	25	10	2	22	11	22	4	12	1	5	10	3	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	649	9	12	22	27	12	5	7	24	18	11	12	32	8	18	12	8	14	12	12	3	5	2	17	1	2	15	12	4	20	16	4	1	1	1	1	14	13	13	9	5	7	9	3	7	9	2	1	23	3	2	3	1	4	1	3	1	7	25	10	2	22	11	22	4	12	1	5	10	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	372	40	15	36	3	2	5	16	14	20	9	10	11	35	11	9	1	7	8	3	0	1	2	1	1	3	6	3	1	1	6	0	2	3	2	1	2	1	5	0	2	1	0	0	5	3	7	1	1	2	2	1	0	4	4	3	2	1	6	1	2	4	2	12	1	0	0	4	3	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	151	7	13	8	2	3	2	5	6	3	1	7	16	6	7	11	1	5	4	1	2	5	2	0	0	4	1	2	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	2	0	0	0	3	1	1	1	0	0	0	0	0	3	1	2	0	0	0	1	0	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5140	79	100	150	154	68	96	126	84	39	73	107	186	61	126	50	65	87	64	69	9	152	120	75	40	30	131	110	59	84	133	40	28	46	44	16	89	68	200	55	40	23	70	59	87	120	51	9	40	46	11	20	20	123	97	104	18	52	153	108	21	80	30	114	20	33	26	17	97	112	26					
