Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Борисовская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20818	325	136	1275	578	571	466	903	1284	1393	1019	1554	1273	1258	1275	1215	822	366	711	212	184	327	446	608	1443	133	1041									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20926	325	137	1289	584	580	470	895	1290	1406	1019	1573	1298	1277	1285	1227	833	368	712	212	185	340	446	618	1450	134	973									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15747	244	107	854	460	406	323	560	1123	1110	805	1289	1094	1060	1004	709	653	275	573	174	141	236	318	416	1094	99	620									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1973	39	14	119	41	154	110	68	51	32	66	117	40	64	19	47	70	56	64	16	35	68	72	146	220	28	217									
6	Число погашенных избирательных бюллетеней	3206	42	16	316	83	20	37	267	116	264	148	167	164	153	262	471	110	37	75	22	9	36	56	56	136	7	136									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1973	39	14	119	41	154	110	68	51	32	66	117	40	64	19	47	70	56	64	16	35	68	72	146	220	28	217									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15744	244	107	854	460	406	323	560	1123	1110	805	1289	1091	1060	1004	709	653	275	573	174	141	236	318	416	1094	99	620									
9	Число недействительных избирательных бюллетеней	211	2	2	16	5	9	0	7	20	12	3	18	9	12	15	19	6	4	3	1	1	10	5	13	7	1	11									
10	Число действительных избирательных бюллетеней	17506	281	119	957	496	551	433	621	1154	1130	868	1388	1122	1112	1008	737	717	327	634	189	175	294	385	549	1307	126	826									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	355	5	5	15	10	20	25	10	15	15	10	10	20	20	30	15	20	5	10	5	5	20	15	10	20	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	284	2	1	15	5	20	20	8	15	10	8	10	20	17	30	7	16	1	6	1	0	20	9	10	20	2	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	159	2	0	3	0	2	3	7	2	2	16	4	9	7	6	2	1	1	1	1	0	7	5	3	5	0	70									
14	Число погашенных неиспользованных открепительных удостоверений	71	3	4	0	5	0	5	2	0	5	2	0	0	3	0	8	4	4	4	4	5	0	6	0	0	3	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	136	17	4	4	3	0	1	2	8	4	6	6	7	17	13	11	0	0	4	0	1	4	3	1	9	0	11									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	188	3	0	10	10	1	2	7	14	6	1	3	19	27	5	14	0	0	9	2	8	4	4	7	14	2	16									
		1.06%	1.06%	0.00%	1.03%	1.99%	0.18%	0.46%	1.11%	1.19%	0.53%	0.11%	0.21%	1.68%	2.40%	0.49%	1.85%	0.00%	0.00%	1.41%	1.05%	4.55%	1.32%	1.03%	1.25%	1.07%	1.57%	1.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	279	6	2	21	4	2	1	19	27	19	15	23	16	16	12	13	9	7	15	0	5	9	5	8	15	2	8									
		1.57%	2.12%	1.65%	2.16%	0.80%	0.36%	0.23%	3.03%	2.30%	1.66%	1.72%	1.64%	1.41%	1.42%	1.17%	1.72%	1.24%	2.11%	2.35%	0.00%	2.84%	2.96%	1.28%	1.42%	1.14%	1.57%	0.96%									
