Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Земетчинская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19906	1335	1386	1330	1397	1110	1288	1854	941	201	77	313	437	247	219	776	372	627	1117	255	408	192	447	183	486	188	541	785	440	954									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20145	1375	1430	1365	1425	1085	1315	1820	970	200	75	325	440	255	220	790	370	615	1120	255	405	195	450	185	490	195	545	805	455	970									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12432	865	641	630	731	541	863	942	619	112	58	151	278	137	190	659	262	494	759	185	299	110	361	139	252	103	319	583	328	821									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2366	75	160	120	109	107	172	263	49	28	15	73	131	52	21	60	75	81	90	9	53	74	40	41	79	62	151	99	50	27									
6	Число погашенных избирательных бюллетеней	5347	435	629	615	585	437	280	615	302	60	2	101	31	66	9	71	33	40	271	61	53	11	49	5	159	30	75	123	77	122									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2366	75	160	120	109	107	172	263	49	28	15	73	131	52	21	60	75	81	90	9	53	74	40	41	79	62	151	99	50	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12431	865	641	630	730	541	863	942	619	112	58	151	278	137	190	659	262	494	759	185	299	110	361	139	252	103	319	583	328	821									
9	Число недействительных избирательных бюллетеней	170	4	24	9	3	8	5	42	13	1	0	0	0	1	0	26	2	2	6	0	2	3	6	0	5	0	2	0	2	4									
10	Число действительных избирательных бюллетеней	14627	936	777	741	836	640	1030	1163	655	139	73	224	409	188	211	693	335	573	843	194	350	181	395	180	326	165	468	682	376	844									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	135	20	5	10	5	6	5	10	5	2	3	3	3	4	3	4	2	2	5	1	2	2	4	2	3	2	3	7	5	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	93	13	5	10	3	6	5	7	4	0	0	1	0	3	1	2	0	0	4	1	1	2	0	0	3	2	3	7	4	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	0	2	0	3	2	1	3	2	1	0	0	2	1	2	2	4	0	2	1	3	1	0	1	2	0	3	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	42	7	0	0	2	0	0	3	1	2	3	2	3	1	2	2	2	2	1	0	1	0	4	2	0	0	0	0	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	107	10	19	7	9	6	3	14	6	0	0	3	2	0	0	3	1	0	2	0	0	0	0	0	3	0	1	9	6	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	92	8	8	4	4	10	7	11	3	0	0	1	4	3	0	0	2	5	9	0	0	2	1	0	4	0	1	0	0	5									
		0.62%	0.85%	0.99%	0.53%	0.48%	1.54%	0.68%	0.91%	0.45%	0.00%	0.00%	0.45%	0.98%	1.59%	0.00%	0.00%	0.59%	0.87%	1.06%	0.00%	0.00%	1.09%	0.25%	0.00%	1.21%	0.00%	0.21%	0.00%	0.00%	0.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	365	24	27	32	21	28	30	27	21	4	0	5	11	3	1	6	7	9	19	5	5	8	10	0	8	3	11	20	8	12									
		2.47%	2.55%	3.37%	4.27%	2.50%	4.32%	2.90%	2.24%	3.14%	2.86%	0.00%	2.23%	2.69%	1.59%	0.47%	0.83%	2.08%	1.57%	2.24%	2.58%	1.42%	4.35%	2.49%	0.00%	2.42%	1.82%	2.34%	2.93%	2.12%	1.42%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	176	13	12	3	7	12	15	33	3	1	0	3	9	2	0	1	11	4	12	2	4	2	2	1	4	0	3	6	0	11									
		1.19%	1.38%	1.50%	0.40%	0.83%	1.85%	1.45%	2.74%	0.45%	0.71%	0.00%	1.34%	2.20%	1.06%	0.00%	0.14%	3.26%	0.70%	1.41%	1.03%	1.14%	1.09%	0.50%	0.56%	1.21%	0.00%	0.64%	0.88%	0.00%	1.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9976	586	405	429	511	331	641	658	430	79	68	154	294	97	191	601	236	418	588	137	290	133	308	175	182	150	388	531	276	689									
		67.42%	62.34%	50.56%	57.20%	60.91%	51.08%	61.93%	54.61%	64.37%	56.43%	93.15%	68.75%	71.88%	51.32%	90.52%	83.59%	70.03%	72.70%	69.26%	70.62%	82.39%	72.28%	76.81%	97.22%	54.98%	90.91%	82.55%	77.86%	73.02%	81.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	57	1	8	5	5	2	10	13	3	0	0	0	0	0	0	1	3	1	0	0	0	1	1	0	0	0	0	1	1	1									
		0.39%	0.11%	0.99%	0.67%	0.60%	0.31%	0.97%	1.08%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.89%	0.17%	0.00%	0.00%	0.00%	0.54%	0.25%	0.00%	0.00%	0.00%	0.00%	0.15%	0.26%	0.12%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	0	1	1	0	1	1	8	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0									
		0.11%	0.00%	0.12%	0.13%	0.00%	0.15%	0.10%	0.66%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1493	123	102	106	121	87	134	195	77	20	4	27	29	6	11	27	30	61	93	22	32	17	21	1	36	1	20	37	23	30									
		10.09%	13.09%	12.73%	14.13%	14.42%	13.43%	12.95%	16.18%	11.53%	14.29%	5.48%	12.05%	7.09%	3.17%	5.21%	3.76%	8.90%	10.61%	10.95%	11.34%	9.09%	9.24%	5.24%	0.56%	10.88%	0.61%	4.26%	5.43%	6.08%	3.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	39	2	2	2	4	0	0	18	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	2	0	3									
		0.26%	0.21%	0.25%	0.27%	0.48%	0.00%	0.00%	1.49%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.35%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	41	0	8	4	1	3	2	5	1	0	0	0	1	0	0	1	2	3	4	1	0	0	0	0	3	0	0	1	0	1									
		0.28%	0.00%	0.99%	0.53%	0.12%	0.46%	0.19%	0.41%	0.15%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.14%	0.59%	0.52%	0.47%	0.52%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.15%	0.00%	0.12%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0									
		0.06%	0.11%	0.00%	0.00%	0.36%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	8	6	1	1	4	0	7	1	4	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	1	2	0	0									
		0.28%	0.85%	0.75%	0.13%	0.12%	0.62%	0.00%	0.58%	0.15%	2.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.35%	1.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.29%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2152	152	182	135	148	146	185	173	107	31	1	32	57	76	8	50	36	66	108	17	18	16	49	3	84	10	39	73	68	82									
		14.54%	16.17%	22.72%	18.00%	17.64%	22.53%	17.87%	14.36%	16.02%	22.14%	1.37%	14.29%	13.94%	40.21%	3.79%	6.95%	10.68%	11.48%	12.72%	8.76%	5.11%	8.70%	12.22%	1.67%	25.38%	6.06%	8.30%	10.70%	17.99%	9.67%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	5	4	2	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	2	0	0									
		0.14%	0.53%	0.50%	0.27%	0.00%	0.15%	0.00%	0.08%	0.15%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.43%	0.29%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	148	13	12	17	10	15	5	11	5	0	0	1	4	1	0	2	6	6	6	7	1	0	2	0	4	1	3	6	0	10									
		1.00%	1.38%	1.50%	2.27%	1.19%	2.31%	0.48%	0.91%	0.75%	0.00%	0.00%	0.45%	0.98%	0.53%	0.00%	0.28%	1.78%	1.04%	0.71%	3.61%	0.28%	0.00%	0.50%	0.00%	1.21%	0.61%	0.64%	0.88%	0.00%	1.18%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
