Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Октябрьская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149					
1	"Число избирателей, внесенных в список избирателей"	6492	1148	941	930	800	573	316	313	497	700	274					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6695	1115	965	925	800	625	365	360	535	740	265					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3862	628	474	459	473	407	244	234	391	344	208					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	335	34	28	28	33	23	41	18	69	49	12					
6	Число погашенных избирательных бюллетеней	2498	453	463	438	294	195	80	108	75	347	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	335	34	28	28	33	23	41	18	69	49	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3862	628	474	459	473	407	244	234	391	344	208					
9	Число недействительных избирательных бюллетеней	63	16	12	10	8	2	4	0	1	9	1					
10	Число действительных избирательных бюллетеней	4134	646	490	477	498	428	281	252	459	384	219					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	343	38	35	20	40	45	40	30	30	35	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	255	17	33	13	14	45	40	30	25	35	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	73	22	7	4	13	11	6	3	1	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	88	21	2	7	26	0	0	0	5	0	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	5	0	0	2	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	153	4	16	46	34	25	2	4	5	14	3					
		3.65%	0.60%	3.19%	9.45%	6.72%	5.81%	0.70%	1.59%	1.09%	3.56%	1.36%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	95	24	13	10	25	7	3	1	6	5	1					
		2.26%	3.63%	2.59%	2.05%	4.94%	1.63%	1.05%	0.40%	1.30%	1.27%	0.45%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	7	6	2	2	0	0	2	2	1	1					
		0.55%	1.06%	1.20%	0.41%	0.40%	0.00%	0.00%	0.79%	0.43%	0.25%	0.45%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	719	148	88	131	94	63	31	43	28	87	6					
		17.13%	22.36%	17.53%	26.90%	18.58%	14.65%	10.88%	17.06%	6.09%	22.14%	2.73%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	29	5	2	5	10	3	0	0	0	3	1					
		0.69%	0.76%	0.40%	1.03%	1.98%	0.70%	0.00%	0.00%	0.00%	0.76%	0.45%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3101	457	365	282	327	330	243	201	417	273	206					
		73.89%	69.03%	72.71%	57.91%	64.62%	76.74%	85.26%	79.76%	90.65%	69.47%	93.64%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	1	0	1	6	0	2	1	1	1	1					
		0.33%	0.15%	0.00%	0.21%	1.19%	0.00%	0.70%	0.40%	0.22%	0.25%	0.45%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
