Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Каневская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752					
1	"Число избирателей, внесенных в списки избирателей"	71673	2151	2470	2208	1849	1851	2554	2637	1964	1631	2645	2802	506	506	1121	447	1008	1150	1601	208	133	293	2012	1988	1960	1318	2358	2245	240	1133	266	2748	1132	2256	1238	729	357	357	1230	1020	1101	2340	2192	282	324	271	1400	1256	2150	791	624	925	1695					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76390	2042	2758	2255	1872	1839	2619	2673	2000	1733	2705	2618	570	519	1287	512	1170	1676	1690	240	124	295	2062	2244	2191	1476	2394	2290	236	1183	300	2879	1188	2738	1464	845	373	393	1423	1241	1190	2326	2234	271	320	305	1721	1276	2218	825	640	1035	1912					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	53387	1166	1590	1486	1152	1231	1753	1980	1431	1075	1755	1852	408	353	804	364	800	1054	1132	164	118	280	1741	1597	1325	965	1816	1693	233	836	241	2124	1091	2032	999	634	320	273	1071	850	915	1561	1549	223	302	226	1244	860	1408	605	486	649	1570					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3829	285	169	101	62	86	109	78	65	69	116	128	33	66	76	43	43	96	92	38	3	0	72	107	301	115	102	37	0	71	13	62	39	202	69	17	19	47	41	61	28	81	114	7	4	20	41	64	99	41	49	99	49					
6	Число погашенных избирательных бюллетеней	19174	591	999	668	658	522	757	615	504	589	834	638	129	100	407	105	327	526	466	38	3	15	249	540	565	396	476	560	3	276	46	693	58	504	396	194	34	73	311	330	247	684	571	41	14	59	436	352	711	179	105	287	293					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3824	280	169	101	62	86	109	78	65	69	116	128	33	66	76	43	43	96	92	38	3	0	72	107	301	115	102	37	0	71	13	62	39	202	69	17	19	47	41	61	28	81	114	7	4	20	41	64	99	41	49	99	49					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53320	1166	1582	1486	1152	1231	1753	1980	1430	1075	1750	1852	408	353	804	364	800	1054	1132	164	118	280	1741	1597	1325	965	1816	1693	233	836	241	2124	1052	2032	999	634	320	273	1071	850	915	1561	1549	223	302	226	1236	860	1402	605	486	649	1570					
9	Число недействительных избирательных бюллетеней	866	18	45	31	27	9	28	28	24	17	26	13	22	15	13	13	6	12	26	3	2	0	21	43	24	11	45	14	4	6	3	20	8	0	26	6	5	9	15	11	10	49	36	3	29	5	8	23	17	14	6	7	10					
10	Число действительных избирательных бюллетеней	56278	1428	1706	1556	1187	1308	1834	2030	1471	1127	1840	1967	419	404	867	394	837	1138	1198	199	119	280	1792	1661	1602	1069	1873	1716	229	901	251	2166	1083	2234	1042	645	334	311	1097	900	933	1593	1627	227	277	241	1269	901	1484	632	529	741	1609					
