Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																														
Дата голосования: 04.12.2011																																																																																																																																														
																																																																																																																																														
Наименование Избирательной комиссии:    Старооскольская																																																																																																																																														
																																																																																																																																														
Сводная таблица результатов выборов																																																																																																																																														
																																																																																																																																														
		Сумма	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082					
1	"Число избирателей, внесенных в список избирателей"	201992	1583	1686	1605	1570	1402	1473	1892	1954	1710	2042	1782	1895	1681	235	2117	2003	1518	1261	1481	2204	1649	2112	1924	1887	1918	1838	1992	1795	2009	2567	1186	559	2325	2041	1131	163	358	1106	1459	1386	1688	959	702	1109	1028	102	989	815	1111	1602	1331	890	892	1054	1451	961	1430	1852	1768	2264	2103	1719	2117	2058	2109	2356	1790	1746	1847	2183	1760	2407	2333	2200	2282	2569	2544	2323	2562	2666	2704	2489	2624	2027	1801	2220	1606	2193	1921	1685	2182	2302	1880	2326	2615	2058	1758	2965	2996	238	714	874	1336	1270	638	910	795	274	1000	198	513	497	657	905	332	1278	395	1479	1078	601	350	318	1254	656	467	697	744	814	165	1021	697	1136	1151	718	1299					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	190678	1500	1500	1500	1500	1300	1400	1800	1800	1800	1900	1700	1700	1600	220	2000	2000	1400	1200	1300	2000	1500	1900	1800	1900	1900	1700	1900	1600	1900	2300	1100	600	2100	1800	900	165	700	900	1300	1200	1500	800	600	1000	1000	200	900	700	1000	1500	1200	800	800	1000	1300	900	1300	1800	1800	2100	2000	1900	1900	2100	2100	2400	1800	1700	1700	2000	1600	2200	2200	2100	2100	2400	2400	2200	2400	2500	2500	2300	2400	1900	1700	2100	1600	2000	1800	1600	2100	2200	1800	2200	2400	1900	1600	2700	2700	250	700	850	1300	1200	600	900	790	270	1000	190	480	480	630	900	360	1290	400	1490	1090	590	340	296	1200	620	472	690	730	810	160	1000	670	1135	1100	720	1290					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	119926	1070	1002	774	855	809	788	1200	1239	1096	1176	1024	1169	1016	72	1237	1338	838	815	809	1319	869	1081	998	1183	1218	1039	1157	898	1066	1495	687	254	1521	1183	630	163	315	510	839	790	1051	388	331	504	401	59	496	390	653	900	773	429	343	424	714	429	737	1145	1055	1103	1483	1339	1312	1434	1454	1538	1260	1100	884	1129	890	1647	1402	1276	1296	1400	1365	1498	1716	1522	1661	1563	1610	1148	1040	1274	1014	1278	1130	976	1350	1425	1138	1483	1578	1131	993	1778	1696	171	457	480	761	743	316	617	537	167	621	138	270	340	366	542	220	688	276	936	593	415	255	227	902	405	304	540	609	717	76	676	420	827	869	413	954					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	9670	17	12	13	68	46	33	81	75	48	33	26	15	25	63	41	46	44	80	40	88	34	33	11	55	128	82	38	48	141	14	84	305	53	43	57	0	43	72	28	32	43	129	38	52	77	43	40	71	45	76	53	94	95	133	65	50	90	14	29	41	21	16	17	27	21	18	32	15	19	15	14	23	25	15	28	27	29	27	25	22	39	25	31	31	32	53	25	36	28	47	52	26	53	35	35	21	123	20	30	64	100	194	300	321	152	168	162	55	211	31	173	51	119	232	83	297	57	199	210	63	51	49	135	103	70	75	71	79	46	223	110	206	114	221	224					
6	Число погашенных избирательных бюллетеней	61082	413	486	713	577	445	579	519	486	656	691	650	516	559	85	722	616	518	305	451	593	597	786	791	662	554	579	705	654	693	791	329	41	526	574	213	2	342	318	433	378	406	283	231	444	522	98	364	239	302	524	374	277	362	443	521	421	473	641	716	956	496	545	571	639	625	844	508	585	797	856	696	530	773	809	776	973	1006	675	659	956	800	712	759	721	628	773	561	686	642	577	698	749	609	682	787	748	484	902	974	15	143	176	239	136	132	115	91	48	168	21	37	89	145	126	57	305	67	355	287	112	34	20	163	112	98	75	50	14	38	101	140	102	117	86	112					
7	Число избирательных бюллетеней в переносных ящиках для голосования	9670	17	12	13	68	46	33	81	75	48	33	26	15	25	63	41	46	44	80	40	88	34	33	11	55	128	82	38	48	141	14	84	305	53	43	57	0	43	72	28	32	43	129	38	52	77	43	40	71	45	76	53	94	95	133	65	50	90	14	29	41	21	16	17	27	21	18	32	15	19	15	14	23	25	15	28	27	29	27	25	22	39	25	31	31	32	53	25	36	28	47	52	26	53	35	35	21	123	20	30	64	100	194	300	321	152	168	162	55	211	31	173	51	119	232	83	297	57	199	210	63	51	49	135	103	70	75	71	79	46	223	110	206	114	221	224					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	119909	1069	1002	774	855	809	788	1200	1239	1096	1176	1024	1169	1016	72	1237	1338	838	815	807	1319	869	1081	998	1183	1218	1039	1157	898	1066	1495	687	253	1520	1183	630	163	315	510	839	790	1051	388	331	504	401	59	496	390	653	900	773	429	343	424	713	429	737	1145	1055	1103	1483	1339	1312	1434	1454	1538	1260	1100	884	1129	890	1647	1402	1276	1296	1400	1365	1498	1716	1522	1661	1553	1610	1148	1040	1274	1014	1278	1130	976	1350	1425	1138	1483	1578	1131	993	1778	1696	171	457	480	761	743	316	617	537	167	621	138	270	340	366	542	220	688	276	936	593	415	255	227	902	405	303	540	609	717	76	676	420	827	869	413	954					
9	Число недействительных избирательных бюллетеней	2819	20	25	27	14	20	25	20	21	17	32	25	24	19	2	30	26	26	14	17	27	15	23	21	23	24	33	27	13	30	14	11	11	33	19	15	55	8	11	10	11	25	9	5	10	8	3	14	16	7	22	5	7	5	13	22	8	17	23	26	26	10	29	22	93	16	40	27	24	25	17	18	23	19	25	31	31	21	31	39	45	26	26	24	26	19	37	19	24	26	23	27	18	41	50	32	29	24	30	30	9	8	16	10	19	7	67	15	2	6	2	9	3	6	15	8	17	5	21	16	17	5	3	17	10	10	4	19	159	1	21	9	21	21	12	3					
10	Число действительных избирательных бюллетеней	126760	1066	989	760	909	835	796	1261	1293	1127	1177	1025	1160	1022	133	1248	1358	856	881	830	1380	888	1091	988	1215	1322	1088	1168	933	1177	1495	760	547	1540	1207	672	108	350	571	857	811	1069	508	364	546	470	99	522	445	691	954	821	516	433	544	756	471	810	1136	1058	1118	1494	1326	1307	1368	1459	1516	1265	1091	878	1127	886	1647	1408	1266	1293	1396	1373	1494	1702	1499	1674	1552	1617	1153	1053	1290	1020	1290	1132	1000	1375	1433	1150	1468	1581	1123	1092	1768	1696	226	549	658	1051	1045	461	718	684	220	826	167	434	388	479	759	295	968	328	1114	787	461	301	273	1020	498	363	611	661	637	121	878	521	1012	962	622	1175					
