Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Курильская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86					
1	"Число избирателей, внесенных в списки"	5329	823	2080	1247	152	1027					
2	"Число бюллетеней, полученных участковыми комиссиями"	4120	660	1520	892	148	900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	40	0	40	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3110	477	1076	838	129	590					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	92	6	39	47	0	0					
6	Число погашенных бюллетеней	878	177	365	7	19	310					
7	Число бюллетеней в переносных ящиках для голосования	132	6	79	47	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	3109	477	1076	838	128	590					
9	Число недействительных бюллетеней	44	6	17	2	1	18					
10	Число действительных бюллетеней	3197	477	1138	883	127	572					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	20	45	25	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	12	21	15	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	4	2	14	2	1					
14	Число погашенных открепительных удостоверений	49	8	24	10	5	2					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	52	10	10	19	2	11					
		1.60%	2.07%	0.86%	2.14%	1.56%	1.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	128	5	43	41	5	34					
		3.94%	1.03%	3.72%	4.63%	3.90%	5.76%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	102	10	45	24	2	21					
		3.14%	2.07%	3.89%	2.71%	1.56%	3.55%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	148	12	57	33	7	39					
		4.56%	2.48%	4.93%	3.72%	5.46%	6.61%					
22	"5. ""За Русь Святую"""	16	3	7	4	1	1					
		0.49%	0.62%	0.60%	0.45%	0.78%	0.16%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	4	8	8	0	4					
		0.74%	0.82%	0.69%	0.90%	0.0%	0.67%					
24	"7. ""Новый курс - Автомобильная Россия"""	53	4	10	18	3	18					
		1.63%	0.82%	0.86%	2.03%	2.34%	3.05%					
25	"8. ""Народно-республиканская партия России"""	6	0	1	1	0	4					
		0.18%	0.0%	0.08%	0.11%	0.0%	0.67%					
26	"9. ""Российская экологическая партия ""Зеленые"""	43	3	23	7	4	6					
		1.32%	0.62%	1.99%	0.79%	3.12%	1.01%					
27	"10. ""Аграрная партия России"""	31	10	14	7	0	0					
		0.95%	2.07%	1.21%	0.79%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	31	0	2	22	0	7					
		0.95%	0.0%	0.17%	2.48%	0.0%	1.18%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	18	5	2	8	0	3					
		0.55%	1.03%	0.17%	0.90%	0.0%	0.50%					
30	"13. ""Демократическая партия России"""	8	0	4	1	1	2					
		0.24%	0.0%	0.34%	0.11%	0.78%	0.33%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	0	5	3	2	4					
		0.43%	0.0%	0.43%	0.33%	1.56%	0.67%					
32	"15. ""Партия СЛОН"""	13	1	1	6	1	4					
		0.40%	0.20%	0.08%	0.67%	0.78%	0.67%					
33	"16. ""Родина"" (народно-патриотический союз)"""	234	39	124	39	3	29					
		7.21%	8.07%	10.73%	4.40%	2.34%	4.91%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	2	4	5	0	2					
		0.40%	0.41%	0.34%	0.56%	0.0%	0.33%					
35	"18. ""ЛДПР"""	803	94	269	231	49	160					
		24.77%	19.46%	23.29%	26.10%	38.28%	27.11%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	34	9	10	7	1	7					
		1.04%	1.86%	0.86%	0.79%	0.78%	1.18%					
37	"20. ""Политическая партия ""Единая Россия"""	978	217	317	281	25	138					
		30.17%	44.92%	27.44%	31.75%	19.53%	23.38%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	1	4	5	0	3					
		0.40%	0.20%	0.34%	0.56%	0.0%	0.50%					
39	"22. ""Развитие предпринимательства"""	13	1	5	5	0	2					
		0.40%	0.20%	0.43%	0.56%	0.0%	0.33%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	198	15	97	44	6	36					
		6.10%	3.10%	8.39%	4.97%	4.68%	6.10%					
												
41	Против всех	224	32	76	64	15	37					
		6.91%	6.62%	6.58%	7.23%	11.71%	6.27%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
