Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Островская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290					
1	"Число избирателей, внесенных в списки"	30126	2031	474	1742	2461	1931	2267	1984	1747	1249	2304	2403	533	251	345	325	480	556	161	168	506	178	615	229	246	323	208	286	234	191	583	350	363	281	347	220	244	1310					
2	"Число бюллетеней, полученных участковыми комиссиями"	30894	2045	492	1728	2494	1953	2248	1998	1794	1265	2211	2426	586	268	378	344	491	585	172	184	521	183	626	230	245	325	213	302	255	202	605	356	358	286	355	235	262	1673					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14497	1175	219	711	1324	1046	1184	954	807	600	1243	1234	90	91	79	63	260	240	58	71	242	33	250	120	104	140	117	133	98	83	154	115	136	129	138	80	106	870					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2766	26	10	31	27	41	57	87	55	18	9	28	238	49	155	141	26	96	57	54	45	135	126	37	58	80	65	74	63	64	182	108	96	72	132	88	93	43					
6	Число погашенных бюллетеней	13631	844	263	986	1143	866	1007	957	932	647	959	1164	258	128	144	140	205	249	57	59	234	15	250	73	83	105	31	95	94	55	269	133	126	85	85	67	63	760					
7	Число бюллетеней в переносных ящиках для голосования	2766	26	10	31	27	41	57	87	55	18	9	28	238	49	155	141	26	96	57	54	45	135	126	37	58	80	65	74	63	64	182	108	96	72	132	88	93	43					
8	Число бюллетеней в стационарных ящиках для голосования	14474	1174	219	711	1322	1045	1183	947	805	600	1242	1232	90	91	79	63	260	240	58	71	242	33	250	120	104	140	117	133	98	83	153	115	136	129	138	80	106	865					
9	Число недействительных бюллетеней	232	16	2	15	18	14	16	19	15	9	13	4	1	3	3	6	1	6	4	3	7	0	9	4	0	2	2	4	4	1	1	0	6	1	6	0	1	16					
10	Число действительных бюллетеней	17008	1184	227	727	1331	1072	1224	1015	845	609	1238	1256	327	137	231	198	285	330	111	122	280	168	367	153	162	218	180	203	157	146	334	223	226	200	264	168	198	892					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	345	30	10	10	30	30	25	10	10	10	20	25	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	136	13	0	1	16	9	11	8	4	3	15	15	5	1	1	0	0	0	0	0	1	0	0	0	1	2	2	3	2	0	4	0	1	3	1	3	1	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	132	12	1	4	12	10	11	6	6	4	7	11	1	3	1	0	3	4	3	0	1	0	1	1	2	2	3	1	1	2	5	4	3	1	2	0	1	3					
14	Число погашенных открепительных удостоверений	209	17	10	9	14	21	14	2	6	7	5	10	0	4	4	5	5	5	5	5	4	5	5	5	4	3	3	2	3	5	1	5	4	2	4	2	4	0					
15	Число открепительных удостоверений выданных ТИК	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
18	"1. ""ЕДИНЕНИЕ"""	268	22	1	8	19	14	11	16	7	11	15	10	7	7	5	2	5	6	6	8	3	0	8	1	3	4	2	1	5	5	3	3	6	3	9	3	6	23					
		1.55%	1.83%	0.43%	1.07%	1.40%	1.28%	0.88%	1.54%	0.81%	1.77%	1.19%	0.79%	2.13%	4.99%	2.13%	0.98%	1.74%	1.78%	5.21%	6.4%	1.04%	0.0%	2.12%	0.63%	1.85%	1.81%	1.09%	0.48%	3.10%	3.40%	0.89%	1.34%	2.58%	1.49%	3.33%	1.78%	3.01%	2.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	436	56	5	13	47	40	34	22	23	13	45	30	5	2	1	4	5	5	1	0	1	3	5	1	4	3	1	2	2	1	0	3	2	2	4	0	1	50					
		2.52%	4.66%	2.18%	1.75%	3.48%	3.68%	2.74%	2.12%	2.67%	2.10%	3.59%	2.38%	1.52%	1.42%	0.42%	1.96%	1.74%	1.48%	0.86%	0.0%	0.34%	1.78%	1.32%	0.63%	2.46%	1.36%	0.54%	0.96%	1.24%	0.68%	0.0%	1.34%	0.86%	0.99%	1.48%	0.0%	0.50%	5.50%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	487	24	6	14	34	51	47	21	35	16	19	40	7	2	9	8	14	8	6	3	11	5	11	8	3	2	9	2	4	11	9	8	7	8	5	0	7	13					
		2.82%	2.0%	2.62%	1.88%	2.52%	4.69%	3.79%	2.03%	4.06%	2.58%	1.51%	3.17%	2.13%	1.42%	3.84%	3.92%	4.89%	2.38%	5.21%	2.4%	3.83%	2.97%	2.92%	5.09%	1.85%	0.90%	4.94%	0.96%	2.48%	7.48%	2.68%	3.58%	3.01%	3.98%	1.85%	0.0%	3.51%	1.43%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	392	23	3	15	37	25	45	33	26	30	37	21	2	5	3	3	6	6	1	0	10	1	6	3	2	2	1	5	0	3	9	5	3	0	4	0	1	16					
		2.27%	1.91%	1.31%	2.02%	2.74%	2.30%	3.62%	3.19%	3.02%	4.85%	2.95%	1.66%	0.60%	3.57%	1.28%	1.47%	2.09%	1.78%	0.86%	0.0%	3.48%	0.59%	1.59%	1.91%	1.23%	0.90%	0.54%	2.41%	0.0%	2.04%	2.68%	2.24%	1.29%	0.0%	1.48%	0.0%	0.50%	1.76%					
22	"5. ""За Русь Святую"""	75	5	1	3	5	0	4	7	3	2	4	11	0	2	3	0	2	4	0	3	1	0	2	0	0	1	0	1	1	0	3	0	1	2	1	0	1	2					
		0.43%	0.41%	0.43%	0.40%	0.37%	0.0%	0.32%	0.67%	0.34%	0.32%	0.31%	0.87%	0.0%	1.42%	1.28%	0.0%	0.69%	1.19%	0.0%	2.4%	0.34%	0.0%	0.53%	0.0%	0.0%	0.45%	0.0%	0.48%	0.62%	0.0%	0.89%	0.0%	0.43%	0.99%	0.37%	0.0%	0.50%	0.22%					
23	"6. ""Объединенная Российская партия ""Русь"""	53	3	0	5	1	6	4	1	2	0	1	8	2	0	1	1	1	2	1	0	1	0	2	0	1	1	7	0	0	0	0	0	0	0	0	0	0	2					
		0.30%	0.25%	0.0%	0.67%	0.07%	0.55%	0.32%	0.09%	0.23%	0.0%	0.07%	0.63%	0.60%	0.0%	0.42%	0.49%	0.34%	0.59%	0.86%	0.0%	0.34%	0.0%	0.53%	0.0%	0.61%	0.45%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%					
24	"7. ""Новый курс - Автомобильная Россия"""	133	6	1	5	14	3	20	8	3	4	13	9	2	3	1	0	3	0	0	1	1	1	3	1	0	0	2	2	0	0	0	1	1	1	0	0	1	23					
		0.77%	0.5%	0.43%	0.67%	1.03%	0.27%	1.61%	0.77%	0.34%	0.64%	1.03%	0.71%	0.60%	2.14%	0.42%	0.0%	1.04%	0.0%	0.0%	0.8%	0.34%	0.59%	0.79%	0.63%	0.0%	0.0%	1.09%	0.96%	0.0%	0.0%	0.0%	0.44%	0.43%	0.49%	0.0%	0.0%	0.50%	2.53%					
25	"8. ""Народно-республиканская партия России"""	29	2	0	3	2	1	1	2	2	1	0	0	0	0	1	1	5	1	0	0	0	1	0	0	1	0	0	1	2	0	1	0	0	0	0	1	0	0					
		0.16%	0.16%	0.0%	0.40%	0.14%	0.09%	0.08%	0.19%	0.23%	0.16%	0.0%	0.0%	0.0%	0.0%	0.42%	0.49%	1.74%	0.29%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.61%	0.0%	0.0%	0.48%	1.24%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	51	2	0	1	4	1	6	4	0	1	6	4	2	0	0	0	4	1	0	1	0	0	0	1	0	1	0	0	0	0	2	2	0	0	2	0	0	6					
		0.29%	0.16%	0.0%	0.13%	0.29%	0.09%	0.48%	0.38%	0.0%	0.16%	0.47%	0.31%	0.60%	0.0%	0.0%	0.0%	1.39%	0.29%	0.0%	0.8%	0.0%	0.0%	0.0%	0.63%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.59%	0.89%	0.0%	0.0%	0.74%	0.0%	0.0%	0.66%					
27	"10. ""Аграрная партия России"""	537	18	5	18	20	29	33	10	15	12	29	20	14	8	7	12	13	26	4	5	3	9	18	13	10	10	25	26	3	6	21	12	5	16	34	8	9	11					
		3.11%	1.5%	2.18%	2.42%	1.48%	2.67%	2.66%	0.96%	1.74%	1.94%	2.31%	1.58%	4.26%	5.71%	2.99%	5.88%	4.54%	7.73%	3.47%	4.0%	1.04%	5.35%	4.78%	8.28%	6.17%	4.54%	13.73%	12.56%	1.86%	4.08%	6.26%	5.38%	2.15%	7.96%	12.59%	4.76%	4.52%	1.21%					
28	"11. ""Истинные патриоты России"""	28	1	0	0	3	1	6	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	2	0	1	1	0	2	0	1	3					
		0.16%	0.08%	0.0%	0.0%	0.22%	0.09%	0.48%	0.0%	0.0%	0.0%	0.15%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.26%	0.0%	0.61%	0.0%	0.0%	0.0%	0.62%	1.36%	0.0%	0.44%	0.43%	0.0%	0.74%	0.0%	0.50%	0.33%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	183	10	4	9	8	11	13	19	12	8	16	21	1	1	0	3	2	9	3	3	2	1	2	1	1	7	0	1	1	0	3	2	0	0	3	5	1	0					
		1.06%	0.83%	1.74%	1.21%	0.59%	1.01%	1.04%	1.83%	1.39%	1.29%	1.27%	1.66%	0.30%	0.71%	0.0%	1.47%	0.69%	2.67%	2.60%	2.4%	0.69%	0.59%	0.53%	0.63%	0.61%	3.18%	0.0%	0.48%	0.62%	0.0%	0.89%	0.89%	0.0%	0.0%	1.11%	2.97%	0.50%	0.0%					
