Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Холмская 																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271					
1	"Число избирателей, внесенных в список"	36524	190	2140	817	601	1102	472	205	318	931	308	232	1650	185	2147	1006	397	2427	1407	1992	1490	1696	1064	2225	1840	1841	1272	2319	914	324	1846	428	738					
2	Число полученных избирательных бюллетеней	37220	200	2400	1000	650	1200	500	230	300	900	310	220	1600	180	2200	1000	360	2500	1500	2000	1400	2000	1000	2200	1800	1800	1200	2200	900	350	2000	400	720					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17608	104	891	403	292	668	238	113	156	478	168	151	621	89	1070	470	144	1040	666	904	688	951	538	977	951	905	704	1056	429	155	914	263	411					
5	"Число избирательных бюллетеней, выданных вне помещения"	1036	2	59	72	43	66	29	2	10	12	37	0	21	5	18	16	69	31	48	81	57	6	33	12	65	69	33	37	6	10	32	15	40					
6	Число погашенных избирательных бюллетеней	18576	94	1450	525	315	466	233	115	134	410	105	69	958	86	1112	514	147	1429	786	1015	655	1043	429	1211	784	826	463	1107	465	185	1054	122	269					
7	Число избирательных бюллетеней в переносных ящиках	1036	2	59	72	43	66	29	2	10	12	37	0	21	5	18	16	69	31	48	81	57	6	33	12	65	69	33	37	6	10	32	15	40					
8	Число бюллетеней в стационарных ящиках для голосования	17605	104	890	403	292	668	238	113	156	477	168	151	621	89	1070	469	144	1040	666	904	688	951	538	977	951	905	704	1056	429	155	914	263	411					
9	Число недействительных избирательных бюллетеней	152	4	5	2	1	8	6	5	1	2	3	4	7	2	13	2	3	8	7	3	4	5	1	5	3	12	8	13	0	3	1	3	8					
10	Число действительных избирательных бюллетеней	18489	102	944	473	334	726	261	110	165	487	202	147	635	92	1075	483	210	1063	707	982	741	952	570	984	1013	962	729	1080	435	162	945	275	443					
11	Число полученных открепительных  удостоверений	643	10	30	20	15	20	15	15	15	20	15	10	20	10	30	20	10	40	20	30	20	30	25	30	20	25	15	30	10	10	30	20	13					
12	Число выданных открепительных удостоверений	254	10	15	13	10	10	2	0	1	8	4	1	10	0	11	1	2	17	9	11	14	13	12	11	10	9	15	5	6	2	13	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	230	5	4	36	3	2	7	2	1	1	4	0	5	1	9	7	26	6	14	8	4	4	13	4	7	5	6	10	4	4	5	13	10					
14	Число неиспользованных открепительных удостоверений	389	0	15	7	5	10	13	15	14	12	11	9	10	10	19	19	8	23	11	19	6	17	13	19	10	16	0	25	4	8	17	17	7					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	865	5	27	14	16	30	11	7	6	30	6	7	32	5	45	25	9	48	47	57	41	50	32	50	53	60	35	39	18	4	40	3	13					
		4.64%	4.72%	2.85%	2.95%	4.78%	4.09%	4.12%	6.09%	3.61%	6.13%	2.93%	4.64%	4.98%	5.32%	4.14%	5.15%	4.23%	4.48%	6.58%	5.79%	5.50%	5.22%	5.60%	5.06%	5.22%	6.16%	4.75%	3.57%	4.14%	2.42%	4.23%	1.08%	2.88%					
19	. Малышкин Олег Александрович	495	6	31	16	11	13	9	5	1	12	10	4	22	2	22	15	11	32	11	25	16	22	12	34	22	23	19	39	8	9	18	3	12					
		2.66%	5.66%	3.27%	3.37%	3.28%	1.77%	3.37%	4.35%	0.60%	2.45%	4.88%	2.65%	3.43%	2.13%	2.02%	3.09%	5.16%	2.99%	1.54%	2.54%	2.15%	2.30%	2.10%	3.44%	2.17%	2.36%	2.58%	3.57%	1.84%	5.45%	1.90%	1.08%	2.66%					
20	. Миронов Сергей Михайлович	154	0	9	8	3	9	6	0	1	6	1	2	6	3	7	2	3	10	9	5	7	11	4	4	4	8	2	7	6	1	6	2	2					
		0.83%	0.00%	0.95%	1.68%	0.90%	1.23%	2.25%	0.00%	0.60%	1.23%	0.49%	1.32%	0.93%	3.19%	0.64%	0.41%	1.41%	0.93%	1.26%	0.51%	0.94%	1.15%	0.70%	0.40%	0.39%	0.82%	0.27%	0.64%	1.38%	0.61%	0.63%	0.72%	0.44%					
21	. Путин Владимир Владимирович	12847	74	612	333	225	531	192	71	122	348	160	82	413	67	740	359	154	765	485	662	514	651	382	693	697	632	498	743	325	128	658	214	317					
		68.92%	69.81%	64.49%	70.11%	67.16%	72.34%	71.91%	61.74%	73.49%	71.17%	78.05%	54.30%	64.33%	71.28%	68.01%	74.02%	72.30%	71.43%	67.93%	67.21%	68.99%	68.03%	66.90%	70.07%	68.60%	64.89%	67.57%	67.98%	74.71%	77.58%	69.56%	76.98%	70.29%					
22	. Хакамада Ирина Муцуовна	1008	4	39	22	12	21	9	3	5	12	6	8	46	3	66	21	7	52	50	52	57	74	42	75	67	67	41	64	19	7	37	13	7					
		5.41%	3.77%	4.11%	4.63%	3.58%	2.86%	3.37%	2.61%	3.01%	2.45%	2.93%	5.30%	7.17%	3.19%	6.07%	4.33%	3.29%	4.86%	7.00%	5.28%	7.65%	7.73%	7.36%	7.58%	6.59%	6.88%	5.56%	5.86%	4.37%	4.24%	3.91%	4.68%	1.55%					
23	. Харитонов Николай Михайлович	2486	12	185	59	59	103	30	20	26	74	17	36	86	11	156	44	15	119	86	149	86	111	76	78	136	119	106	150	47	12	163	32	83					
		13.34%	11.32%	19.49%	12.42%	17.61%	14.03%	11.24%	17.39%	15.66%	15.13%	8.29%	23.84%	13.40%	11.70%	14.34%	9.07%	7.04%	11.11%	12.04%	15.13%	11.54%	11.60%	13.31%	7.89%	13.39%	12.22%	14.38%	13.72%	10.80%	7.27%	17.23%	11.51%	18.40%					
																																							
24	Против всех	634	1	41	21	8	19	4	4	4	5	2	8	30	1	39	17	11	37	19	32	20	33	22	50	34	53	28	38	12	1	23	8	9					
		3.40%	0.94%	4.32%	4.42%	2.39%	2.59%	1.50%	3.48%	2.41%	1.02%	0.98%	5.30%	4.67%	1.06%	3.58%	3.51%	5.16%	3.45%	2.66%	3.25%	2.68%	3.45%	3.85%	5.06%	3.35%	5.44%	3.80%	3.48%	2.76%	0.61%	2.43%	2.88%	2.00%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
