Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Вельская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227					
1	"Число избирателей, внесенных в списки"	44910	1720	1063	1502	1152	1679	1190	1860	1159	1800	1461	1277	834	1196	625	313	282	799	1161	1107	1030	1249	1400	1527	680	1026	171	127	239	128	309	162	792	204	344	314	220	187	867	1171	449	75	337	105	569	133	1195	151	116	230	694	156	102	406	715	1061	331	407	255	382	248	245	481	170	603	275	104	333	57	198					
2	"Число бюллетеней, полученных участковыми комиссиями"	40010	1500	900	1300	1000	1500	1000	1700	900	1600	1200	1100	700	1000	550	324	300	700	1000	1000	960	1100	1300	1400	600	900	146	132	220	119	280	170	720	210	310	290	210	189	800	1000	400	83	300	110	500	129	1100	161	134	210	610	165	118	350	650	1000	310	340	230	350	210	220	430	158	520	240	101	310	62	179					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24250	852	472	734	573	889	601	1149	519	851	734	759	436	636	251	241	91	365	551	687	552	661	804	680	446	560	90	61	143	80	129	116	503	121	210	212	135	98	534	657	217	43	194	72	314	84	659	121	70	159	446	127	59	188	391	519	169	193	148	155	147	131	322	114	374	179	72	223	37	140					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2734	30	36	18	21	22	53	42	14	23	25	13	11	49	27	51	119	64	33	48	37	60	135	127	53	108	51	37	16	10	65	6	53	38	14	24	37	41	28	28	44	4	30	6	44	17	99	2	31	35	46	18	28	104	74	15	49	53	44	61	31	20	59	22	48	22	13	27	17	4					
6	Число погашенных бюллетеней	13016	618	392	548	406	589	346	509	367	726	441	328	253	315	272	32	90	271	416	265	371	379	361	593	101	232	5	34	61	29	86	48	164	51	86	54	38	50	238	315	129	36	76	32	142	28	342	38	33	16	118	20	31	58	185	466	92	94	38	134	32	69	49	22	98	39	16	60	8	35					
7	Число бюллетеней в переносных ящиках для голосования	2743	30	36	18	21	22	53	42	14	23	25	13	11	49	27	51	119	64	33	48	37	60	135	127	53	108	51	37	16	10	65	6	53	38	14	24	37	41	28	28	54	4	30	6	44	17	98	2	31	35	46	18	28	104	74	15	49	53	44	61	31	20	59	22	48	22	13	27	17	4					
8	Число бюллетеней в стационарных ящиках для голосования	24246	852	472	734	573	889	601	1149	519	851	734	758	436	635	251	241	91	365	550	687	552	661	804	680	446	560	90	61	143	80	129	116	503	121	210	212	135	98	533	657	217	43	194	72	314	84	659	121	70	159	446	127	59	188	391	519	169	193	148	155	147	131	322	114	374	179	72	223	37	140					
9	Число недействительных бюллетеней	334	6	4	9	7	8	4	8	6	4	7	4	6	12	0	9	4	6	13	13	7	13	19	10	9	3	0	0	1	0	4	5	11	9	8	5	0	1	3	1	0	2	2	3	7	2	11	0	1	1	4	1	1	1	6	10	0	5	1	2	4	5	3	3	15	0	1	2	2	0					
10	Число действительных бюллетеней	26655	876	504	743	587	903	650	1183	527	870	752	767	441	672	278	283	206	423	570	722	582	708	920	797	490	665	141	98	158	90	190	117	545	150	216	231	172	138	558	684	271	45	222	75	351	99	746	123	100	193	488	144	86	291	459	524	218	241	191	214	174	146	378	133	407	201	84	248	52	144					
