Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Тбилисская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №4801	УИК №4802	УИК №4803	УИК №4804	УИК №4805	УИК №4806	УИК №4807	УИК №4808	УИК №4809	УИК №4810	УИК №4811	УИК №4812	УИК №4813	УИК №4814	УИК №4815	УИК №4816	УИК №4817	УИК №4818	УИК №4819	УИК №4820	УИК №4821	УИК №4822	УИК №4823	УИК №4824	УИК №4825	УИК №4826	УИК №4827	УИК №4828	УИК №4829	УИК №4830	УИК №4831	УИК №4832	УИК №4833	УИК №4834	УИК №4835	УИК №4836	УИК №4837	УИК №4838	УИК №4839	УИК №4840	УИК №4841	УИК №4842	УИК №4843	УИК №4844	УИК №4845									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36692	1959	1102	1468	1296	1086	1085	1634	1190	2792	1529	1842	1588	329	1423	101	127	236	1066	220	157	79	238	916	906	1353	434	1401	123	434	715	101	1458	714	618	164	244	140	1554	339	356	888	395	362	282	248									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36050	1950	1100	1450	1300	1050	1050	1650	1200	2800	1525	1850	1550	300	1400	90	120	225	1050	200	140	75	225	900	900	1325	425	1400	100	425	700	100	1450	700	600	150	225	125	1500	325	350	850	375	350	250	225									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12813	668	349	467	355	416	357	627	390	804	450	493	388	75	493	59	55	80	374	97	67	50	113	289	313	510	160	747	53	218	358	54	589	238	280	82	84	41	542	87	98	335	139	161	113	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1450	25	16	100	53	36	21	31	42	68	37	75	59	16	57	3	6	8	25	0	9	4	5	48	40	76	24	40	5	28	46	3	47	55	19	4	24	7	104	25	7	71	28	32	3	18									
6	Число погашенных избирательных бюллетеней	21787	1257	735	883	892	598	672	992	768	1928	1038	1282	1103	209	850	28	59	137	651	103	64	21	107	563	547	739	241	613	42	179	296	43	814	407	301	64	117	77	854	213	245	444	208	157	134	112									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1450	25	16	100	53	36	21	31	42	68	37	75	59	16	57	3	6	8	25	0	9	4	5	48	40	76	24	40	5	28	46	3	47	55	19	4	24	7	104	25	7	71	28	32	3	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12813	668	349	467	355	416	357	627	390	804	450	493	388	75	493	59	55	80	374	97	67	50	113	289	313	510	160	747	53	218	358	54	589	238	280	82	84	41	542	87	98	335	139	161	113	95									
9	Число недействительных избирательных бюллетеней	258	16	0	9	7	11	5	15	7	10	11	18	9	4	13	0	0	2	6	1	0	0	3	8	4	8	4	17	2	2	7	1	14	4	4	1	3	0	14	1	0	1	0	14	2	0									
10	Число действительных избирательных бюллетеней	14005	677	365	558	401	441	373	643	425	862	476	550	438	87	537	62	61	86	393	96	76	54	115	329	349	578	180	770	56	244	397	56	622	289	295	85	105	48	632	111	105	405	167	179	114	113									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	476	27	15	15	25	15	15	37	25	30	17	27	16	9	15	1	6	6	15	6	1	1	1	5	10	17	7	10	1	7	5	1	15	8	15	6	1	1	15	1	1	9	6	3	6	1									
