Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Эрзинская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182					
1	"Число избирателей, внесенных в списки"	4422	627	1578	595	405	1067	150					
2	"Число бюллетеней, полученных участковыми комиссиями"	3994	564	1456	524	365	943	142					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	462	104	16	104	68	119	51					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2245	298	729	312	245	584	77					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	126	12	51	19	7	37	0					
6	Число погашенных бюллетеней	1161	150	660	89	45	203	14					
7	Число бюллетеней в переносных ящиках для голосования	588	116	67	123	75	156	51					
8	Число бюллетеней в стационарных ящиках для голосования	2245	298	729	312	245	584	77					
9	Число недействительных бюллетеней	89	10	26	10	8	34	1					
10	Число действительных бюллетеней	2744	404	770	425	312	706	127					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	16	21	16	16	21	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	16	4	9	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	0	3	0	0	1	0					
14	Число погашенных открепительных удостоверений	84	12	12	16	16	18	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	136	19	36	21	26	30	4					
		4.80%	4.58%	4.52%	4.82%	8.12%	4.05%	3.12%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	9	2	2	0	0	4	1					
		0.31%	0.48%	0.25%	0.0%	0.0%	0.54%	0.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	38	4	20	2	0	10	2					
		1.34%	0.96%	2.51%	0.45%	0.0%	1.35%	1.56%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	23	4	6	5	1	6	1					
		0.81%	0.96%	0.75%	1.14%	0.31%	0.81%	0.78%					
22	"5. ""За Русь Святую"""	7	2	4	1	0	0	0					
		0.24%	0.48%	0.50%	0.22%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	0	1	0	1	2	0					
		0.14%	0.0%	0.12%	0.0%	0.31%	0.27%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	4	0	0	0	0	4	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	0	0	0	0	1	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%					
27	"10. ""Аграрная партия России"""	11	0	3	1	0	7	0					
		0.38%	0.0%	0.37%	0.22%	0.0%	0.94%	0.0%					
28	"11. ""Истинные патриоты России"""	1	0	1	0	0	0	0					
		0.03%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	7	1	3	0	0	3	0					
		0.24%	0.24%	0.37%	0.0%	0.0%	0.40%	0.0%					
30	"13. ""Демократическая партия России"""	2	0	2	0	0	0	0					
		0.07%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	9	1	7	0	0	1	0					
		0.31%	0.24%	0.87%	0.0%	0.0%	0.13%	0.0%					
32	"15. ""Партия СЛОН"""	2	0	1	0	0	0	1					
		0.07%	0.0%	0.12%	0.0%	0.0%	0.0%	0.78%					
33	"16. ""Родина"" (народно-патриотический союз)"""	13	1	5	3	2	2	0					
		0.45%	0.24%	0.62%	0.68%	0.62%	0.27%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	0	1	0	0	0	1					
		0.07%	0.0%	0.12%	0.0%	0.0%	0.0%	0.78%					
35	"18. ""ЛДПР"""	25	0	7	3	1	14	0					
		0.88%	0.0%	0.87%	0.68%	0.31%	1.89%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	81	4	55	6	8	5	3					
		2.85%	0.96%	6.90%	1.37%	2.5%	0.67%	2.34%					
37	"20. ""Политическая партия ""Единая Россия"""	2018	321	542	294	252	499	110					
		71.23%	77.53%	68.09%	67.58%	78.75%	67.43%	85.93%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	2	4	0	1	3	0					
		0.35%	0.48%	0.50%	0.0%	0.31%	0.40%	0.0%					
39	"22. ""Развитие предпринимательства"""	4	0	1	0	0	2	1					
		0.14%	0.0%	0.12%	0.0%	0.0%	0.27%	0.78%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	307	39	61	84	17	104	2					
		10.83%	9.42%	7.66%	19.31%	5.31%	14.05%	1.56%					
													
41	Против всех	30	4	8	5	3	9	1					
		1.05%	0.96%	1.00%	1.14%	0.93%	1.21%	0.78%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
