Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Янаульская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37554	1557	1541	1292	411	1451	604	1503	502	1514	508	1315	1303	1294	1300	1250	1502	500	1552	1543	1593	501	672	441	265	621	516	333	287	292	478	297	237	517	472	508	587	512	252	721	339	504	319	340	248	655	672	1403	530									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36380	1550	1550	1250	400	1450	550	1500	450	1500	500	1300	1300	1250	1300	1250	1400	450	1500	1500	1550	500	650	400	250	600	520	300	250	250	450	250	200	520	450	500	590	500	250	700	300	500	300	300	200	650	650	1350	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27626	1275	1231	976	317	1172	485	1166	409	1185	432	494	821	733	956	867	1031	411	1140	1087	1154	308	559	345	221	490	388	271	243	230	410	243	182	377	424	428	443	417	214	487	203	405	276	287	195	485	451	873	429									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1522	25	49	20	12	16	38	10	36	22	14	13	21	10	44	34	15	30	23	100	50	84	28	47	11	21	18	19	7	20	31	7	15	28	21	39	9	54	25	83	29	59	14	11	0	90	50	80	40									
6	Число погашенных избирательных бюллетеней	7232	250	270	254	71	262	27	324	5	293	54	793	458	507	300	349	354	9	337	313	346	108	63	8	18	89	114	10	0	0	9	0	3	115	5	33	138	29	11	130	68	36	10	2	5	75	149	397	31									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1522	25	49	20	12	16	38	10	36	22	14	13	21	10	44	34	15	30	23	100	50	84	28	47	11	21	18	19	7	20	31	7	15	28	21	39	9	54	25	83	29	59	14	11	0	90	50	80	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27626	1275	1231	976	317	1172	485	1166	409	1185	432	494	821	733	956	867	1031	411	1140	1087	1154	308	559	345	221	490	388	271	243	230	410	243	182	377	424	428	443	417	214	487	203	405	276	287	195	485	451	873	429									
9	Число недействительных избирательных бюллетеней	76	4	0	0	7	0	0	0	0	3	0	0	0	23	0	0	2	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	4	8	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	29072	1296	1280	996	322	1188	523	1176	445	1204	446	507	842	720	1000	901	1044	441	1163	1187	1203	392	587	392	232	511	393	290	250	250	441	250	193	397	445	467	441	471	239	570	232	464	290	298	195	575	501	953	469									
