Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    территориальная избирательная комиссия Петушинского района																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206					
1	"Число избирателей, внесенных в списки избирателей"	55588	1408	2032	870	396	642	1827	1881	1781	851	922	646	464	373	311	319	500	814	648	363	597	878	825	861	431	138	169	105	245	228	306	167	2610	337	1481	1598	1496	1606	1756	2418	1804	1390	1662	1289	345	2539	2547	720	519	395	305	273	105	199	405	200	668	2275	2648					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	47200	1100	1600	700	350	500	1450	1500	1400	650	750	500	400	300	250	300	450	700	600	350	500	750	800	800	400	130	150	100	200	200	300	150	2200	300	1200	1250	1250	1250	1500	2000	1500	1200	1400	1100	300	2200	2200	650	480	350	250	250	100	170	400	170	600	2100	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25608	522	990	394	161	251	941	903	767	378	437	321	223	120	96	144	239	334	262	106	289	300	391	446	207	78	115	56	89	101	82	86	1110	130	658	658	686	698	894	1162	816	715	784	512	201	1407	1375	371	247	164	157	96	65	123	130	77	333	1101	1109					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1773	35	23	18	13	11	26	13	82	43	25	11	12	55	15	39	1	50	52	57	16	161	13	42	43	15	2	3	53	24	47	11	34	0	21	51	24	34	12	14	50	13	33	10	7	27	12	31	52	68	15	18	14	20	85	26	47	17	27					
6	Число погашенных избирательных бюллетеней	19819	543	587	288	176	238	483	584	551	229	288	168	165	125	139	117	210	316	286	187	195	289	396	312	150	37	33	41	58	75	171	53	1056	170	521	541	540	518	594	824	634	472	583	578	92	766	813	248	181	118	78	136	21	27	185	67	220	982	1364					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1773	35	23	18	13	11	26	13	82	43	25	11	12	55	15	39	1	50	52	57	16	161	13	42	43	15	2	3	53	24	47	11	34	0	21	51	24	34	12	14	50	13	33	10	7	27	12	31	52	68	15	18	14	20	85	26	47	17	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25598	522	990	394	161	251	941	903	766	378	437	321	222	120	96	144	239	334	262	106	289	299	391	446	207	78	115	56	89	101	82	86	1110	130	657	656	686	698	894	1162	814	715	784	512	201	1407	1375	371	247	164	157	96	65	123	130	77	333	1099	1109					
9	Число недействительных избирательных бюллетеней	379	9	16	4	1	4	24	4	10	2	5	2	3	3	4	6	1	8	4	1	0	1	5	7	3	0	3	0	0	4	0	0	16	3	12	9	7	12	8	7	15	6	10	3	3	14	10	4	1	12	3	7	0	1	5	3	10	17	47					
10	Число действительных избирательных бюллетеней	26992	548	997	408	173	258	943	912	838	419	457	330	231	172	107	177	239	376	310	162	305	459	399	481	247	93	114	59	142	121	129	97	1128	127	666	698	703	720	898	1169	849	722	807	519	205	1420	1377	398	298	220	169	107	79	142	210	100	370	1099	1089					
