Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Переволоцкая																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385					
1	"Число избирателей, внесенных в списки избирателей"	23341	245	431	463	179	511	191	177	714	681	753	608	446	68	52	684	221	171	238	762	120	52	579	227	1060	159	165	94	926	202	194	166	882	100	228	146	509	1148	920	821	1333	644	1234	1190	1464	975	208					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22697	250	450	450	200	500	200	200	700	650	750	600	450	100	50	650	250	150	250	750	100	50	600	200	1050	150	150	100	900	200	200	150	850	100	250	150	450	1150	900	800	1250	600	1150	1100	1400	900	197					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13077	119	291	259	86	305	116	117	386	337	654	511	290	63	34	407	131	119	164	382	94	44	310	109	583	99	102	69	452	143	97	81	441	70	123	99	288	992	353	430	638	307	576	528	668	461	149					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	652	21	12	20	5	23	8	8	24	43	14	6	22	0	0	0	0	0	26	18	2	0	28	10	30	0	1	0	17	0	0	2	24	0	2	4	21	41	34	10	13	41	40	22	44	10	6					
6	Число погашенных избирательных бюллетеней	8968	110	147	171	109	172	76	75	290	270	82	83	138	37	16	243	119	31	60	350	4	6	262	81	437	51	47	31	431	57	103	67	385	30	125	47	141	117	513	360	599	252	534	550	688	429	42					
7	Число избирательных бюллетеней в переносных ящиках для голосования	652	21	12	20	5	23	8	8	24	43	14	6	22	0	0	0	0	0	26	18	2	0	28	10	30	0	1	0	17	0	0	2	24	0	2	4	21	41	34	10	13	41	40	22	44	10	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13072	119	291	259	86	305	116	117	386	337	654	511	290	63	34	403	131	119	164	382	94	44	310	109	583	99	102	69	452	143	97	81	441	70	123	99	288	992	353	430	638	306	576	528	668	461	149					
9	Число недействительных избирательных бюллетеней	107	0	5	3	1	2	0	0	0	2	7	9	1	0	0	4	10	0	1	1	0	0	7	3	2	1	0	0	1	2	3	0	7	1	0	0	2	12	1	1	0	3	1	3	9	1	1					
10	Число действительных избирательных бюллетеней	13617	140	298	276	90	326	124	125	410	378	661	508	311	63	34	399	121	119	189	399	96	44	331	116	611	98	103	69	468	141	94	83	458	69	125	103	307	1021	386	439	651	344	615	547	703	470	154					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	150	2	2	4	2	4	2	2	4	4	4	2	4	2	1	4	2	2	2	4	2	0	4	2	4	2	2	2	4	2	2	2	4	2	2	2	2	5	6	6	6	6	6	6	8	6	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	81	0	0	0	0	3	1	0	1	1	0	1	2	0	0	2	0	0	2	4	0	0	4	0	4	0	0	2	1	0	0	0	4	0	0	0	1	3	6	6	6	2	6	6	8	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	83	0	0	0	1	1	2	0	0	4	2	0	1	0	0	1	0	19	1	11	0	0	1	1	1	0	0	0	4	0	0	1	2	0	1	0	7	2	0	2	3	2	6	3	0	4	0					
14	Число погашенных неиспользованных открепительных удостоверений	69	2	2	4	2	1	1	2	3	3	4	1	2	2	1	2	2	2	0	0	2	0	0	2	0	2	2	0	3	2	2	2	0	2	2	2	1	2	0	0	0	4	0	0	0	1	2					
