Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Беловская 																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №245	УИК №246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274					
1	"Число избирателей, внесенных в списки"	16978	2244	318	1037	156	608	245	109	779	1540	699	317	563	434	245	1179	198	422	138	153	320	419	184	728	691	335	221	431	820	955	490					
2	"Число бюллетеней, полученных участковыми комиссиями"	16936	2260	309	1042	159	600	242	109	771	1531	693	318	559	438	248	1179	200	410	138	151	324	416	185	721	700	335	218	418	817	949	496					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10388	1383	196	494	112	391	162	75	435	888	504	194	341	282	193	602	112	307	77	123	181	234	111	446	466	205	174	270	520	645	265					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	738	76	25	63	8	34	26	11	13	18	36	18	49	4	0	13	0	34	24	2	25	19	19	25	45	17	9	24	51	14	36					
6	Число погашенных бюллетеней	5810	801	88	485	39	175	54	23	323	625	153	106	169	152	55	564	88	69	37	26	118	163	55	250	189	113	35	124	246	290	195					
7	Число бюллетеней в переносных ящиках для голосования	738	76	25	63	8	34	26	11	13	18	36	18	49	4	0	13	0	34	24	2	25	19	19	25	45	17	9	24	51	14	36					
8	Число бюллетеней в стационарных ящиках для голосования	10379	1383	196	494	112	391	162	75	435	888	504	194	341	282	193	602	112	307	77	123	181	234	111	446	460	205	174	270	520	642	265					
9	Число недействительных бюллетеней	396	23	10	27	1	21	16	2	32	13	25	5	13	17	14	23	4	8	0	6	6	10	2	25	17	5	4	6	27	26	8					
10	Число действительных бюллетеней	10721	1436	211	530	119	404	172	84	416	893	515	207	377	269	179	592	108	333	101	119	200	243	128	446	488	217	179	288	544	630	293					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	11	5	7	3	5	3	3	7	10	5	5	5	5	3	10	3	5	5	3	3	5	3	5	5	5	3	3	5	7	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	10	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	2	1	0	0	3	0	0	0	0	1	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	5	0	5	0	1	0	0	1	1	0	0	2	0	1	0	0	0	1	2	0	0	0	0	1	0	2	4	1	2	1					
14	Число погашенных открепительных удостоверений	121	1	5	5	3	5	3	3	7	9	4	5	5	5	3	10	3	2	5	1	2	5	3	2	5	5	3	3	4	4	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	310	21	2	11	4	25	5	0	14	21	26	7	13	9	1	17	6	1	3	1	6	4	2	12	30	7	1	10	11	31	9					
		2.78%	1.43%	0.90%	1.97%	3.33%	5.88%	2.65%	0.0%	3.12%	2.31%	4.81%	3.30%	3.33%	3.14%	0.51%	2.76%	5.35%	0.29%	2.97%	0.8%	2.91%	1.58%	1.53%	2.54%	5.94%	3.15%	0.54%	3.40%	1.92%	4.72%	2.99%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	62	8	0	2	0	2	0	0	0	5	5	2	3	1	3	4	0	3	0	1	1	1	0	1	2	2	0	1	6	7	2					
		0.55%	0.54%	0.0%	0.35%	0.0%	0.47%	0.0%	0.0%	0.0%	0.55%	0.92%	0.94%	0.76%	0.34%	1.55%	0.65%	0.0%	0.87%	0.0%	0.8%	0.48%	0.39%	0.0%	0.21%	0.39%	0.90%	0.0%	0.34%	1.05%	1.06%	0.66%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	298	26	5	18	5	10	8	0	9	28	16	9	13	14	7	26	0	4	3	3	3	3	1	9	11	2	12	6	14	27	6					
		2.68%	1.78%	2.26%	3.23%	4.16%	2.35%	4.25%	0.0%	2.00%	3.09%	2.96%	4.24%	3.33%	4.89%	3.62%	4.22%	0.0%	1.17%	2.97%	2.4%	1.45%	1.18%	0.76%	1.91%	2.17%	0.90%	6.55%	2.04%	2.45%	4.11%	1.99%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	105	12	0	8	0	2	2	0	4	10	5	3	1	2	0	8	4	2	6	1	3	2	0	5	2	4	1	0	11	4	3					
		0.94%	0.82%	0.0%	1.43%	0.0%	0.47%	1.06%	0.0%	0.89%	1.10%	0.92%	1.41%	0.25%	0.69%	0.0%	1.30%	3.57%	0.58%	5.94%	0.8%	1.45%	0.79%	0.0%	1.06%	0.39%	1.80%	0.54%	0.0%	1.92%	0.60%	0.99%					
22	"5. ""За Русь Святую"""	98	13	2	7	2	0	1	0	7	8	5	3	1	2	2	6	2	4	3	0	0	1	0	6	1	2	0	5	8	5	2					
		0.88%	0.89%	0.90%	1.25%	1.66%	0.0%	0.53%	0.0%	1.56%	0.88%	0.92%	1.41%	0.25%	0.69%	1.03%	0.97%	1.78%	1.17%	2.97%	0.0%	0.0%	0.39%	0.0%	1.27%	0.19%	0.90%	0.0%	1.70%	1.40%	0.76%	0.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	44	2	2	1	0	2	1	1	1	1	5	1	0	1	0	2	1	1	0	1	2	0	1	3	1	0	0	5	2	6	1					
		0.39%	0.13%	0.90%	0.17%	0.0%	0.47%	0.53%	1.16%	0.22%	0.11%	0.92%	0.47%	0.0%	0.34%	0.0%	0.32%	0.89%	0.29%	0.0%	0.8%	0.97%	0.0%	0.76%	0.63%	0.19%	0.0%	0.0%	1.70%	0.35%	0.91%	0.33%					
24	"7. ""Новый курс - Автомобильная Россия"""	79	5	1	2	1	3	0	1	2	7	4	1	5	3	0	5	2	5	1	0	2	0	1	14	1	0	1	4	3	3	2					
		0.71%	0.34%	0.45%	0.35%	0.83%	0.70%	0.0%	1.16%	0.44%	0.77%	0.74%	0.47%	1.28%	1.04%	0.0%	0.81%	1.78%	1.46%	0.99%	0.0%	0.97%	0.0%	0.76%	2.97%	0.19%	0.0%	0.54%	1.36%	0.52%	0.45%	0.66%					
25	"8. ""Народно-республиканская партия России"""	63	7	1	0	4	5	3	0	2	5	4	0	2	5	0	0	1	3	0	1	2	1	0	0	0	0	1	2	4	9	1					
		0.56%	0.47%	0.45%	0.0%	3.33%	1.17%	1.59%	0.0%	0.44%	0.55%	0.74%	0.0%	0.51%	1.74%	0.0%	0.0%	0.89%	0.87%	0.0%	0.8%	0.97%	0.39%	0.0%	0.0%	0.0%	0.0%	0.54%	0.68%	0.70%	1.37%	0.33%					
