Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																								
Дата голосования: 18.09.2016																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Шебекинская																																																																																								
																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																								
																																																																																								
		Сумма	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	70398	1032	1750	1890	1518	1345	1490	1737	1755	1785	1640	1755	1577	1609	1359	1735	1743	1564	1938	1766	668	693	1707	1750	204	342	103	262	203	1132	296	160	529	478	283	200	450	594	314	516	1614	516	1081	561	636	850	953	1115	1123	624	1080	625	594	336	269	668	416	578	1686	1569	1667	195	325	904	187	196	1051	1141	1082	783	613	714	534	556	513	508	391	272									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	66010	1000	1600	1800	1400	1200	1400	1600	1500	1600	1500	1700	1400	1500	1100	1600	1600	1500	1700	1600	600	600	1600	1600	210	340	95	260	200	1100	300	150	500	500	300	200	450	550	300	500	1500	500	1000	500	600	900	900	1000	1100	600	1000	600	600	300	250	650	400	600	1600	1500	1600	190	300	900	200	200	1000	1000	1050	800	600	700	500	550	500	500	400	265									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36187	471	891	964	718	766	663	874	868	832	861	1036	857	907	644	1021	936	862	823	900	346	348	735	810	123	283	54	139	135	727	183	106	205	276	130	130	262	253	133	264	835	212	543	269	270	412	429	490	781	359	586	239	267	180	167	332	226	281	851	700	770	102	193	604	115	132	491	617	528	411	302	387	318	303	233	313	228	175									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6498	111	102	72	84	71	65	62	131	63	26	27	20	26	131	32	29	29	105	62	27	71	158	122	81	52	41	117	56	162	54	33	164	91	106	26	39	79	87	132	307	184	122	72	158	120	124	102	54	59	124	179	105	78	36	184	56	87	39	61	42	39	35	121	31	31	170	56	96	83	86	153	80	72	111	36	52	7									
6	Число погашенных избирательных бюллетеней	23325	418	607	764	598	363	672	664	501	705	613	637	523	567	325	547	635	609	772	638	227	181	707	668	6	5	0	4	9	211	63	11	131	133	64	44	149	218	80	104	358	104	335	159	172	368	347	408	265	182	290	182	228	42	47	134	118	232	710	739	788	49	72	175	54	37	339	327	426	306	212	160	102	175	156	151	120	83									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6498	111	102	72	84	71	65	62	131	63	26	27	20	26	131	32	29	29	105	62	27	71	158	122	81	52	41	117	56	162	54	33	164	91	106	26	39	79	87	132	307	184	122	72	158	120	124	102	54	59	124	179	105	78	36	184	56	87	39	61	42	39	35	121	31	31	170	56	96	83	86	153	80	72	111	36	52	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36185	471	891	963	718	766	662	874	868	832	861	1036	857	907	644	1021	936	862	823	900	346	348	735	810	123	283	54	139	135	727	183	106	205	276	130	130	262	253	133	264	835	212	543	269	270	412	429	490	781	359	586	239	267	180	167	332	226	281	851	700	770	102	193	604	115	132	491	617	528	411	302	387	318	303	233	313	228	175									
9	Число недействительных избирательных бюллетеней	773	9	19	20	14	11	15	23	23	19	15	39	11	16	11	16	20	17	15	15	8	14	25	20	3	5	0	0	4	16	4	1	3	7	9	5	4	9	2	4	13	4	15	6	1	10	6	13	19	9	9	9	10	5	1	2	2	2	26	14	16	1	5	13	0	4	10	14	9	5	6	10	3	7	7	12	1	3									
10	Число действительных избирательных бюллетеней	41910	573	974	1015	788	826	712	913	976	876	872	1024	866	917	764	1037	945	874	913	947	365	405	868	912	201	330	95	256	187	873	233	138	366	360	227	151	297	323	218	392	1129	392	650	335	427	522	547	579	816	409	701	409	362	253	202	514	280	366	864	747	796	140	223	712	146	159	651	659	615	489	382	530	395	368	337	337	279	179									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1971	20	40	38	30	20	30	25	30	30	27	30	30	35	20	40	35	36	40	25	20	20	30	23	0	5	2	10	10	35	20	15	20	25	25	25	35	25	25	25	40	15	40	20	12	20	30	30	40	30	30	25	20	20	15	30	20	20	40	40	40	15	25	30	20	20	30	30	30	35	30	33	25	25	20	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1683	20	29	37	30	20	30	25	28	30	27	30	30	35	14	40	31	36	40	24	11	20	30	23	0	3	2	7	7	35	20	15	20	16	24	25	35	25	4	25	40	15	20	6	12	20	24	12	40	30	30	24	20	20	10	10	11	10	29	35	26	6	25	30	13	11	21	13	23	35	27	29	25	15	20	17	17	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	943	9	14	11	15	21	14	27	43	20	15	15	30	30	91	17	19	23	10	71	13	8	6	11	14	4	2	6	3	8	5	8	14	3	3	4	2	18	6	12	8	6	6	4	0	0	4	3	16	6	20	13	12	4	7	2	10	5	6	12	26	6	12	15	5	4	19	7	4	6	5	6	4	6	7	9	10	3									
14	Число погашенных неиспользованных открепительных удостоверений	288	0	11	1	0	0	0	0	2	0	0	0	0	0	6	0	4	0	0	1	9	0	0	0	0	2	0	3	3	0	0	0	0	9	1	0	0	0	21	0	0	0	20	14	0	0	6	18	0	0	0	1	0	0	5	20	9	10	11	5	14	9	0	0	7	9	9	17	7	0	3	4	0	10	0	3	3	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	219	2	9	4	7	3	6	7	9	3	10	11	6	5	6	9	7	9	6	10	3	5	6	6	0	0	0	0	0	2	6	0	2	0	0	0	0	2	1	0	3	0	4	2	9	0	0	5	0	0	2	1	1	0	0	4	1	1	1	1	1	0	0	1	0	8	0	1	2	0	0	0	1	1	3	2	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
