Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Мышкинская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562					
1	"Число избирателей, внесенных в список избирателей"	8711	253	362	154	114	340	215	198	664	320	147	496	154	260	1300	1192	1363	1179					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9150	305	400	170	110	390	240	235	690	320	195	535	175	285	1200	1280	1380	1240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4204	115	94	69	44	116	113	92	300	133	56	120	70	82	736	716	722	626					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1808	113	143	51	49	135	78	68	229	95	77	215	58	158	82	65	133	59					
6	Число погашенных избирательных бюллетеней	3138	77	163	50	17	139	49	75	161	92	62	200	47	45	382	499	525	555					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1808	113	143	51	49	135	78	68	229	95	77	215	58	158	82	65	133	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4204	115	94	69	44	116	113	92	300	133	56	120	70	82	736	716	722	626					
9	Число недействительных избирательных бюллетеней	60	0	1	4	3	2	1	0	3	5	0	4	3	0	4	10	9	11					
10	Число действительных избирательных бюллетеней	5952	228	236	116	90	249	190	160	526	223	133	331	125	240	814	771	846	674					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	246	15	15	10	5	20	10	10	41	10	10	5	5	10	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	160	15	1	0	0	20	3	5	41	3	10	0	2	0	20	13	7	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	89	2	0	0	0	7	2	2	25	0	0	2	4	1	20	10	10	4					
14	Число погашенных неиспользованных открепительных удостоверений	86	0	14	10	5	0	7	5	0	7	0	5	3	10	0	7	13	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1353	40	45	27	10	47	39	31	88	43	16	48	25	26	204	233	219	212					
		22.50%	17.54%	18.99%	22.50%	10.75%	18.73%	20.42%	19.38%	16.64%	18.86%	12.03%	14.33%	19.53%	10.83%	24.94%	29.83%	25.61%	30.95%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1118	40	29	24	14	55	23	30	71	48	21	66	14	47	153	174	181	128					
		18.60%	17.54%	12.24%	20.00%	15.05%	21.91%	12.04%	18.75%	13.42%	21.05%	15.79%	19.70%	10.94%	19.58%	18.70%	22.28%	21.17%	18.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	67	1	4	1	0	1	2	0	7	2	0	4	0	1	8	14	11	11					
		1.11%	0.44%	1.69%	0.83%	0.00%	0.40%	1.05%	0.00%	1.32%	0.88%	0.00%	1.19%	0.00%	0.42%	0.98%	1.79%	1.29%	1.61%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	781	27	28	8	3	29	19	24	47	35	15	56	11	29	109	118	106	117					
		12.99%	11.84%	11.81%	6.67%	3.23%	11.55%	9.95%	15.00%	8.88%	15.35%	11.28%	16.72%	8.59%	12.08%	13.33%	15.11%	12.40%	17.08%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	105	0	3	0	5	7	2	0	7	5	2	4	1	3	13	15	25	13					
		1.75%	0.00%	1.27%	0.00%	5.38%	2.79%	1.05%	0.00%	1.32%	2.19%	1.50%	1.19%	0.78%	1.25%	1.59%	1.92%	2.92%	1.90%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2503	120	127	56	58	110	105	75	306	90	77	151	72	134	320	214	298	190					
		41.63%	52.63%	53.59%	46.67%	62.37%	43.82%	54.97%	46.88%	57.84%	39.47%	57.89%	45.07%	56.25%	55.83%	39.12%	27.40%	34.85%	27.74%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	25	0	0	0	0	0	0	0	0	0	2	2	2	0	7	3	6	3					
		0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.50%	0.60%	1.56%	0.00%	0.86%	0.38%	0.70%	0.44%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
