Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Мышкинская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558					
1	"Число избирателей, внесенных в списки избирателей"	8761	266	372	170	135	383	253	231	461	205	344	181	529	174	268	2404	2385					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9000	295	410	164	140	400	240	235	490	248	345	218	560	166	310	2405	2374					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4764	90	111	84	74	142	153	113	228	66	141	90	193	87	93	1532	1567					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2059	148	193	59	46	178	87	88	178	123	124	67	284	63	175	138	108					
6	Число погашенных избирательных бюллетеней	2177	57	106	21	20	80	0	34	84	59	80	61	83	16	42	735	699					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2059	148	193	59	46	178	87	88	178	123	124	67	284	63	175	138	108					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4764	90	111	84	74	142	153	113	228	66	141	90	193	87	93	1532	1567					
9	Число недействительных избирательных бюллетеней	32	0	0	0	3	0	1	0	1	1	0	1	1	0	0	5	19					
10	Число действительных избирательных бюллетеней	6791	238	304	143	117	320	239	201	405	188	265	156	476	150	268	1665	1656					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	515	21	24	6	6	16	6	6	39	28	6	6	6	6	11	164	164					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	232	21	16	0	0	8	6	6	39	27	1	4	6	2	11	38	47					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	117	0	0	3	0	2	10	2	34	8	2	0	6	6	0	24	20					
14	Число погашенных неиспользованных открепительных удостоверений	283	0	8	6	6	8	0	0	0	1	5	2	0	4	0	126	117					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	361	14	37	7	4	22	28	42	7	3	14	13	30	7	4	81	48					
		5.29%	5.88%	12.17%	4.90%	3.33%	6.88%	11.67%	20.90%	1.72%	1.59%	5.28%	8.28%	6.29%	4.67%	1.49%	4.85%	2.87%					
19	2.Всероссийская политическая партия «Гражданская Сила»	49	0	2	0	2	0	2	0	1	0	0	1	1	0	0	16	24					
