Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Буздякская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22934	349	389	179	106	607	488	295	2643	2645	2561	262	64	474	279	209	290	197	407	642	232	168	234	722	248	105	142	218	533	175	378	593	308	94	314	333	157	544	195	111	102	828	319	234	585	139	79	441	23	357	449	328	160									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23633	351	398	183	108	618	495	301	2680	2680	2589	267	65	477	278	210	295	198	411	656	239	174	240	839	249	106	143	220	540	178	385	696	312	97	335	350	165	652	210	111	108	852	323	236	593	141	79	455	24	370	457	332	162									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15720	276	241	158	83	461	449	251	1327	858	892	132	64	412	264	201	270	164	368	594	207	138	201	543	209	100	142	195	472	160	340	475	265	83	191	225	132	332	173	94	90	605	294	213	550	137	79	393	23	303	435	314	142									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1418	40	27	14	18	97	0	10	109	116	35	6	0	31	8	6	14	14	9	38	19	13	27	34	12	0	0	10	40	0	15	58	32	10	19	98	22	86	15	14	9	129	21	15	21	0	0	25	0	49	8	12	13									
6	Число погашенных избирательных бюллетеней	6495	35	130	11	7	60	46	40	1244	1706	1662	129	1	34	6	3	11	20	34	24	13	23	12	262	28	6	1	15	28	18	30	163	15	4	125	27	11	234	22	3	9	118	8	8	22	4	0	37	1	18	14	6	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1418	40	27	14	18	97	0	10	109	116	35	6	0	31	8	6	14	14	9	38	19	13	27	34	12	0	0	10	40	0	15	58	32	10	19	98	22	86	15	14	9	129	21	15	21	0	0	25	0	49	8	12	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15720	276	241	158	83	461	449	251	1327	858	892	132	64	412	264	201	270	164	368	594	207	138	201	543	209	100	142	195	472	160	340	475	265	83	191	225	132	332	173	94	90	605	294	213	550	137	79	393	23	303	435	314	142									
9	Число недействительных избирательных бюллетеней	199	3	11	1	0	4	0	0	45	18	2	1	0	6	8	0	0	1	0	0	0	0	0	35	0	0	0	4	0	0	0	13	0	0	1	2	0	23	1	0	0	0	0	13	0	0	0	0	0	4	3	0	0									
10	Число действительных избирательных бюллетеней	16939	313	257	171	101	554	449	261	1391	956	925	137	64	437	264	207	284	177	377	632	226	151	228	542	221	100	142	201	512	160	355	520	297	93	209	321	154	395	187	108	99	734	315	215	571	137	79	418	23	348	440	326	155									
