Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Рошальская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  2424	УИК  2425	УИК  2426	УИК  2427	УИК  2428	УИК  2429	УИК  2430	УИК  2431					
1	"Число избирателей, внесенных в списки"	18734	2451	2517	2177	1973	2178	2375	2818	2245					
2	"Число бюллетеней, полученных участковыми комиссиями"	18837	2477	2524	2209	1917	2221	2397	2822	2270					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7996	1067	1102	878	820	1024	1157	1047	901					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	203	41	14	16	58	18	13	17	26					
6	Число погашенных бюллетеней	10638	1369	1408	1315	1039	1179	1227	1758	1343					
7	Число бюллетеней в переносных ящиках для голосования	203	41	14	16	58	18	13	17	26					
8	Число бюллетеней в стационарных ящиках для голосования	7994	1067	1102	878	820	1024	1156	1046	901					
9	Число недействительных бюллетеней	240	40	42	15	22	28	53	21	19					
10	Число действительных бюллетеней	7957	1068	1074	879	856	1014	1116	1042	908					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	476	40	40	51	30	50	50	155	60					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	99	16	12	12	7	19	17	9	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	3	2	7	5	3	7	4	3					
14	Число погашенных открепительных удостоверений	377	24	28	39	23	31	33	146	53					
15	Число открепительных удостоверений выданных ТИК	3	1	0	1	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	116	20	13	6	20	17	14	12	14					
		1.41%	1.80%	1.16%	0.67%	2.27%	1.63%	1.19%	1.12%	1.51%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	103	15	10	8	12	12	15	20	11					
		1.25%	1.35%	0.89%	0.89%	1.36%	1.15%	1.28%	1.88%	1.18%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	238	23	31	28	24	39	28	34	31					
		2.90%	2.07%	2.77%	3.13%	2.73%	3.74%	2.39%	3.19%	3.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	279	28	35	29	30	41	40	39	37					
		3.40%	2.52%	3.13%	3.24%	3.41%	3.93%	3.42%	3.66%	3.99%					
22	"5. ""За Русь Святую"""	43	3	4	7	5	4	2	9	9					
		0.52%	0.27%	0.35%	0.78%	0.56%	0.38%	0.17%	0.84%	0.97%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	2	2	0	4	3	2	0	5					
		0.21%	0.18%	0.17%	0.0%	0.45%	0.28%	0.17%	0.0%	0.53%					
24	"7. ""Новый курс - Автомобильная Россия"""	56	9	4	6	7	6	5	12	7					
		0.68%	0.81%	0.35%	0.67%	0.79%	0.57%	0.42%	1.12%	0.75%					
25	"8. ""Народно-республиканская партия России"""	8	2	1	1	0	0	2	2	0					
